Unique Reference Number,Date,Merchant Category Code,Location,Merchant Category Group,Amount,Supplier
FCOGPC140700001,17/07/2014,Travel,HKG,Airline,507.03,HK DRAGON AIRLINES 
FCOGPC140700002,01/07/2014,Travel,GB,Airlines,-2898.75,AEROFLOT   
FCOGPC140700003,01/07/2014,Travel,KOR,Airlines,-975.16,Asiana
FCOGPC140700004,01/07/2014,Travel,KOR,Airlines,-975.16,Asiana
FCOGPC140700005,01/07/2014,Travel,KOR,Airlines,-975.16,Asiana
FCOGPC140700006,01/07/2014,Travel,KOR,Airlines,-975.16,Asiana
FCOGPC140700007,01/07/2014,Travel,ARE,Airlines,769.98,EMIRATES  
FCOGPC140700008,01/07/2014,Travel,GB,Airlines,1009.62,ETIHADAIR   
FCOGPC140700009,01/07/2014,Travel,GB,Airlines,787.62,ETIHADAIR   
FCOGPC140700010,01/07/2014,Travel,NLD,Airlines,626.81,KLM MALAY
FCOGPC140700011,01/07/2014,Travel,SAU,Airlines,609.49,QANTAS AIR
FCOGPC140700012,01/07/2014,Travel,SAU,Airlines,1481.46,QANTAS AIR
FCOGPC140700013,01/07/2014,Travel,GB,Airlines,587.3,SAA AIRWAYS 
FCOGPC140700014,02/07/2014,Travel,FR,Airlines,969.02,AIR FRANCE
FCOGPC140700015,02/07/2014,Travel,FR,Airlines,830.02,AIR FRANCE
FCOGPC140700016,02/07/2014,Travel,BEL,Airlines,650.4,AMERICAN AIR
FCOGPC140700017,02/07/2014,Travel,GB,Airlines,667.75,AUSTRIAN AIR
FCOGPC140700018,02/07/2014,Travel,GB,Airlines,537.78,AUSTRIAN AIR
FCOGPC140700019,02/07/2014,Travel,GBR,Airlines,2562.91,BRITISH AIRW
FCOGPC140700020,02/07/2014,Travel,GBR,Airlines,4740.49,BRITISH AIRW
FCOGPC140700021,02/07/2014,Travel,GBR,Airlines,4740.49,BRITISH AIRW
FCOGPC140700022,02/07/2014,Travel,GBR,Airlines,1640.53,BRITISH AIRW
FCOGPC140700023,02/07/2014,Travel,IE,Airlines,682.81,DELTA AIR   
FCOGPC140700024,02/07/2014,Travel,GB,Airlines,555.43,EMIRATES  
FCOGPC140700025,02/07/2014,Travel,GB,Airlines,745.93,EMIRATES  
FCOGPC140700026,02/07/2014,Travel,GB,Airlines,666,EMIRATES  
FCOGPC140700027,02/07/2014,Travel,GB,Airlines,3028.04,EMIRATES  
FCOGPC140700028,02/07/2014,Travel,GB,Airlines,2047.73,EMIRATES  
FCOGPC140700029,02/07/2014,Travel,GB,Airlines,2178.09,EMIRATES  
FCOGPC140700030,02/07/2014,Travel,GBR,Airlines,889.01,ETHIOPIAN AIR 
FCOGPC140700031,02/07/2014,Travel,NL,Airlines,1076.78,KLM UK
FCOGPC140700032,02/07/2014,Travel,GB,Airlines,669.81,QANTAS AIR
FCOGPC140700033,02/07/2014,Travel,GB,Airlines,669.81,QANTAS AIR
FCOGPC140700034,02/07/2014,Travel,ES,Airlines,-1276.7,TAM BSP REINO UNIDO
FCOGPC140700035,02/07/2014,Travel,GB,Airlines,2276.31,THY       
FCOGPC140700036,02/07/2014,Travel,GB,Airlines,1516.21,THY       
FCOGPC140700037,02/07/2014,Travel,NZL,Airlines,896.97,VIR ATL
FCOGPC140700038,02/07/2014,Travel,NZL,Airlines,896.97,VIR ATL
FCOGPC140700039,02/07/2014,Travel,NZL,Airlines,896.97,VIR ATL
FCOGPC140700040,02/07/2014,Travel,JAM,Airlines,758.5,VIR ATL
FCOGPC140700041,03/07/2014,Travel,JPN,Airlines,2030.14,BRITISH AIRW
FCOGPC140700042,03/07/2014,Travel,JPN,Airlines,1617.4,BRITISH AIRW
FCOGPC140700043,03/07/2014,Travel,GBR,Airlines,989.06,BRITISH AIRW
FCOGPC140700044,03/07/2014,Travel,GB,Airlines,602.23,BRITISH AIRW
FCOGPC140700045,03/07/2014,Travel,GB,Airlines,4406.51,BRITISH AIRW
FCOGPC140700046,03/07/2014,Travel,GB,Airlines,1820.31,BRITISH AIRW
FCOGPC140700047,03/07/2014,Travel,PAN,Airlines,1661.43,COPA-CALL 
FCOGPC140700048,03/07/2014,Travel,DE,Airlines,-2401.8,GULF AIR   
FCOGPC140700049,03/07/2014,Travel,GBR,Airlines,1471.47,QANTAS AIR
FCOGPC140700050,03/07/2014,Travel,GB,Airlines,896.7,SINGAPORE AIR
FCOGPC140700051,03/07/2014,Travel,GB,Airlines,1315,THY       
FCOGPC140700052,03/07/2014,Travel,GBR,Airlines,2626.71,VIR ATL
FCOGPC140700053,04/07/2014,Travel,MEX,Airlines,1426.72,AEROMEX CTRO 
FCOGPC140700054,04/07/2014,Travel,FR,Airlines,1447.8,AIR FRANCE
FCOGPC140700055,04/07/2014,Travel,BEL,Airlines,1057.19,AMERICAN AIR
