Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,(£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary (£),Allowances (£),Non-consolidated performance payments (£),Overtime (£),Employer pension contributions (£),Employer national insurance contributions (£),Total paybill for payroll staff (£),"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors (£)","Total cost of consultants/
consultancy (£)",Total non-payroll (CCL) staff costs (£),,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Advisory Conciliation & Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation & Skills",63,56.8,252,230.4,497,459.8,37,34.6,3,3,2,1.2,854,786,8,8,0,0,0,0,3,3,11,11,865,797,"£2,020,440.85","£17,998.17",£0.00,"£9,336.43","£382,956.38","£156,044.20","2,586,776.03","£7,423.20","£18,000.00","25,423.20","2,612,199.23",
Arts & Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",4,3.74,30,28.96,43,39.75,12,11.7,4,3.5,,,93,88,1,1,,,9,9,,,10,10,103,98,"£241,044.00","£1,276.00",£75.00,,"£60,718.00","£16,812.00","319,925.00","£84,225.87",,"84,225.87","404,150.87",
Biotechnology & Biological Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",222,202.04,359,338.61,728,698.58,206,199.22,50,46.77,3,3,"1,568","1,488",14,14,,,1,1,1,0.25,16,15.25,"1,584","1,503","£4,197,018.46","£79,383.61",£850.00,"£45,420.01","£1,091,864.52","£363,647.76","5,778,184.36","£46,815.34","£5,000.00","51,815.34","5,829,999.70",
"Business, Innovation & Skills ",Ministerial Department,"Department for Business, Innovation & Skills",170,162.36,401,388.55,1144,1118.34,1158,1118.17,230,221.53,0,0,"3,103","3,009",119,119,14,14,99,99,85,85,317,317,"3,420","3,326","£8,975,443.57","£237,109.00","£624,337.00","£5,314.00","£1,838,700.25","£905,487.66","12,586,391.48","£405,205.00","£2,543,420.00","2,948,625.00","15,535,016.48",
British Business Bank,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,8,8,8,8,15,14.31,5,5,,,36,35,0,0,,,0,0,,,0,0,36,35,"£197,412.79",£500.00,,,"£31,705.98","£21,343.74","250,962.51",,,0,"250,962.51",
Companies House ,Executive Agency,"Department for Business, Innovation & Skills",528,454.17,265,249.94,134,130.12,30,28.91,4,4,0,0,961,867,1,1,,,2,2,14,14,17,17,978,884,"£1,853,419.75","£32,451.57",£600.00,"£18,201.31","£329,101.68","£124,510.65","2,358,284.96","£35,044.47","£147,267.32","182,311.79","2,540,596.75",
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",440,410.09,614,601.31,333,327.09,27,27,9,9,0,0,"1,423","1,374",37,28,0,0,69,37,1,0.5,107,65.5,"1,530","1,440","£3,523,180.27","£209,508.65",£0.00,"£27,436.17","£487,726.23","£296,574.30","4,544,425.62","£370,860.30",£0.00,"370,860.30","4,915,285.92",
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",3,3,3,2.8,5,4.6,4,3.3,1,1,,,16,15,,,,,,,,,0,0,16,15,"£51,787.92",,,,"£11,106.28","£4,249.33","67,143.53",,,0,"67,143.53",
Economic & Social Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",16,13.48,28,26.17,76,71.75,17,16.91,3,3,9,9,149,140,1,1,,,2,2,,,3,3,152,143,"£363,208.34","£3,117.93",£150.00,,"£91,712.59","£23,643.97","481,832.83","£31,441.50",,"31,441.50","513,274.33",
Engineering & Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",27,25.22,32,29.8,127,120.48,28,26.51,3,3,8,8,225,213,1,1,,,1,1,,,2,2,227,215,"£555,448.70","£2,673.75","£1,725.00","£3,329.00","£141,136.00","£36,172.00","740,484.45","£11,297.25",,"11,297.25","751,781.70","CEO is on secondment in, not counted in headcount"
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",29,23,31,27,21,21,5,5,,,5,0.5,91,77,0,0,,,,,,,0,0,91,77,"£265,855.00","£18,256.00",£0.00,£94.00,"£68,794.00","£29,342.00","382,341.00",£0.00,,0,"382,341.00",
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",8,6.38,28,23.53,135,118.26,65,57.65,32,30.72,,,268,237,17,13.75,,,,,,,17,13.75,285,250,"£759,292.75","£2,182.00",,"£3,125.94","£147,337.36","£65,639.84","977,577.89","£42,435.45",,"42,435.45","1,020,013.34",
Insolvency Service,Executive Agency,"Department for Business, Innovation & Skills",655,601.432,274,259.3483,712,683.0847,86,85.6486,7,6.7838,0,0,"1,734","1,636",97,97,0,0,38,38,0,0,135,135,"1,869","1,771","£4,147,070.69","£11,532.92",£0.00,"£7,635.80","£781,901.63","£326,495.99","5,274,637.03","£472,312.13",£0.00,"472,312.13","5,746,949.16",
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",353,332.09,493,470.27,1395,1373.95,175,170.47,103,99.68,49,26,"2,568","2,472",14,14,18,18,4,4,0,0,36,36,"2,604","2,508","£6,976,552.65","£479,083.49",£0.00,"£28,208.23","£839,529.54","£625,899.79","8,949,273.70","£664,997.62",£997.85,"665,995.47","9,615,269.17",
National Measurement Office,Executive Agency,"Department for Business, Innovation & Skills",6,4.83,23,22.76,37,36.41,19,17.07,0,0,,,85,81,,,,,,,,,0,0,85,81,"£258,067.70",£178.75,,"£1,224.08","£48,848.02","£21,059.93","329,378.48",,£0.00,0,"329,378.48",
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",274,245.7,446,419.8,1151,1101.5,364,349.3,21,20.5,247,241.5,"2,503","2,378",10,10,0,0,3,2.4,0,0,13,12.4,"2,516","2,391","£6,455,466.32","£177,276.95","£27,165.40","£81,631.25","£1,648,580.50","£523,252.77","8,913,373.19","£143,521.92",,"143,521.92","9,056,895.11",
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,10,9.61,3,2.31,2,1.61,,,15,14,4,3.75,,,,,,,4,3.75,19,17,"£49,286.82",,,,"£8,059.15","£4,121.05","61,467.02","£12,751.54",,"12,751.54","74,218.56",
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",128,122,251,237,997,976,329,319,30,28,60,53,"1,795","1,735",11,10,1,1,8,8,,,20,19,"1,815","1,754","£5,103,554.00","£192,939.00",£0.00,"£136,782.00","£1,326,805.00","£440,777.00","7,200,857.00","£100,000.00",,"100,000.00","7,300,857.00",
Skills Funding Agency ,Executive Agency,"Department for Business, Innovation & Skills",79,76.12,345,333.45,430,421.68,124,123.57,27,27,1,0.68,"1,006",983,7,7,0,0,55,55,1,1,63,63,"1,069","1,046","£3,330,422.55","£80,812.41",£0.00,£948.41,"£673,522.41","£302,568.88","4,388,274.66","£911,274.00",£0.00,"911,274.00","5,299,548.66",
