,Percentage of respondents satisfied with overall service in 12 months to June 2013,Confidence Interval percentage of respondents satisfied with overall service in 12 months to June 2013,Percentage of respondents satisfied with overall service in 12 months to June 2012,Confidence Interval percentage of respondents satisfied with overall service in 12 months to June 2012,Percentage of respondents satisfied with overall service in 12 months to June 2011,Confidence Interval percentage of respondents satisfied with overall service in 12 months to June 2011,Percentage of respondents satisfied with overall service in 12 months to June 2010,Confidence Interval percentage of respondents satisfied with overall service in 12 months to June 2010
England and Wales,85.02666114,0.19480215,83.75963749,0.197318945,84.09918853,0.190125856,82.61785077,0.193202453
Avon and Somerset,87.66710567,1.128265329,86.37786725,1.120420509,87.34022217,1.031429511,83.23594159,1.24058081
Bedfordshire,82.32716275,0.143713318,80.97163523,1.462580501,79.08870152,1.562103855,80.60868049,1.591781518
Cambridgeshire,87.16178661,1.305705659,86.18831637,1.379127646,84.64834044,1.485133608,82.39858743,1.698471256
Cheshire,88.68709912,1.682222925,84.88926532,1.893155239,88.58278859,1.592018938,89.96302975,1.148317163
City of London,85.3030303,6.402897607,80.36870234,11.22351912,90.94911937,2.952292061,95.15151515,2.531953208
Cleveland,83.32950674,1.622228243,82.81108684,1.587091617,84.13132473,1.577018786,83.39558976,1.591490875
Cumbria,89.20524544,1.811621277,91.48674695,2.312687251,87.40296949,2.724721436,87.16661887,2.203607106
Derbyshire,86.71000437,1.447585848,86.99034306,1.591701789,84.70038501,1.616465729,82.15673854,1.513038574
Devon and Cornwall,84.15713708,1.581044929,85.30739154,1.502625967,87.24190441,1.480459614,84.18422326,1.655894178
Dorset,82.38544088,1.541491543,83.93194946,1.414963449,83.45309785,1.506714089,83.81125942,1.552034176
Durham,89.64748007,1.514047815,87.22774372,1.861960529,85.96432161,1.609164939,85.24240848,1.482314521
Dyfed-Powys,84.06577446,4.623086542,86.77275018,2.50264569,84.39844814,2.851075747,87.79629943,2.170684405
Essex,79.83559059,1.727643276,81.94732122,1.467396798,84.15083582,1.476955409,85.46510306,1.491335888
Gloucestershire,80.84464649,1.8228656,81.25142461,1.638271784,81.81331936,1.623531008,83.33459107,1.569254208
Greater Manchester,84.92080237,0.88835318,84.28911864,0.824348269,83.39815141,0.851448006,78.22543686,0.843817827
Gwent,79.99342028,1.761621003,81.75190745,1.699730918,82.11370531,1.607129736,80.89349313,1.659352622
Hampshire,84.04646964,0.94603528,81.54877284,0.978798758,83.65661528,0.76761011,84.55780521,0.695403444
Hertfordshire,88.16749243,1.270675132,88.06644365,1.294678686,88.12292545,1.460223316,87.36855287,1.61059767
Humberside,86.17793246,1.24681883,84.80626782,1.231070491,83.02596775,1.256133191,81.71461908,1.29859473
Kent,87.4672052,1.231807828,87.74091794,1.134536098,87.3518836,1.087325947,85.30671137,1.168961348
Lancashire,86.7541806,0.644108755,85.0645739,1.183943367,84.50726767,1.431968605,84.94019469,1.448663643
Leicestershire,85.38009438,1.828761248,84.67006827,1.800305574,86.94077497,1.553149954,85.925083,1.54985584
Lincolnshire,83.48881135,1.96620043,82.72033338,1.977841063,82.58736535,1.811741928,79.69712305,2.128498836
Merseyside,89.22835794,0.09806798,88.10232248,0.940684102,88.01619579,0.910371276,87.43693331,0.898317655
Metropolitan Police,77.54296991,0.653309924,74.2037966,0.672778223,75.81853508,0.672853221,76.64531338,0.660142044
Norfolk,89.19994466,1.294917515,87.01049687,1.325219838,87.33522465,1.907313864,87.27316137,1.259996549
Northamptonshire,84.18014464,1.741716414,84.07698629,1.753844961,85.40145057,1.762602997,85.58250903,1.769525947
Northumbria,91.49879199,1.056507004,93.38993574,1.003531004,92.54193471,1.029088167,91.0224074,0.875901893
North Wales,81.17406623,1.697568602,81.28714822,1.805494845,83.49421144,1.605295728,83.67964034,1.694161086
North Yorkshire,86.62596217,0.948939373,84.975756,1.264336712,86.52510138,1.524735026,79.44080519,1.797559411
Nottinghamshire,87.10795301,0.842433994,87.19710709,0.758097128,87.17743106,0.748037709,81.01258157,0.875782094
South Wales,87.72733438,0.911306589,85.6814141,1.022815327,87.63675083,0.832302611,82.03223635,1.105970681
South Yorkshire,85.29927283,1.418550605,84.73326781,1.461873482,84.21806076,1.541782234,81.84699196,1.688251618
Staffordshire,90.55339989,1.641298629,85.90428315,1.745893253,90.11062359,1.371026589,85.72546088,1.835982963
Suffolk,87.51774361,1.809252848,82.38199855,2.02984758,82.44736128,1.946277906,83.02787231,1.818273685
Surrey,87.6437328,0.878965359,82.65725746,1.051031115,84.0415596,0.984250722,81.02105647,1.032715553
Sussex,85.61485184,1.195309416,83.63178705,1.416441959,82.75567207,1.64123175,80.54528363,1.748137879
Thames Valley,88.06906193,1.831657952,86.01842287,0.962987646,85.088008,0.960264924,82.71297393,1.030519296
Warwickshire,85.58581135,1.657301686,81.50200527,1.908849456,81.47174325,1.594284761,82.54381175,1.346041527
West Mercia,85.37073786,1.143940983,85.03012573,1.179305798,86.18016972,1.113964343,85.57580396,1.119391917
West Midlands,85.5459619,0.075614203,86.46079535,0.892654574,85.41811369,0.70263959,87.33233136,0.73252843
West Yorkshire,87.76029363,0.759984528,86.18091089,0.739408024,83.82561977,0.759382503,80.60382276,0.798270291
Wiltshire,88.05341256,1.952081838,84.96505293,1.924263066,82.60649087,2.142868144,82.36112727,1.213681069
