"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Cabinet Office","Big Lottery Fund","Communications and Marketing","4","Grade 2","16152","25554","Assistant","1.94","Communications"
"Cabinet Office","Big Lottery Fund","Communications and Marketing","4","Grade 3","20905","32027","Officer","21.65","Communications"
"Cabinet Office","Big Lottery Fund","Communications and Marketing","4","Grade 4","26393","41404","Manager","5.00","Communications"
"Cabinet Office","Big Lottery Fund","Communications and Marketing","4","Grade 5","36580","48710","Middle Manager","6.00","Communications"
"Cabinet Office","Big Lottery Fund","Communications and Marketing","4","Grade 6","41172","61096","Head of Department","5.30","Communications"
"Cabinet Office","Big Lottery Fund","England","2","Grade 1","12143","20488","Administrator","36.81","Operational Delivery"
"Cabinet Office","Big Lottery Fund","England","2","Grade 2","16152","25554","Assistant","87.64","Operational Delivery"
"Cabinet Office","Big Lottery Fund","England","2","Grade 3","20905","32027","Officer","205.20","Operational Delivery"
"Cabinet Office","Big Lottery Fund","England","2","Grade 4","26393","41404","Manager","140.14","Operational Delivery"
"Cabinet Office","Big Lottery Fund","England","2","Grade 5","36580","48710","Middle Manager","25.59","Operational Delivery"
"Cabinet Office","Big Lottery Fund","England","2","Grade 6","41172","61096","Head of Department","9.80","Operational Delivery"
"Cabinet Office","Big Lottery Fund","Finance and Corporate Services","5","Grade 1","12143","20488","Administrator","4.40","Finance"
"Cabinet Office","Big Lottery Fund","Finance and Corporate Services","5","Grade 2","16152","25554","Assistant","31.13","Finance"
"Cabinet Office","Big Lottery Fund","Finance and Corporate Services","5","Grade 3","20905","32027","Officer","25.80","Finance"
"Cabinet Office","Big Lottery Fund","Finance and Corporate Services","5","Grade 4","26393","41404","Manager","34.24","Finance"
"Cabinet Office","Big Lottery Fund","Finance and Corporate Services","5","Grade 5","36580","48710","Middle Manager","15.00","Finance"
"Cabinet Office","Big Lottery Fund","Finance and Corporate Services","5","Grade 6","41172","61096","Head of Department","3.00","Finance"
"Cabinet Office","Big Lottery Fund","Northern Ireland","8","Grade 1","12143","20488","Administrator","6.80","Operational Delivery"
"Cabinet Office","Big Lottery Fund","Northern Ireland","8","Grade 2","16152","25554","Assistant","6.98","Operational Delivery"
"Cabinet Office","Big Lottery Fund","Northern Ireland","8","Grade 3","20905","32027","Officer","23.41","Operational Delivery"
"Cabinet Office","Big Lottery Fund","Northern Ireland","8","Grade 4","26393","41404","Manager","7.20","Operational Delivery"
"Cabinet Office","Big Lottery Fund","Northern Ireland","8","Grade 5","36580","48710","Middle Manager","3.00","Operational Delivery"
"Cabinet Office","Big Lottery Fund","Northern Ireland","8","Grade 6","41172","61096","Head of Department","1.00","Operational Delivery"
"Cabinet Office","Big Lottery Fund","Scotland","26","Grade 1","12143","20488","Administrator","6.81","Operational Delivery"
"Cabinet Office","Big Lottery Fund","Scotland","26","Grade 2","16152","25554","Assistant","19.55","Operational Delivery"
"Cabinet Office","Big Lottery Fund","Scotland","26","Grade 3","20905","32027","Officer","32.14","Operational Delivery"
"Cabinet Office","Big Lottery Fund","Scotland","26","Grade 4","26393","41404","Manager","19.78","Operational Delivery"
"Cabinet Office","Big Lottery Fund","Scotland","26","Grade 5","36580","48710","Middle Manager","9.60","Operational Delivery"
"Cabinet Office","Big Lottery Fund","Strategy, Performance and Learning","7","Grade 2","16152","25554","Assistant","5.00","Policy"
"Cabinet Office","Big Lottery Fund","Strategy, Performance and Learning","7","Grade 3","20905","32027","Officer","8.99","Policy"
"Cabinet Office","Big Lottery Fund","Strategy, Performance and Learning","7","Grade 4","26393","41404","Manager","21.92","Policy"
"Cabinet Office","Big Lottery Fund","Strategy, Performance and Learning","7","Grade 5","36580","48710","Middle Manager","10.86","Policy"
"Cabinet Office","Big Lottery Fund","Strategy, Performance and Learning","7","Grade 6","41172","61096","Head of Department","6.41","Policy"
"Cabinet Office","Big Lottery Fund","Wales","27","Grade 1","12143","20488","Administrator","8.00","Operational Delivery"
"Cabinet Office","Big Lottery Fund","Wales","27","Grade 2","16152","25554","Assistant","6.20","Operational Delivery"
"Cabinet Office","Big Lottery Fund","Wales","27","Grade 3","20905","32027","Officer","24.10","Operational Delivery"
"Cabinet Office","Big Lottery Fund","Wales","27","Grade 4","26393","41404","Manager","11.20","Operational Delivery"
"Cabinet Office","Big Lottery Fund","Wales","27","Grade 5","36580","48710","Middle Manager","4.00","Operational Delivery"
