"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band A","42034","67969","senior operational manager","5.00","Operational Delivery"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band B","29634","44964","Senior Communications Manager","0.83","Communications"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band B","29634","44964","senior operational manager","13.00","Operational Delivery"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band C","21096","36061","Communications Manager","1.00","Communications"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band C","21096","36061","Operational manager","15.81","Operational Delivery"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band D","17513","28000","Communications Manager","1.00","Communications"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band D","17513","28000","Operational manager","38.39","Operational Delivery"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band E","15935","22250","Operations Support Officer","23.86","Operational Delivery"
"Ministry of Justice","Ministry of Justice","Tribunals Service","4","Band F","13894","18700","Operations Support Officer","1.00","Operational Delivery"
"Ministry of Justice","Ministry of Justice","Her Majesty's Court Service (HMCS)","5","Band A","42034","67969","senior operational manager","9.00","Operational Delivery"
"Ministry of Justice","Ministry of Justice","Her Majesty's Court Service (HMCS)","5","Band B","29634","44964","senior operational manager","8.00","Operational Delivery"
"Ministry of Justice","Ministry of Justice","Her Majesty's Court Service (HMCS)","5","Band C","21096","36061","Operational manager","10.50","Operational Delivery"
"Ministry of Justice","Ministry of Justice","Her Majesty's Court Service (HMCS)","5","Band D","17513","28000","Operational manager","14.92","Operational Delivery"
"Ministry of Justice","Ministry of Justice","Her Majesty's Court Service (HMCS)","5","Band E","15935","22250","Operations Support Officer","17.76","Operational Delivery"
"Ministry of Justice","Ministry of Justice","Her Majesty's Court Service (HMCS)","6","Band A","42034","67969","senior finance manager","3.00","Finance"
"Ministry of Justice","Ministry of Justice","Her Majesty's Court Service (HMCS)","6","Band A","42034","67969","Senior Legal Adviser","1.00","Law"
"Ministry of Justice","Ministry of Justice","Her Majesty's Court Service (HMCS)","6","Band A","42034","67969","senior operational manager","7.00","Operational Delivery"
