CPS outcomes by principal offence category kent,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,1,100.0%,0,0.0%
B Offences Against The Person,208,73.5%,75,26.5%
C Sexual Offences,27,87.1%,4,12.9%
D Burglary,47,94.0%,3,6.0%
E Robbery,8,88.9%,1,11.1%
F Theft And Handling,325,92.9%,25,7.1%
G Fraud And Forgery,19,82.6%,4,17.4%
H Criminal Damage,68,79.1%,18,20.9%
I Drugs Offences,87,83.7%,17,16.3%
J Public Order Offences,115,89.8%,13,10.2%
K All Other Offences (excluding Motoring),77,74.8%,26,25.2%
L Motoring Offences,433,92.5%,35,7.5%
Admin Finalisations,0,0.0%,39,100.0%
TOTAL,"1,415",84.5%,260,15.5%
