"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Communities and Local Government","Homes and Communities Agency","Assistant Chief Executive Office","4A0001","Key Support","16000","31000","Executive Assistant","0.69","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","Assistant Chief Executive Office","4A0001","Key Support","16000","31000","Team Administrator","1.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","Assistant Chief Executive Office","4A0001","Manager","31000","73000","Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Assistant Chief Executive Office","4A0001","Manager","31000","73000","Senior Manager","1.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","Assistant Chief Executive Office","4A0001","Manager","31000","73000","Communications Manager","3.00","Communications"
"Department for Communities and Local Government","Homes and Communities Agency","Assistant Chief Executive Office","4A0001","Manager","31000","73000","Senior Manager","2.00","Communications"
"Department for Communities and Local Government","Homes and Communities Agency","Assistant Chief Executive Office","4A0001","Professional/Technical","20900","50750","Analyst","1.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","Assistant Chief Executive Office","4A0001","Professional/Technical","20900","50750","Manager","7.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","Assistant Chief Executive Office","4A0001","Professional/Technical","20900","50750","Communications Manager","3.00","Communications"
"Department for Communities and Local Government","Homes and Communities Agency","Assistant Chief Executive Office","4A0001","Professional/Technical","20900","50750","Communications Support Officer","7.12","Communications"
"Department for Communities and Local Government","Homes and Communities Agency","Assistant Chief Executive Office","4A0001","Professional/Technical","20900","50750","Manager","1.00","Communications"
"Department for Communities and Local Government","Homes and Communities Agency","Assistant Chief Executive Office","4A0001","Senior Manager","52000","104000","Head of Function","3.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","Assistant Chief Executive Office","4A0001","Senior Manager","52000","104000","Senior Manager","1.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","Assistant Chief Executive Office","4A0001","Senior Manager","52000","104000","Assistant Director","1.00","Communications"
"Department for Communities and Local Government","Homes and Communities Agency","Chief Executive Office","4A0001","Key Support","16000","31000","Executive Assistant","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Key Support","16000","31000","Team Administrator","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Key Support","16000","31000","Team Administrator","4.60","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Manager","31000","73000","Area Manager","5.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Manager","31000","73000","Business Manager","0.85","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Manager","31000","73000","Senior Manager","2.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Manager","31000","73000","Area Manager","28.47","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Manager","31000","73000","Business Manager","2.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Manager","31000","73000","Development Manager","5.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Manager","31000","73000","Manager","4.50","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Professional/Technical","20900","50750","Analyst","6.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Professional/Technical","20900","50750","Area Manager","4.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Professional/Technical","20900","50750","Senior Officer","2.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Professional/Technical","20900","50750","Team Administrator","0.50","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Senior Manager","52000","104000","Development Manager","1.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Senior Manager","52000","104000","Head of Area","5.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Senior Manager","52000","104000","Head of Team","1.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Senior Manager","52000","104000","Manager","1.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","4C0001","Senior Manager","52000","104000","Senior Manager","1.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Facilities Assistant","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Advisor","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Executive Assistant","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Facilities Assistant","9.66","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Facilities Officer","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Finance Officer","3.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Finance Support Officer","1.52","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Head of Team","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","HR Support Officer","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","IT Support Officer","2.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Office Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Policy Advisor","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Secretariat","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Team Administrator","3.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Analyst","1.00","Law"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Legal Support Officer","4.00","Law"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Team Administrator","1.00","Law"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Finance Support Officer","1.32","Internal Audit"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Apprentice","1.00","Human Resources"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","HR Officer","3.57","Human Resources"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","HR Support Officer","5.00","Human Resources"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Team Administrator","1.00","Human Resources"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Finance Officer","1.00","Finance"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Finance Support Officer","1.00","Finance"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Senior Finance Officer","6.62","Finance"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Analyst","1.00","Information Technology"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Apprentice","2.00","Information Technology"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","HR Support Officer","0.97","Information Technology"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","IT Support Officer","2.00","Information Technology"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Key Support","16000","31000","Team Administrator","1.00","Information Technology"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Manager","31000","73000","Analyst","5.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Manager","31000","73000","IT Manager","2.85","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Manager","31000","73000","Senior HR Manager","2.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Manager","31000","73000","Senior Internal Auditor","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Manager","31000","73000","Senior Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Manager","31000","73000","Solicitor","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Manager","31000","73000","Senior Manager","1.00","Law"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Manager","31000","73000","Solicitor","3.45","Law"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Manager","31000","73000","Senior Internal Auditor","2.00","Internal Audit"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Manager","31000","73000","Senior Manager","1.00","Internal Audit"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Manager","31000","73000","Senior HR Manager","3.70","Human Resources"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Manager","31000","73000","Manager","3.00","Finance"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Manager","31000","73000","Senior Manager","3.00","Finance"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Manager","31000","73000","Analyst","2.00","Information Technology"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Manager","31000","73000","Head of Function","1.00","Information Technology"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Manager","31000","73000","IT Manager","3.00","Information Technology"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Manager","31000","73000","Senior IT Manager","2.00","Information Technology"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Professional/Technical","20900","50750","Analyst","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Professional/Technical","20900","50750","Manager","2.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Professional/Technical","20900","50750","Office Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Professional/Technical","20900","50750","Operational Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Professional/Technical","20900","50750","Programme Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Professional/Technical","20900","50750","Programme Support Officer","2.00","Operational Delivery"
"Department for Communities and Local Government","Homes and Communities Agency","Finance & Corporate Services","4D0001","Professional/Technical","20900","50750","Senior Finance Officer","3.60","Operational Delivery"
