Spending Control and Scope (Summary) - Property,,,,,
,,,,,
"HM Treasury will not normally approve spending without Cabinet Office agreement for spend over £100,000 on the signing of new leases, renewals of existing leases,",,,,,
" the non-exercise of lease break options, any new property acquisitions (including those made through a Private Finance Initiative provider), new build developments, sale and leaseback, ",,,,,
and any freehold sales as part of national property controls.,,,,,
,,,,,
"·        As a guideline, any permitted lease renewal should demonstrate a minimum 25% reduction in initial rent in the current market, and the rent review and/or uplift mechanism must be agreed ",,,,,
by the Government Property Unit (GPU).,,,,,
·        All major refurbishments and new acquisitions of workspace should adhere to the workplace standards for office space of 8sqm Net Internal Area / Full Time Employees or less. ,,,,,
The utilisation of workspace should employ a ratio of 8 workstations per 10 FTEs or less. ,,,,,
·        All new facilities management (FM) contracts and contract extensions must be approved by the FM Category Board and meet with the GPU FM compliance criteria.,,,,,
·        Departments should work with GPU to develop their property strategies and share their plans with GPU across all levels of spend.,,,,,
,,,,,
"The control covers all bodies within scope with land and property holdings within the UK.  Exempt from this are assets connected to the Olympics, the overseas estate and  ",,,,,
"the Military operational estate (although new military property acquisitions and disposals are covered), national infrastructure assets, communication networks, scientific monitoring sites and ",,,,,
property held under Memorandum of Terms of Occupation. ,,,,,
,,,,,
Period 1st November 2010 to 30th September 2011 inclusive ,,,,,
Department,Organisation Name,Property,Basis for Exception, Value ,Approval month
DFID,Nil return,,,,
,,,,,
,,,,,
Period 1st October 2011 to 31st December 2011 inclusive ,,,,,
Department,Organisation Name,Property,Basis for Exception, Value ,Approval month
DFID,Nil return,,,,
,,,,,
,,,,,
Period 1st January 2012 to 31st March 2012 inclusive ,,,,,
Department,Organisation (Project) Name,Basis for Exception, Value requested , Value Approved ,Approval month
DFID,Nil return,,,,
,,,,,
,,,,,
Period 1st April 2012 to 30 June 2012 inclusive ,,,,,
Department,Organisation (Project) Name,Basis for Exception, Value , Value Approved ,Approval month
DFID,nil return,,,,
,,,,,
,,,,,
Period 1st July 2012 to 30 September 2012 inclusive ,,,,,
Department,Organisation (Project) Name,Basis for Exception, Value , Value Approved ,Approval month
DFID,nil return,,,,
,,,,,
,,,,,
Period 1st October 2012 to 30  December 2012 inclusive ,,,,,
Department,Organisation (Project) Name,Basis for Exception, Value , Value Approved ,Approval month
DFID,ISG (Whitehall re-location project),ISG  appointed as main contractors to refurbish 22/26 Whitehall in advance of occupation by DFID.,£1.6m (Approx),£1.6m,Sep-12
