Entity,Merchant Name,Date Posted,Billing Amount,Description
DFT,VODAFONE,01/02/2013,"£1,383.59",Mobile phone charges
DFT,WILDY VIRTUAL TERMINAL,04/02/2013,£744.00,Law Book/publication for the legal library.
DFT,INFRARESEARCH.COM,04/02/2013,"£2,306.40",Annual renewal of specialist publication (hard copy + full web access)
DFT,GOVNET COMMUNICATI,05/02/2013,"£1,068.00",Training for two staff members over one day
DFT,WILDY VIRTUAL TERMINAL,05/02/2013,"£1,102.00",Law Book/publication for the legal library.
DFT,WILDY VIRTUAL TERMINAL,05/02/2013,"£1,120.00",Law Book/publication for the legal library.
DFT,WILDY VIRTUAL TERMINAL,05/02/2013,£786.00,Law Book/publication for the legal library.
DFT,WILDY VIRTUAL TERMINAL,05/02/2013,£786.00,Law Book/publication for the legal library.
DFT,WILDY VIRTUAL TERMINAL,05/02/2013,"£1,112.00",Law Book/publication for the legal library.
DFT,WILDY VIRTUAL TERMINAL,05/02/2013,"£1,190.00",Law Book/publication for the legal library.
DFT,WILDY VIRTUAL TERMINAL,05/02/2013,£786.00,Law Book/publication for the legal library.
DFT,ARINC INCORP 1300000917,05/02/2013,"£1,969.57","Subscription: annual, for Fight Data Recorder laboratories "
DFT,WWW.DTMSOFTWARE.COM,05/02/2013,"£1,800.00",IT Software: 2 Licenses for wreckage plotting 
DFT,ROGUE WAVE SOFTWAREUK,05/02/2013,"£2,244.00",IT Software: Renewal for Flight Data Recorder Laboratories
DFT,WWW.PUBLICPOLICYEXCHAN,05/02/2013,£588.00,1 day training course for 1 person
DFT,ASI notebookbits.hoste,06/02/2013,£724.20,30 Dell E-Port Replicators-Power Supplies.
DFT,TQ CATALIS LTD,07/02/2013,£637.92,Training course: for 2 staff over 2 days
DFT,GOVERNMENT KNOWLEDGE L,07/02/2013,£948.00,Training Course for 2 members of staff for 1 day
DFT,PHILPOTTS LTD,08/02/2013,£508.30,Seminar costs for 3 regional events on devolving major local transport schemes 
DFT,CIVIL SERVICE LEARNING,08/02/2013,"£1,192.80",Introductory Course for Lawyers attended by one staff member.
DFT,I M S A,08/02/2013,£594.00,Training course: for 1 staff member over 3 days
DFT,THE SPEECH CENTRE,11/02/2013,£609.00,Specialist Disability Software
DFT,BURT BRILL & CARDENS,11/02/2013,£600.00,Legal Services
DFT,WWW.EVERYPAGE.CO.UK,11/02/2013,£775.20,Printer repair
DFT,SOUTHERN CALIFORNIA SAFE,11/02/2013,"£2,199.42",Training course: for 1 AAIB inspector over 4.5 days
DFT,DHL EXPRESS,11/02/2013,£691.40,Courier service
DFT,HAMPSHIRE COUNTY COUNC,11/02/2013,£920.00,Driver training 9 staff
DFT,THE KNOWLEDGE ACADEMY,11/02/2013,"£1,160.49",5 day training course for 1 person
DFT,STATIONERY OFFICE BOOK,11/02/2013,£658.38,Hansard Order Papers
DFT,RICOH UK LIMITED,12/02/2013,£579.75,Rental charges for a Photocopier
DFT,LASERMET LTD,12/02/2013,"£1,170.00",3 illuminated signs for Fight Data Recorder Laboratories
DFT,WWW.PAYATRADER.COM,12/02/2013,£537.20,Specialist items for Fight Data Recorder desks
DFT,BRITISH A,12/02/2013,"£1,560.00",Training course: for 13 AAIB staff over one day
DFT,POSTURITE (UK) LTD,13/02/2013,"£1,987.57",Specialist disability furniture and setup
DFT,WWP TRAINING LTD,13/02/2013,£993.60,Training course: 4 members of staff over 2 days
DFT,EML LEARNING,13/02/2013,£840.00,Training course for one staff member over 2 days
DFT,THE KNOWLEDGE ACADEMY,13/02/2013,"£1,160.49",5 day training course for 1 person
DFT,WWP TRAINING LTD,14/02/2013,£993.60,Training course: 4 members of staff over 2 days
DFT,QA-IQ LTD,14/02/2013,"£3,360.00",2 Training Course: for 2 AAIB staff over a week 
DFT,THE KNOWLEDGE ACADEMY,14/02/2013,£710.63,3 day training course for 1 person
DFT,WWW.PUBLICPOLICYEXCHAN,15/02/2013,£588.00,Training Course for 1 member of staff for 2 days
DFT,WWW.ECANVAS.CO.UK,18/02/2013,£634.80,Design Drawing Plotter
DFT,QA-IQ LTD,19/02/2013,£600.00,Training course 1 person 1 day
DFT,FORCE 4 CHANDLERY,19/02/2013,£599.75,PPE Kit Bags
DFT,IAN TAIT AND CO LTD,20/02/2013,£540.00,CIPS Level 5 Module for 1 person
DFT,MET OFFICE,21/02/2013,£789.60,Weather reports relating to RAIB investigation
DFT,WILDY VIRTUAL TERMINAL,22/02/2013,£685.00,Books for GCO
DFT,EML LEARNING,22/02/2013,£840.00,Training for one staff member over one day 
DFT,EML LEARNING,22/02/2013,£840.00,Training for one staff member over one day 
DFT,EML LEARNING,22/02/2013,£500.00,Training for 20 staff members over 2 days
DFT,EML LEARNING,22/02/2013,"£1,000.00",Training for 20 staff members over 2 days
DFT,DON RUFFLES LTD,22/02/2013,£834.00,Office Machinery for AAIB administration office
DFT,AIR CANADA  0142118023138,22/02/2013,£724.99,Flights: 1 x Return economy ticket 
DFT,HILTON INT'L,25/02/2013,£502.08,Supporting Minister on Official visit
DFT,WHITEHALL & INDUST,25/02/2013,£600.00,Staff event for 10 people over one day
DFT,OSMOND GROUP LTD,27/02/2013,"£1,004.71",Specialist disability furniture and equipment
DFT,STATIONERY OFFICE BOOK,27/02/2013,£527.88,Hansard Order Papers
DFT,DELL PRODUCT,28/02/2013,£522.67,4 x 4GB (2x2GB) Memory Module for selected Dell Systems DDR-667 FBDIMM 2RX4 ECC 
DFT,EML LEARNING,28/02/2013,£648.00,Training for one staff member over one day 
DFT,ROYAL MAIL GROUP,28/02/2013,£555.46,Postage costs for pre paid envelopes
DFT,ISCC System,28/02/2013,£884.57,Training course: for 1 staff member over 3 days
DSA,HAYMARKET PUBLISHING S,08/02/2013,£718.80,Two-day course and workshops for one staff member
DSA,RIDERS OF CARDIFF,18/02/2013,£612.55,DSA Motorcycle Fleet service and repair
DSA,MSFT    ONLINE,25/02/2013,£557.22,Software for mobile IT project
DVLA,VISIONAID TECHNOLOGIES,01/02/2013,£804.00,skills & qualification training for 1 member of staff 
DVLA,SHEFFIELD HALLAM U,05/02/2013,£750.00,skills & qualification training for 1 member of staff 
DVLA,BLACKFEN MOTORIST,07/02/2013,£651.60,vehicle service & repeir
DVLA,NEW COLLEGE CITY,08/02/2013,£600.00,skills & qualification training for 1 member of staff 
DVLA,OU FINANCE MOTO,19/02/2013,£750.00,skills & qualification training for 1 member of staff 
DVLA,LINCOLN COLLEGE,20/02/2013,£750.00,skills & qualification training for 1 member of staff 
DVLA,RGM VEHICLE BODY REPAIRS,21/02/2013,£655.77,vehicle repairs
GCDA,MARSHALL WORKSHOPS,04/02/2013,£959.22,vehicle service & repeir
GCDA,A.M.CAPURRO & SONS,06/02/2013,£564.00,vehicle service & repeir
GCDA,MACKLIN MOTORS,11/02/2013,£780.38,vehicle service & repeir
GCDA,JOHN F BLACK MOTOR,14/02/2013,£561.11,vehicle service & repeir
GCDA,VOSPERS MOTORHOUSE MM SV,27/02/2013,£501.79,vehicle service & repeir
GCDA,FORD,27/02/2013,£608.17,vehicle service & repeir
HA,PENNA PLC,04/02/2013,£769.74,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,04/02/2013,£627.56,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,04/02/2013,"£1,139.98",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,04/02/2013,£859.59,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,04/02/2013,"£3,433.58",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,04/02/2013,£567.69,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,04/02/2013,£514.99,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,04/02/2013,"£3,913.83",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,04/02/2013,"£1,045.83",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,07/02/2013,"£2,211.64",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,07/02/2013,£574.78,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,07/02/2013,£800.34,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,07/02/2013,£859.52,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,07/02/2013,£613.77,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,07/02/2013,"£1,079.82",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,07/02/2013,"£2,078.35",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,07/02/2013,£700.16,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,07/02/2013,£672.50,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,07/02/2013,£696.64,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,07/02/2013,£564.78,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,07/02/2013,£812.54,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,07/02/2013,£845.00,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,07/02/2013,£816.00,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,"£1,127.25",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,£913.26,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,"£1,054.59",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,£726.96,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,£619.70,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,"£2,951.98",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,"£1,773.00",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,£830.11,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,£738.09,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,£830.11,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,£716.08,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,£955.70,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,£639.93,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,£601.29,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,£929.56,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,£571.56,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,£992.82,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,£711.63,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,£599.31,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,"£1,115.08",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,£522.91,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,11/02/2013,£536.58,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,12/02/2013,"£1,083.14",Statutory Advertising for work undertaken on HA road network
