Either Way Offences and Attempts ,Current Quarter Month 1,Current Quarter Month 2,Current Quarter Month 3,Q3 2011/2012,Previous Quarter Month 1,Previous Quarter Month 2,Previous Quarter Month 3,Q3 2010/2011
Theft ,59,79,73,211,108,103,84,295
Removal of articles from places open to  the public ,0,0,0,0,0,0,0,0
Abstracting electricity,0,0,0,0,1,1,2,4
False accounting,1,1,0,2,1,0,0,1
Handling stolen goods,1,0,1,2,4,3,0,7
Going equipped for stealing etc,0,0,0,0,0,1,0,1
Making off without payment ,17,14,10,41,13,21,23,57
Making a false representation ,11,22,23,56,33,35,21,89
Failing to disclose information ,0,1,0,1,0,0,0,0
Fraud by abuse of position ,1,3,0,4,2,4,7,13
Possession of articles for use in frauds,0,0,0,0,0,0,0,0
Making or supplying articles for use in frauds,0,1,0,1,0,0,1,1
Obtaining services dishonestly ,0,0,1,1,1,1,3,5
Threats to destroy or damage property,0,0,0,0,1,1,0,2
Possessing anything with intent to destroy or damage property ,0,0,0,0,0,0,0,0
Possession of any class of drug (consistent with personal use),27,26,30,83,55,66,55,176
Other Forgery ,0,0,0,0,1,2,0,3
Total,117,147,138,402,220,238,196,654
