"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department of Health","Public Health England","Human Resources Division","1333823","AFC 1 - AFC 4","14294","22016","OH Administrator","2.27","Human Resources"
"Department of Health","Public Health England","Human Resources Division","1333823","AFC 1 - AFC 5","14294","27901","HR Officer","23.13","Human Resources"
"Department of Health","Public Health England","Human Resources Division","1333823","AFC 1 - AFC 5","14294","27901","OH Administrator","2.00","Human Resources"
"Department of Health","Public Health England","Human Resources Division","1333823","AFC 1 - AFC 7","14294","40558","HR Manager","6.00","Human Resources"
"Department of Health","Public Health England","Human Resources Division","1333823","AFC 1 - AFC 7","14294","40558","Occupational Health Nurse","3.00","Human Resources"
"Department of Health","Public Health England","Human Resources Division","1333823","AFC 8A- AFC 8B","39239","56504","HR Manager","6.91","Human Resources"
"Department of Health","Public Health England","Human Resources Division","1333823","AFC 8A- AFC 8B","39239","56504","Senior HR Manager","3.00","Human Resources"
"Department of Health","Public Health England","Human Resources Division","1333823","AFC 8A- AFC 8B","39239","56504","Senior Occupational Health Nurse","2.00","Human Resources"
"Department of Health","Public Health England","Human Resources Division","1333823","AFC 8A - AFC 8C","39239","67805","Senior HR Manager","4.00","Human Resources"
"Department of Health","Public Health England","Human Resources Division","5922338","AFC 1 - AFC 4","14294","22016","HR Officer","1.00","Human Resources"
"Department of Health","Public Health England","Human Resources Division","5922338","AFC 1 - AFC 5","14294","27901","HR Officer","0.51","Human Resources"
"Department of Health","Public Health England","Human Resources Division","5922338","AFC 8A- AFC 8B","39239","56504","Senior HR Manager","3.00","Human Resources"
"Department of Health","Public Health England","Chief Operating Officer","9820735","AFC 1 - AFC 4","14294","22016","Administrator","11.32","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","AFC 1 - AFC 4","14294","22016","Operations Support Officer","14.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","AFC 1 - AFC 4","14294","22016","Operations Support Officer","7.54","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","AFC 1 - AFC 5","14294","27901","Administrator","7.20","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","AFC 1 - AFC 5","14294","27901","Operations Support Officer","3.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","AFC 1 - AFC 5","14294","27901","Scientist","2.60","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","AFC 1 - AFC 6","14294","34530","Senior Administrator","2.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","AFC 1 - AFC 6","14294","34530","Scientist","11.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","AFC 1 - AFC 7","14294","40558","Senior Administrator","4.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","AFC 1 - AFC 7","14294","40558","Scientist","8.48","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","AFC 8A- AFC 8B","39239","56504","Operational Professional Specialist","7.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","AFC 8A- AFC 8B","39239","56504","Senior Scientist","10.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","AFC 8A - AFC 8C","39239","67805","Operational Professional Specialist","1.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","AFC 8A - AFC 8C","39239","67805","Senior Scientist","4.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","AFC 8A  - AFC 8D","39239","81618","Operational Professional Specialist","2.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","AFC 8A  - AFC 8D","39239","81618","Senior Scientist","2.75","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","AA/AO","17459","23567","Scientist","1.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","HEO/SEO","26492","45769","Scientist","1.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","HEO/SEO","26492","45769","Administrator","1.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","9820735","Spot Salary","N/A","N/A","Administrator","1.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","2626417","AFC 1 - AFC 4","14294","22016","Administrator","76.66","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","2626417","AFC 1 - AFC 4","14294","22016","Operations Support Officer","206.68","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","2626417","AFC 1 - AFC 5","14294","27901","Administrator","23.48","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","2626417","AFC 1 - AFC 5","14294","27901","Scientist","110.37","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","2626417","AFC 1 - AFC 6","14294","34530","Senior Administrator","7.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","2626417","AFC 1 - AFC 6","14294","34530","Scientist","153.57","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","2626417","AFC 1 - AFC 6","14294","34530","Health Protection Nurse","1.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","2626417","AFC 1 - AFC 7","14294","40558","Senior Administrator","6.19","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","2626417","AFC 1 - AFC 7","14294","40558","Scientist","114.74","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","2626417","AFC 1 - AFC 7","14294","40558","Health Protection Nurse","1.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","2626417","AFC 1 - AFC 7","14294","40558","Scientist","1.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","2626417","AFC 8A- AFC 8B","39239","56504","Operational Professional Specialist","15.00","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","2626417","AFC 8A- AFC 8B","39239","56504","Senior Scientist","62.32","Operational Delivery"
"Department of Health","Public Health England","Chief Operating Officer","2626417","AFC 8A - AFC 8C","39239","67805","Operational Professional Specialist","3.00","Operational Delivery"
