November 2014 - Spend Above £25k,,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Description,Supplier Postcode,Expenditure Type
Department of Education,OFSTED,19/11/2014,Travel,Corporate Transactions,Calder Conferences Ltd,812550,"£42,855.38",Meeting and Conferencing Service,LS16 6RF,Admin Class
Department of Education,OFSTED,21/11/2014,Travel,Corporate Transactions,Calder Conferences Ltd,812596,"£38,782.36",Meeting and Conferencing Service,LS16 6RF,Admin Class
Department of Education,OFSTED,11/11/2014,Contracted Inspection Costs,Inspection Costs,Cfbt,159688,"£56,300.83",Inspection Service Provider,RG1 4BS,Programme Class
Department of Education,OFSTED,11/11/2014,Contracted Inspection Costs,Inspection Costs,Cfbt,159689,"£40,520.00",Inspection Service Provider,RG1 4BS,Programme Class
Department of Education,OFSTED,07/11/2014,Managed Services,Information Services,CGI IT UK Ltd,812357,"£308,335.27",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,07/11/2014,Managed Services,Information Services,CGI IT UK Ltd,812355,"£53,447.54",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,11/11/2014,Managed Services,Information Services,CGI IT UK Ltd,812411,"£32,588.59",ICT Support,RG2 6UA,Programme Class
Department of Education,OFSTED,04/11/2014,Corporate Transactions,Corporate Transactions,Company Barclaycard,77,"£66,872.81",Corporate Purchasing Card,TS17 6YG,Programme Class
Department of Education,OFSTED,13/11/2014,Legal,Performance & Projects,DLA Piper UK LLP,812464,"£32,390.30",Commercial Legal Support,EC2V 7EE,Admin Class
Department of Education,OFSTED,13/11/2014,Corporate Contracts,Corporate Transactions,Enterprise Rent-a-Car,812468,"£52,621.59",Vehicle Hire,TW20 9JY,Admin Class
Department of Education,OFSTED,20/11/2014,Corporate Contracts,Corporate Transactions,Enterprise Rent-a-Car,812581,"£39,192.94",Vehicle Hire,TW20 9JY,Admin Class
Department of Education,OFSTED,27/11/2014,Managed Services,"Applications, Regulatory and Contact",Health Management (UK) Ltd,812667,"£28,983.05",Medical Screening,BN8 5NN,Programme Class
Department of Education,OFSTED,06/11/2014,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,812341,"£984,560.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,07/11/2014,Travel,Corporate Transactions,Redfern Travel Ltd,812352,"£474,247.59",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
Department of Education,OFSTED,13/11/2014,Travel,Corporate Transactions,Redfern Travel Ltd,812456,"£383,177.80",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
Department of Education,OFSTED,04/11/2014,Managed Services,Inspection Data & Insight,RM Education,812293,"£82,289.64",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,04/11/2014,Managed Services,Inspection Data & Insight,RM Education,812297,"£71,849.64",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,04/11/2014,Managed Services,Inspection Data & Insight,RM Education,812294,"-£82,289.64",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,26/11/2014,Contracted Inspection Costs,Inspection Costs,Serco Limited,159745,"£130,549.22",Inspection Service Provider,RG27 7FR,Programme Class
Department of Education,OFSTED,12/11/2014,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,812425,"£2,819,845.66",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,11/11/2014,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,159687,"£2,602,544.96",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,12/11/2014,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,812427,"£1,013,085.69",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,12/11/2014,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,812428,"-£987,412.92",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,11/11/2014,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,702302,"-£2,589,596.98",Inspection Service Provider,S2 4AN,Programme Class
Department of Education,OFSTED,12/11/2014,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,812426,"-£2,795,229.82",Inspection Service Provider,S2 4AN,Programme Class
