Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,116,107.3596,371,356.23861,851,823.89409,818,788.93844,215,208.06436,..,..,"2,371","2,284",218,217.0017,..,..,113,107.61849,31,28.52418,362,353.14437,"2,733","2,638","£8,606,952","£64,501","£139,392","£46,051","£1,787,287","£826,331","£11,470,513","£2,511,052","£103,195","£2,614,247","£14,084,760",
Alcohol Education & Research Council,Executive Non-Departmental Public Body,Department of Health,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,.,,,.,.,
Appointments Commission,Executive Non-Departmental Public Body,Department of Health,2,2,17,16.3,11,9.8,4,4,3,2.8,0,0,37,35,0,0,0,0,0,0,0,0,0,0,37,35,"£107,071",£0,£0,£0,"£12,873","£9,667","£129,612",£0,£0,£0,"£129,612",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,275,263.4,64,63.14,967,931.96,128,128,41,41,390,373.65,"1,865","1,801",112,112,10,10,12,12,2,2,136,136,"2,001","1,937","£5,427,473","£148,104",£0,"£42,865","£724,703","£511,773","£6,854,919","£1,138,516","£16,964","£1,155,480","£8,010,399",
Council for Healthcare Regulatory Excellence,Executive Non-Departmental Public Body,Department of Health,2,2,5,5,8,7.6,3,3,1,1,0,0,19,19,2,1.019,0,0,4,2.41,0,0,6,3.429,25,22,"£80,351",£0,£0,£0,"£10,672","£7,732","£98,755","£29,834","£16,000","£45,834","£144,589",
General Social Care Council,Executive Non-Departmental Public Body,Department of Health,104,96.8,55,51.8,46,45.8,13,13,2,2,0,0,220,209,41,18.8,1,1,2,2,6,6,50,27.8,270,237,"£448,415","£22,342","£7,921",£0,"£32,538","£43,285","£554,500","£117,231",£0,"£117,231","£671,731",
Health & Social Care Information Centre,Special Health Authority,Department of Health,96,82.2,127,122.8,162,157,133,127.2,26,23.9,0,0,544,513,33,26,0,0,46,38.8,0,0,79,64.8,623,578,"£1,588,041","£3,904",£0,£104,"£203,372","£123,014","£1,918,435","£422,723","£77,397","£500,120","£2,418,555",
Health Protection Agency,Executive Non-Departmental Public Body,Department of Health,792,710.56,501,476.56,1713,1621.89,346,333.46,351,328.92,108,98.97,"3,811","3,570",67,61.04,7,6.4,18,13.7,1,1,93,82.14,"3,904","3,653","£10,633,695","£1,910,013",£0,"£82,641","£1,469,060","£1,136,103","£15,231,512","£525,721","-£59,040","£466,681","£15,698,193",
Health Research Authority,Special Health Authority,Department of Health,0,0,9,8.75,7,7,8,7.7,2,2,0,0,26,25,4,3.16,2,1,0,0,0,0,6,4.16,32,30,"£89,787",£0,£0,£0,"£11,972","£8,420","£110,179","£34,565",£0,"£34,565","£144,744",The HFEA currently has 8 vacancies
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,2,1.56,24,20.53,31,29.49,10,9.62,4,4,0,0,71,65,0,0,0,0,0,0,0,0,0,0,71,65,"£228,221",£313,£0,"£2,681","£45,794","£24,752","£301,761",£0,"£17,027","£17,027","£318,788",
