objectid,cty16cd,cty16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E10000002,Buckinghamshire,482506,208561,-0.80568999,51.76966095,1564968343.28372,354461.33915018
2,E10000003,Cambridgeshire,520312,273864,-0.23506001,52.34965897,3052755144.33009,501301.318061704
3,E10000006,Cumbria,341868,527389,-2.90217996,54.63825989,6822173685.09408,954971.061384315
4,E10000007,Derbyshire,426752,353556,-1.60210001,53.07857895,2550841704.29233,454889.854873537
5,E10000008,Devon,283141,93082,-3.65701008,50.72555923,6567155116.43911,1004518.71136681
6,E10000009,Dorset,370871,99796,-2.41466999,50.79697037,2541969889.86606,550488.165099105
7,E10000011,East Sussex,564120,118026,0.33453,50.93832016,1712681330.85211,335001.40734643
8,E10000012,Essex,575269,215407,0.54104602,51.80981827,3471597223.95742,1004483.73182712
9,E10000013,Gloucestershire,389595,213465,-2.15234995,51.81970978,2653079840.90475,518997.184162872
10,E10000014,Hampshire,452858,127535,-1.24735999,51.04473114,3678844440.7297,664387.429596384
11,E10000015,Hertfordshire,518883,213642,-0.27699,51.8087883,1643004577.9963,298613.484423525
12,E10000016,Kent,590262,147263,0.72155303,51.19290161,3546036027.0347,640692.791809889
13,E10000017,Lancashire,369784,440758,-2.46091008,53.86215973,2904166277.06035,771759.17154252
14,E10000018,Leicestershire,442147,310191,-1.3779,52.68778992,2083789194.63706,365297.07111741
15,E10000019,Lincolnshire,517985,358543,-0.23882,53.11104965,5936968662.12661,707776.083969845
16,E10000020,Norfolk,600546,312278,0.96466202,52.67110825,5380974732.34878,933837.052882563
17,E10000021,Northamptonshire,477359,268708,-0.86668003,52.31105042,2367051201.69242,367425.593230948
18,E10000023,North Yorkshire,429509,466515,-1.55032003,54.09371185,8040402416.60908,859831.034787318
19,E10000024,Nottinghamshire,466570,359496,-1.00655997,53.12850189,2084770869.91591,377656.735665514
20,E10000025,Oxfordshire,448985,208334,-1.29146004,51.77154922,2605876667.60202,402035.480963753
21,E10000027,Somerset,309293,131082,-3.29605007,51.07186127,3452096324.04749,514642.097995728
22,E10000028,Staffordshire,398243,334651,-2.02756,52.90930176,2623302977.44854,488693.773721934
23,E10000029,Suffolk,608216,266122,1.04914796,52.2538681,3802381360.35089,730258.830537465
24,E10000030,Surrey,515966,153408,-0.33910999,51.26802826,1670087236.78979,267067.78193999
25,E10000031,Warwickshire,429584,253588,-1.56874001,52.17977142,1977520005.47585,387154.058093658
26,E10000032,West Sussex,508316,118010,-0.45932999,50.95133972,1990851302.9638,464698.346174882
27,E10000034,Worcestershire,385792,257203,-2.20935011,52.21287155,1740535125.28647,361962.774766554
