DEPARTMENT FOR TRANSPORT - INFORMATION ASSET REGISTER ,,,,,,,,
Asset Title,Data collection activity,Asset Description,Business Area,Personal,No. of records,Data processor,In public domain,Published where
Access control database,Ongoing,"Database of staff name, office address and photograph.",Department for Transport,No,"1,001 - 10,000",,No,
Accident Reporting System,Ongoing,"Accident, near miss and incident report submissions. ",,Yes,51-500,,No,
ADAM,Ongoing,Air Accident database.,Department for Transport,Yes,"10,001 - 100,000",,No,
Adding Capacity at Heathrow Consultation,Ceased,Database of responses to the Adding Capacity at Heathrow Airport consultation.,Department for Transport,Yes,"10,001 - 100,000",Detica,Yes,This database was used to inform an ongoing policy/consultative exercise. http://webarchive.nationalarchives.gov.uk/+/http://www.dft.gov.uk/pgr/aviation/heathrowconsultations/heathrowdecision/responses/
Ashdown House Hastings Building Access Database,Ongoing,"Information collected to monitor staff who require access to Ashdown House Hastings, these include location, division, telephone number, line manager. Personal details include name and car registration number,  if they require access to the on site car parks. ",Department for Transport,Yes,51 - 500,,No,
Assessment Centre Data,Ceased,"Several Assessment Centre companies used as part of framework contract. Holding personal data on applicants including name, address, curriculum vitae details, date of birth, gender, etc and applications and performance data.",Department for Transport,Yes,"501 - 1,000",Ashbourne and Barkers.,No,
Aviation Security Compliance database,Ongoing,"Contact database includes name, addresses, telephone numbers and email of industry security contacts.",Department for Transport,Yes,"1,001 - 10,000",CACI,No,
Aviation Security Management System,Ongoing,Compliance database containing numeric and descriptive record of security inspections of transport industry. No personal data other than names of inspector and possible references to names of security managers dealt with during inspections.,Department for Transport,No,"10,001 - 100,000",CACI,No,
AWARD Evaluation Data Site,Ongoing,Web-based. Holds bidders submissions and the record of our evaluation of the submissions.,Department for Transport,No,"1,001 - 10,000",Qinetiq Commerce Decisions Ltd,No,
Bikeability Database,Ongoing,Numbers of pupils trained in Bikeability to school level as well as many other attributes including Bikeability scheme registration.,Department for Transport,No,"10,001 - 100,000",Steer Davies Gleave on behalf of DfT,No,
Biofuels - List of Stakeholders,Ongoing,"Data consisting of the names, addresses, telephone numbers of stakeholders in industry, academia, other Government Departments and NDPBs.",Department for Transport,Yes,"501 - 1,000",,Yes,Some organisations that we hold contact details for may also publish contact details for named individuals on their websites
Brain - Rolling Stock leasing,Ongoing,Collection of confidential (commercial) leasing information taken off rolling stock leases incorporated into a Excel spreadsheet.,Department for Transport,No,51 - 500,,No,
British Superbike competition data,Ceased,"British Superbike (BSB) competition entry data collected at individual BSB race meetings. Name, email address, home address, telephone number.",Department for Transport,Yes,"1,001 - 10,000",,No,
Bus and Local Transport surveys,Ongoing,"Range of surveys on buses and local transport, notably annual Passenger Service Vehicle (PSV) operators survey covering c. 1500 bus and coach operators. Also data on bus fares, reliability, taxis, parking, light rail, etc. Includes some commercially sensitive data collected under Statistics of Trade Act",Department for Transport,No,"10,001 - 100,000",Kenda Data Systems,No,
Bus Service Operators Grant Claims,Ongoing,"Database held on ETHOS used to calculate Bus Service Operators Grant for payment to bus operators. Operator details held are company address, vendor number, contact telephone number and email address. Claim details include service kilometres, fuel consumption and amount of grant to be paid and date of payment.",Department for Transport,No,"1,001 - 10,000",,Yes,The certified payment amounts made to each operator is available on the DfT website. http://assets.dft.gov.uk/publications/bsog-grants-paid-to-20120331/bsog-grants-paid-2011.
Bus Service Operators Grant Files,Ongoing,"Hard copy paper records holding details of operators' Bus Service Operators Grant claims, both current and previous.",Department for Transport,No,"1,001 - 10,000",,Yes,The certified payments made to each operator is available on the DfT website. http://assets.dft.gov.uk/publications/bsog-grants-paid-to-20120331/bsog-grants-paid-2011.pdf
Business continuity/emergency plans,Ongoing,"Business Continuity/Emergency Plans - CD staff contact details. Name, out of hours contact telephone numbers.",Department for Transport,Yes,51 - 500,,No,
Computer Aided Facility Management (CAFM) database,Ongoing,"Facilities management helpdesk database of staff name, office address and queries.",Department for Transport,Yes,"1,001 - 10,000",Amey Built Environment,No,
Casework Database,Ongoing,All current and 12 months historic complaints and; grievances in a log. Records will not exceed 1000.,Department for Transport,Yes,51 - 500,,No,
