Cheltenham Borough Council Payments To Suppliers Between 2014-03-01 and 2014-03-31,,,,,,,,
,,,,,,,,
Accounts Payable Data,,,,,,,,

Body,Body Name,Transaction No,Invoice Ref.,Vendor Name,Expense,Expense Type,Payment Date,Amount
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024906,163590,A & E Fire Equipment Limited,R2083-REC111,R&M of Build - Routine,07/03/2014,673.67
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024669,164092,A & E Fire Equipment Limited,C1107-CAH015,Building Works,14/03/2014,"6,719.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025940,164377,A & E Fire Equipment Limited,R2083-ADB103,R&M of Build - Routine,28/03/2014,720.87
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025954,164466,A & E Fire Equipment Limited,R2083-CPK101,R&M of Build - Routine,28/03/2014,"1,349.10"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025946,164900,A & E Fire Equipment Limited,R2085-ADB101,R&M of Fix & Fit - Internal,28/03/2014,"1,705.60"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025738,8163,Abels Surveyors,R4400-FIE040,Services - Professional Fees,28/03/2014,"2,060.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025017,100114,Active Gloucestershire Limited,R4401-REC007,Services - Fees and Charges,07/03/2014,"1,620.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025571,sale of books (sassoon),Adrian Sassoon (Art Dealer),R9229-CUL107,Commission on Sales,21/03/2014,"11,666.67"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024745,GN1995,AJB Management Limited T/A Orbit UK,R4403-COR006,Bank Charges,07/03/2014,650.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025630,Settlement feet first,All Saints' Academy,R9406-HLD140,Lettings,21/03/2014,"4,034.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024210,PSl105500,AllCoopers Limited,R2705-ADB103,Security Systems,07/03/2014,"9,049.16"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025494,27481,Allhands Limited T/A Harrold Jones Services,C1107-CAH014,Building Works,28/03/2014,"1,032.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025294,844,Anderson Civil Engineering UK Limited,R5001-EMP001,TPP - Major External Contractors,17/03/2014,"2,358.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025721,0844B,Anderson Civil Engineering UK Limited,R5001-EMP001,TPP - Major External Contractors,28/03/2014,"2,182.96"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025724,845,Anderson Civil Engineering UK Limited,R5001-EMP001,TPP - Major External Contractors,28/03/2014,"2,002.96"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025288,30314,Andrew Aughton,R4400-CUL102,Services - Professional Fees,14/03/2014,"1,830.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025572,feb bc4/6,Andrew Blair,R4429-COR001,Services - other fees,21/03/2014,"1,000.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025739,438828,Andy Loos Limited,R2083-REG019,R&M of Build - Routine,28/03/2014,735.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025740,438829,Andy Loos Limited,R2083-REG019,R&M of Build - Routine,28/03/2014,"3,593.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024494,830437,ARJO Huntleigh UK,R2007-REC101,R & M of Plant Contracts,07/03/2014,607.50
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025396,Settlement,Art Shape Limited (Create Gloucestershire Ltd),R9406-HLD140,Lettings,21/03/2014,630.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024687,11384,Artful Limited,R4317-DEV001,Non Staff Advertising,07/03/2014,"1,934.40"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025680,11403,Artful Limited,R4317-DEV001,Non Staff Advertising,28/03/2014,"1,869.92"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024860,14130,Artworks Design Consultants (Cheltenham) Limited,R4317-CUL102,Non Staff Advertising,14/03/2014,800.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025215,l02148215 f,Ash & Co CS LLP,R4400-FIE040,Services - Professional Fees,14/03/2014,"2,428.75"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025737,TW/731,Bear Associates Surveyors Limited,R4400-FIE040,Services - Professional Fees,28/03/2014,"1,050.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025101,100480,Bedfactory Hotels Limited T/A The Big Sleep Hotel,R4101-CUL110,Catering - Hospitality,07/03/2014,"2,952.08"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025246,79188,Berman Guedes Stretton Architects Limited,C1100-CAP121,Construction,14/03/2014,"69,000.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025656,NOV 12 CORRECTED,BHSF Limited,R4980-SUP011,Miscellaneous Expenses,24/03/2014,948.96
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025411,inv422732,Bottomline Technologies Europe Limited (Security Print),R4300-SUP012,Printing - Services,21/03/2014,944.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025326,6283,Bound & Gagged Limited,R4322-CUL110,Artists Fees,14/03/2014,"1,855.93"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025749,47SI 656643,Brenntag UK Limited,R4007-REC101,Materials - Chemicals,28/03/2014,"1,064.53"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025483,X327: PAYAPP 002,Britdoors Group Limited,C1107-CAH017,Building Works,21/03/2014,"20,370.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025483,X327: PAYAPP 002,Britdoors Group Limited,C1107-CAH017,Building Works,21/03/2014,"91,886.94"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025584,x327b,Britdoors Group Limited,C1107-CAH017,Building Works,21/03/2014,"5,840.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025584,x327b,Britdoors Group Limited,C1107-CAH017,Building Works,21/03/2014,"26,372.96"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025628,66899105/1,British Gas Business - Electricity Payments,R2100-CUL117,Electricity,28/03/2014,666.04
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14026044,SETTLEMENT,Carol Green,R9406-HLD140,Lettings,31/03/2014,"1,412.50"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025665,27777,CDK Castings Limited T/A Arkell & Hurcombe,R4011-CCM001,Goods For Reasle,28/03/2014,577.50
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025204,52169,Cheltenham Garden Machinery,R2071-OPS002,Open Spaces and Grassed Areas,14/03/2014,697.53
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025126,Settlement,Cheltenham Music Society,R9406-HLD140,Lettings,14/03/2014,"6,060.40"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025117,Settlement,Cheltenham Symphony Orchestra,R9406-HLD140,Lettings,14/03/2014,"2,554.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14026037,SETTLEMENT 08032014,Cheltenham Symphony Orchestra,R9406-HLD140,Lettings,31/03/2014,"2,345.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14024485,121-004590,Chiefield Limited T/A Brown Advertising And Design,R4300-CPK001,Printing - Services,07/03/2014,"1,990.80"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025203,c/rb122918,Civica UK Limited,R4531-LTC101,IT - Purchase of Software,21/03/2014,"9,650.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025679,M/RB021355,Civica UK Limited,R4534-LTC101,IT - Maint Agreements,28/03/2014,"1,750.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025111,E1164,CLC Services Limited,R4410-CUL110,Hire of Facilities,14/03/2014,800.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025433,504572,Clearwater Technology Limited,R2048-HRA100,R & M of Build Legionellla,21/03/2014,590.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025437,504574,Clearwater Technology Limited,R2048-HRA100,R & M of Build Legionellla,21/03/2014,590.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14025440,504575,Clearwater Technology Limited,R2048-HRA100,R & M of Build Legionellla,21/03/2014,590.00
