Hospital code,Own home/sheltered housing. N,Own home/sheltered housing. %,Rehabilitation unit. N,Rehabilitation unit. %,Acute hospital. N,Acute hospital. %,Residential care. N,Residential care. %,Nursing care. N,Nursing care. %,Dead. N,Dead. %,Other. N,Other. %,Unknown. N,Unknown. %,Admitted from/discharged to Total cases,A&E to Orthopaedic ward in 4 hours (QS16 -1). Yes. N,A&E to Orthopaedic ward in 4 hours (QS16 -1). Yes. %,A&E to Orthopaedic ward in 4 hours (QS16 -1). No. N,A&E to Orthopaedic ward in 4 hours (QS16 -1). No. %,A&E to Orthopaedic ward in 4 hours (QS16 -1). Total,AMTS recorded. Yes. N,AMTS recorded. Yes. %,AMTS recorded. No. N,AMTS recorded. No. %,AMTS recorded. Total,Perioperative medical assessment. No. N,Perioperative medical assessment. No. %,Perioperative medical assessment. Yes. N,Perioperative medical assessment. Yes. %,Perioperative medical assessment. Total,Mobilised out of bed. No. N,Mobilised out of bed. No. %,Mobilised out of bed. Yes. N,Mobilised out of bed. Yes. %,Mobilised out of bed. Total.,Falls assessment (QS 16 -11). Yes. N,Falls assessment (QS 16 -11). Yes. %,Falls assessment (QS 16 -11). No. N,Falls assessment (QS 16 -11). No. %,Falls assessment (QS 16 -11). Total.,Bone health assessment (QS16 – 12). Yes. N,Bone health assessment (QS16 – 12). Yes. %,Bone health assessment (QS16 – 12). No. N,Bone health assessment (QS16 – 12). No. %,Bone health assessment (QS16 – 12). Total,Best practice tariff achievement. Yes. N,Best practice tariff achievement. Yes. %,Best practice tariff achievement. No. N,Best practice tariff achievement. No. %,Best practice tariff achievement. Total,"Surgery on day of, or day after, admission. Yes. N","Surgery on day of, or day after, admission. Yes. %","Surgery on day of, or day after, admission. No. N","Surgery on day of, or day after, admission. No %","Surgery on day of, or day after, admission. Total",GA. N,GA. %,Not GA. N,Not GA. %,GA Anaesthetics Total,GA + nerve block. N,GA + nerve block. %,GA without NB. N,GA without NB. %,GA NB. Total,SA all. N,SA all. %,Not SA. N,Not SA. %,SA anaesthesia. Total,SA + nerve block. N,SA + nerve block. %,SA without nerve block. N,SA without nerve block. %,SA Total,Cemented. N,Cemented. %,Not cemented. N,Not cemented. %,Arthroplasties total,THR. No. N,THR. No. %,THR. Yes. N,THR. Yes. %,THR eligible. Total,Intertrochanteric SHS. Yes. N,Intertrochanteric SHS. Yes.%,Intertrochanteric SHS. No N,Intertrochanteric SHS. No %,Intertrochanteric. Total,Subtrochanteric – all intramedullary nail. N,Subtrochanteric – all intramedullary nail.%,Subtrochanteric – not intramedullary nail. N,Subtrochanteric – not intramedullary nail. %,Subtrochanteric – total,Case s submitted,Case ascertainment denominator,Case ascertainment %,LOS analysis N,Acute LOS,Post-acute LOS,Total LOS,Return to own home within 30 days. No. N,Return to own home within 30 days. No. %,Return to own home within 30 days. Yes. N,Return to own home within 30 days. Yes. %,Return to own home within 30 days. Total cases,Reoperated within 30 days. Yes. N,Reoperated within 30 days. Yes. %,Reoperated within 30 days. No. N,Reoperated within 30 days. No. %,Reoperated within 30 days. Total cases.,Developing a pressure ulcer (CG179). Yes. N,Developing a pressure ulcer (CG179). Yes. %,Developing a pressure ulcer (CG179). No N,Developing a pressure ulcer (CG179). No %,Developing a pressure ulcer (CG179). Total cases.,Unknown pressure ulcer (CG179). Yes. N,Unknown pressure ulcer (CG179). Yes. %,Unknown pressure ulcer (CG179). No N,Unknown pressure ulcer (CG179). No %,Unknown pressure ulcer (CG179). Total cases.,Hip fracture sustained as an inpatient. Yes. N,Hip fracture sustained as an inpatient. Yes. %,Hip fracture sustained as an inpatient. No. N,Hip fracture sustained as an inpatient. No. %,Hip fracture sustained as an inpatient. All cases,No OG consultantr hrs,No OG middle grade hrs,No OG ward rounds/week,No nurse practitioners,OG weekend cover?,Who collects data?,Who enters data?,Routine nerve blocks offered?,Where nerve blocks administered?,Enhanced recovery programme?,Pain tool used?,Clinical governance meetings?,Who attends?,What is discussed?,Who does bone health assessment?,Fracture Liaison Service?,FLS run by?,Does FLS lead on falls?,Single room accomodation in catchment,Can you refer to strength and balance training?,Do you use Nottingham Score?
ADD,196,64.69%,60,19.80%,*,0.33%,15,4.95%,10,3.30%,16,5.28%,*,0.99%,*,0.66%,*,203,58.2%,146,41.8%,349,*,99.7%,*,0.3%,*,8,2.1%,368,97.9%,376,10,3.8%,255,96.2%,265,*,99.7%,*,0.3%,*,*,99.7%,*,0.3%,*,323,80.5%,78,19.5%,401,304,80.85%,72,19.15%,376,283,75.27%,93,24.73%,376,67,23.67%,216,76.33%,283,68,18.09%,308,81.91%,376,*,5.88%,*,94.12%,*,176,100.00%,0,0.00%,176,58,74.36%,20,25.64%,78,137,95.14%,7,4.86%,144,*,92.00%,*,8.00%,*,376,504,74.60%,366,14.4,0.1,14.5,122,40.13%,182,59.87%,304,*,0.27%,*,99.73%,*,14,3.93%,342,96.07%,356,*,0.28%,*,99.72%,*,*,1.33%,*,98.67%,*,75,0,5,1,No,ND,ND,Yes,AED;AN,No,Yes,Monthly,ORC;OGC;ANC;TO,MM;DS;LOS;PSf;CI;CN,OG,Outpatients,RH,No,Unknown,FPC,No
AEI,86,35.98%,99,41.42%,*,0.42%,9,3.77%,13,5.44%,20,8.37%,11,4.60%,*,0.00%,*,102,32.8%,209,67.2%,311,*,99.4%,*,0.6%,*,19,5.9%,301,94.1%,320,15,6.2%,227,93.8%,242,*,99.7%,*,0.3%,*,*,99.3%,*,0.7%,*,215,70.0%,92,30.0%,307,243,75.94%,77,24.06%,320,202,63.13%,118,36.88%,320,24,11.88%,178,88.12%,202,107,33.44%,213,66.56%,320,6,5.61%,101,94.39%,107,125,92.59%,10,7.41%,135,47,81.03%,11,18.97%,58,108,87.10%,16,12.90%,124,*,83.33%,*,16.67%,*,320,334,95.81%,287,15.5,0.3,15.8,116,48.33%,124,51.67%,240,7,2.25%,304,97.75%,311,*,0.34%,*,99.66%,*,*,0.34%,*,99.66%,*,17,5.31%,303,94.69%,320,20,0,5,0,No,ND,ND,No,Unknown,No,Yes,Monthly,ORC;OGC;ANC;NS;PH;OC;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,Outpatients,O,No,Unknown,FPC;CR,routinely
AIR,119,60.71%,39,19.90%,*,0.51%,8,4.08%,13,6.63%,14,7.14%,*,1.02%,*,0.00%,*,106,40.8%,154,59.2%,260,*,98.2%,*,1.8%,*,37,13.6%,235,86.4%,272,23,11.4%,178,88.6%,201,250,100.0%,0,0.0%,250,*,98.4%,*,1.6%,*,165,63.7%,94,36.3%,259,204,75.00%,68,25.00%,272,110,40.44%,162,59.56%,272,62,56.36%,48,43.64%,110,149,54.78%,123,45.22%,272,34,22.82%,115,77.18%,149,139,95.86%,6,4.14%,145,32,56.14%,25,43.86%,57,64,78.05%,18,21.95%,82,*,94.12%,*,5.88%,*,272,273,99.63%,238,17.5,0.4,18.0,86,43.88%,110,56.12%,196,*,0.38%,*,99.62%,*,*,2.00%,*,98.00%,*,0,0.00%,250,100.00%,250,13,4.78%,259,95.22%,272,10,0,3,0,Yes,ND,TA,Yes,AED;AN;SN;OS,Yes,Yes,Not routinely,N/A,MM;DS;PSf;CI,OG,Inpatients,GEM,Yes,Unknown,FPC;CR,No
ASH,182,76.47%,*,1.68%,10,4.20%,10,4.20%,8,3.36%,21,8.82%,*,1.26%,*,0.00%,*,182,52.9%,162,47.1%,344,362,100.0%,0,0.0%,362,*,1.1%,*,98.9%,*,19,7.0%,254,93.0%,273,320,100.0%,0,0.0%,320,320,100.0%,0,0.0%,320,319,89.4%,38,10.6%,357,325,89.78%,37,10.22%,362,185,51.10%,177,48.90%,362,17,9.19%,168,90.81%,185,132,36.46%,230,63.54%,362,*,3.03%,*,96.97%,*,*,99.47%,*,0.53%,*,46,76.67%,14,23.33%,60,121,91.67%,11,8.33%,132,*,82.35%,*,17.65%,*,362,326,111.04%,330,9.7,18.0,27.7,97,40.25%,144,59.75%,241,7,2.03%,338,97.97%,345,9,2.81%,311,97.19%,320,0,0.00%,320,100.00%,320,22,6.08%,340,93.92%,362,8,40,5,1,No,ND,ND,Yes,AED;OS,Yes,Yes,Monthly,ORC;OGC;ANC;NS;PH;OC;AES;TO,MM;DS;PSf;CI;CN;LQ,OG;SN,No,Unknown,Unknown,Unknown,CR,routinely
BAR,99,51.03%,70,36.08%,0,0.00%,6,3.09%,7,3.61%,10,5.15%,*,1.03%,*,0.00%,*,154,65.0%,83,35.0%,237,251,100.0%,0,0.0%,251,11,4.4%,240,95.6%,251,15,7.6%,182,92.4%,197,238,100.0%,0,0.0%,238,238,100.0%,0,0.0%,238,200,77.2%,59,22.8%,259,197,78.49%,54,21.51%,251,109,43.43%,142,56.57%,251,52,47.71%,57,52.29%,109,131,52.19%,120,47.81%,251,58,44.27%,73,55.73%,131,73,82.95%,15,17.05%,88,27,77.14%,8,22.86%,35,79,85.87%,13,14.13%,92,*,61.54%,*,38.46%,*,251,291,86.25%,238,15.6,0.0,15.6,98,50.52%,96,49.48%,194,*,1.63%,*,98.37%,*,*,1.68%,*,98.32%,*,*,1.26%,*,98.74%,*,9,3.59%,242,96.41%,251,22,0,5,2.9,No,ND,TA,Yes,AED;A&E ND,No,Yes,Monthly,ORC;OGC;ANC;PH;AES,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG;SN,No,Unknown,No,Unknown,FPC;CR,routinely
BAS,141,45.78%,113,36.69%,*,0.97%,22,7.14%,9,2.92%,20,6.49%,0,0.00%,*,0.00%,*,63,16.5%,318,83.5%,381,*,99.5%,*,0.5%,*,33,8.2%,370,91.8%,403,13,4.4%,280,95.6%,293,371,100.0%,0,0.0%,371,371,100.0%,0,0.0%,371,235,58.5%,167,41.5%,402,246,61.04%,157,38.96%,403,197,48.88%,206,51.12%,403,43,21.83%,154,78.17%,197,198,49.13%,205,50.87%,403,64,32.32%,134,67.68%,198,108,64.29%,60,35.71%,168,44,64.71%,24,35.29%,68,151,92.07%,13,7.93%,164,*,95.24%,*,4.76%,*,403,425,94.82%,377,16.7,0.6,17.3,150,48.54%,159,51.46%,309,10,2.52%,387,97.48%,397,*,0.54%,*,99.46%,*,0,0.00%,371,100.00%,371,18,4.47%,385,95.53%,403,24,36,5,1.4,No,ND,ND,No,AED;AN,No,Yes,Monthly,ORC;OGC;ANC;NS;PH;OC;DI;TO,DS;LOS;DS;PSf;LQ,OG,Both,GEM,Yes,TRU,NA,occasionally
BAT,175,40.89%,190,44.39%,*,0.47%,6,1.40%,25,5.84%,27,6.31%,*,0.47%,*,0.23%,*,276,54.0%,235,46.0%,511,535,100.0%,0,0.0%,535,*,0.6%,*,99.4%,*,331,80.1%,82,19.9%,413,*,99.8%,*,0.2%,*,*,99.8%,*,0.2%,*,388,74.0%,136,26.0%,524,380,71.03%,155,28.97%,535,173,32.34%,362,67.66%,535,88,50.87%,85,49.13%,173,338,63.18%,197,36.82%,535,110,32.54%,228,67.46%,338,244,89.38%,29,10.62%,273,97,74.05%,34,25.95%,131,184,93.40%,13,6.60%,197,23,69.70%,10,30.30%,33,535,603,88.72%,491,14.7,0.2,14.9,171,39.68%,260,60.32%,431,11,2.12%,507,97.88%,518,*,0.20%,*,99.80%,*,0,0.00%,502,100.00%,502,11,2.06%,524,97.94%,535,32,14,7,0,Yes,ND,ND;AD,Yes,AED;AN,Yes,Yes,Quarterly,ORC;OGC;ANC;NS;PH;OC,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,Both,RH,No,Unknown,FPC;CR,occasionally
BED,91,71.65%,24,18.90%,0,0.00%,6,4.72%,*,3.15%,*,1.57%,0,0.00%,*,0.00%,*,65,40.9%,94,59.1%,159,*,98.2%,*,1.8%,*,36,22.0%,128,78.0%,164,34,28.3%,86,71.7%,120,155,96.3%,6,3.7%,161,*,96.9%,*,3.1%,*,99,61.1%,63,38.9%,162,121,73.78%,43,26.22%,164,110,67.07%,54,32.93%,164,93,84.55%,17,15.45%,110,41,25.00%,123,75.00%,164,22,53.66%,19,46.34%,41,73,92.41%,6,7.59%,79,*,90.32%,*,9.68%,*,38,84.44%,7,15.56%,45,*,81.82%,*,18.18%,*,164,260,63.08%,150,16.1,0.0,16.1,52,39.69%,79,60.31%,131,0,0.00%,156,100.00%,156,*,1.24%,*,98.76%,*,*,2.48%,*,97.52%,*,*,2.44%,*,97.56%,*,37.5,38,5,0,No,CA,CA,Yes,AED;AN;O,No,Yes,Monthly,ORC;NS;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,No,Unknown,Unknown,Unknown,Unknown,occasionally
BFH,313,87.92%,15,4.21%,*,0.56%,*,0.56%,*,0.56%,22,6.18%,0,0.00%,*,0.00%,*,311,67.5%,150,32.5%,461,410,85.1%,72,14.9%,482,31,6.4%,451,93.6%,482,12,3.4%,346,96.6%,358,450,100.0%,0,0.0%,450,438,97.3%,12,2.7%,450,46,9.6%,431,90.4%,477,371,77.94%,105,22.06%,476,0,0.00%,482,100.00%,482,0,0.00%,0,0.00%,0,0,0.00%,482,100.00%,482,0,0.00%,0,0.00%,0,215,90.34%,23,9.66%,238,60,76.92%,18,23.08%,78,137,70.26%,58,29.74%,195,18,100.00%,0,0.00%,18,482,476,101.26%,454,5.9,10.1,16.0,71,19.83%,287,80.17%,358,0,0.00%,473,100.00%,473,9,2.00%,441,98.00%,450,0,0.00%,450,100.00%,450,26,5.39%,456,94.61%,482,12,0,10,2,No,ND,ND,Yes,AED;AN;SN,No,Yes,Quarterly,ORC;TO,MM;PSf;CN,SN,Both,RH,No,Unknown,NA,occasionally
BLA,224,73.93%,0,0.00%,0,0.00%,35,11.55%,12,3.96%,28,9.24%,*,1.32%,*,0.00%,*,318,77.9%,90,22.1%,408,*,98.9%,*,1.1%,*,38,8.7%,401,91.3%,439,85,25.5%,248,74.5%,333,393,100.0%,0,0.0%,393,*,99.7%,*,0.3%,*,277,63.7%,158,36.3%,435,300,68.34%,139,31.66%,439,24,5.47%,415,94.53%,439,11,45.83%,13,54.17%,24,363,82.69%,76,17.31%,439,172,47.38%,191,52.62%,363,143,95.33%,7,4.67%,150,77,78.57%,21,21.43%,98,139,89.68%,16,10.32%,155,14,60.87%,9,39.13%,23,439,483,90.89%,399,14.9,7.2,22.1,143,46.43%,165,53.57%,308,*,0.71%,*,99.29%,*,14,3.56%,379,96.44%,393,0,0.00%,393,100.00%,393,27,6.15%,412,93.85%,439,17,6,5,0,No,ND,ND,Yes,AED,Yes,Yes,Quarterly,ORC;OGC;ANC;NS;PH;OC;AES;TO,MM;DS;LOS;DS;PSf;LQ,OG,Both,GEM,No,Unknown,FPC;CR,No
