A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 02/08/2013 11:20:58,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Legal / Prof Fees,CEO/ BOARD OFFICE,ADDLESHAW GODDARD LLP,641692,"49,992.98",,328283,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,766859,"(35,076.68)",,HT000002300,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,766860,"55,869.10",,HT000002301,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Independent Sector,URGENT CARE,ASSURA LEA VALLEY LLP,589845,"60,115.50",,812Z332,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARNET & CHASE FARM HOSPITALS NHS TRUST,608941,"1,953,824.00",,I0059213,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,618449,"25,942.00",,I0127884,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,630762,"57,733.18",,14234,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,630769,"47,305.48",,14236,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,618592,"522,706.67",,14576,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,766866,"(33,905.82)",,HT000002307,
Department of Health,NHS East & North Hertfordshire CCG,31/07/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,766867,"67,370.85",,HT000002308,
