,,,,,,,,,,,,,,,,,,,,,,,,,,
Department,Organisation Name,Basis for expenditure approval,Total Value Approved *,Basis for Exception,Approval month,Civil Service Grade (FTE),,,,,,Civil Service Grade (Headcount),,,,,,Total approvals (Headcount),Total Approvals (FTE),Date of approval,,,,,,
,,,,,,AA/AO,EO,HEO,SEO,Grade 6 / 7,SCS,AA/AO,EO,HEO,SEO,Grade 6 / 7,SCS,,,,,,,,,
Department for Work & Pensions,Department for Work & Pensions,Recruitment exercise  necessary to fill available  vacancies ,"£325,050",,,717,5,17,6,33,2,717,5,17,6,33,2,780,780,Qtr 3 (Oct-Dec2014) 2014-2015,,,,,,
Arm's Length Bodies,HSE,Recruitment exercise  necessary to fill available  vacancies ,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20,20,Qtr 3 (Oct-Dec2014) 2014-2015,,,,,,
Arm's Length Bodies,The Pensions Regulator,Recruitment exercise  necessary to fill available  vacancies ,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,52,52,Qtr 3 (Oct-Dec2014) 2014-2015,,,,,,
Arm's Length Bodies,N.E.S.T.,Recruitment exercise  necessary to fill available  vacancies ,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,35,35,Qtr 3 (Oct-Dec2014) 2014-2015,,,,,,
Arm's Length Bodies,Remploy Ltd,Recruitment exercise  necessary to fill available  vacancies ,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,35,35,Qtr 3 (Oct-Dec2014) 2014-2015,,,,,,
Arm's Length Bodies,The Pensions Advisory Service,Recruitment exercise  necessary to fill available  vacancies ,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1,Qtr 3 (Oct-Dec2014) 2014-2015,,,,,,
Arm's Length Bodies,Pensions Ombudsman,Recruitment exercise  necessary to fill available  vacancies ,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1,Qtr 3 (Oct-Dec2014) 2014-2015,,,,,,
Arm's Length Bodies,The Independent Living Fund,Recruitment exercise  necessary to fill available  vacancies ,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1,Qtr 3 (Oct-Dec2014) 2014-2015,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
*Total approved values for HSE and  Arms Length Bodies are not available,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
