N&R 2010 Wales regions chart data,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 3.2,"BBC investment in national/local radio programming 2009/10, per head of population",,,,,,,,,,,
UK nations average,Wales,Scotland ,England,N Ireland,,,,,,,,
3.85,11.21,7.82,2.82,11.12,,,,,,,,
Source: Ofcom / BBC Annual report 2009/10,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 3.3,Commercial radio revenue per head 2009,,,,,,,,,,,
UK local commercial revenues,Wales,Scotland ,England,N Ireland,,,,,,,,
6.68,5.49,7.84,6.6,7.62,,,,,,,,
Source: Ofcom/NBR returns 2009,,,,,,,,,,,,
"Note: Chart shows net broadcasting revenues as based on returns received by Ofcom for the year 2009. The UK total shows the average for local commercial radio across the four nations and  therefore excludes revenues for the UK-wide commercial stations: Classic FM, talkSPORT, and Absolute ",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 3.4,"Availability of DAB stations, by area",,,,,,,,,,,
Wales,Northern Ireland,Scotland,Central Southern England,East England,East Midlands,London,North East,North West,South West,West England,West Midlands,Yorkshire
17,6,29,18,14,13,41,19,27,9,16,34,31
9,3,9,9,9,9,9,9,9,9,9,9,9
13,13,13,12,12,12,12,12,12,12,12,12,12
"Source: Ofcom, June 2010",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 3.5,Average weekly listening hours and percentage reach of population,,,,,,,,,,,
,Wales,England,Scotland ,N Ireland,UK Total,,,,,,,
Average weekly listening,22.7,21.9,21,22,21.9,,,,,,,
Reach,90.50%,90.10%,87.30%,89.60%,89.90%,,,,,,,
"Source: RAJAR, year to Q1 2010",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 3.6,"Share of listening hours, by nation– year to Q1 2010 (Audience share for BBC and commercial stations, local /national)",,,,,,,,,,,
,Wales,Scotland,England,N Ireland,UK,,,,,,,
BBC Network,49.40%,36.50%,47.30%,25.20%,46.40%,,,,,,,
BBC Local/National,12.40%,7.80%,8.50%,23.10%,9.00%,,,,,,,
National Commercial,11.30%,12.50%,10.50%,7.10%,10.60%,,,,,,,
Local Commercial,25.30%,40.60%,31.40%,36.70%,31.60%,,,,,,,
Other,1.60%,2.50%,2.30%,7.90%,2.40%,,,,,,,
"Source: RAJAR, All adults (15+), year ended Q1 2010",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 3.7,"Weekly reach for National BBC services in Wales, Northern Ireland, Scotland and local BBC radio in England – Q1 2010",,,,,,,,,,,
BBC Radio Wales / Cymru,BBC Radio Wales,BBC Radio Cymru,BBC Local Radio in England,BBC Radio Ulster / Foyle,BBC Radio Scotland,,,,,,,
20.80%,16.70%,5.90%,18.60%,36.20%,22.00%,,,,,,,
Source: Rajar Q1 2010,,,,,,,,,,,,
"Note: Average weekly reach of adult population 15+, Q1 2010",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 3.8,,,,,,,,,,,,
Ownership of DAB digital radios in the Nations,,,,,,,,,,,,
Percentage of respondents (radio listeners),,,,,,,,,,,,
,UK,Wales,England,Scotland,N Ireland,,Wales urban,Wales rural,,SE Wales,SW Wales,North/ Mid Wales
None,59,68,58,62,76,,68,70,,62,72,73
1,28,26,28,26,19,,26,25,,32,23,20
2,6,3,6,8,2,,3,3,,4,2,3
3+,4,1,5,3,1,,2,1,,,1,2
Total owning DAB,38%,29%,39%,36%,22%,,30%,29%,,36%,26%,25%
"Source: Ofcom research, Quarter 1 2010",,,,,,,,,,,,
"Base: Adults aged 15+ who listen to radio (n= 7017 UK, 854 Wales, 4476 England, 1034 Scotland, 653 Northern Ireland, 623 Wales urban, 231 Wales rural, 251 South East Wales, 277 South West Wales, 326 North/ Mid Wales)",,,,,,,,,,,,
Note: Remaining percentages are Don’t know responses ,,,,,,,,,,,,
QP9. How many DAB sets do you have in your household?,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 3.9,,,,,,,,,,,,
Likelihood of purchasing a DAB radio within the next  year,,,,,,,,,,,,
Percentage of respondents (radio listeners) without DAB,,,,,,,,,,,,
,UK,Wales,England,Scotland,N Ireland,,Wales urban,Wales rural,,SE Wales,SW Wales,North/ Mid Wales
Likely,17,15,17,15,20,,17,10,,22,14,10
Unlikely,55,64,55,45,69,,62,72,,49,65,78
Don't know,28,20,28,40,11,,21,18,,29,21,12
"Source: Ofcom research, Quarter 1 2010",,,,,,,,,,,,
"Base: Adults aged 15+ who listen to radio and do not have a DAB set (n= 4445 UK, 594 Wales, 2690 England, 661 Scotland, 500 Northern Ireland, 426 Wales urban, 168 Wales rural, 159 South East Wales, 199 South West Wales, 236 North/ Mid Wales)QP12: How likely is it that your household will get a DAB radio in the next 12 months?",,,,,,,,,,,,
QP12: How likely is it that your household will get a DAB radio in the next 12 months?,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 3.10,,,,,,,,,,,,
Use of either an MP3 player or an iPod (% adults),,,,,,,,,,,,
,UK,Wales,England,Scotland,Northern Ireland,,Urban Wales,Rural Wales,,South East Wales,South West Wales,North / Mid Wales
Personally use MP3 / Ipod,32%,27%,33%,26%,37%,,27%,26%,,24%,24%,32%
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,
"Base: All adults aged 15+ (n = 9013 UK, 1075 Wales, 5709 England, 1468 Scotland, 761 Northern Ireland, 810 Wales urban, 265 Wales rural, 348 South East Wales, 360 South West Wales, 367 North/ Mid Wales",,,,,,,,,,,,
QB2. Do you personally use: Mp3 player / iPod?,,,,,,,,,,,,
