"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","H","16560","21160","Co-ordinator","1.87","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","H","16560","21160","General worker","11.00","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","H","16560","21160","Adviser","5.62","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","H","16560","21160","Administrator","2.96","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","G","19530","24955","Site Support Worker","8.00","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","G","19530","24955","Senior Accounts Clerk","0.96","Finance"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","G","19530","24955","General worker","6.00","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","G","19530","24955","Co-ordinator","6.24","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","G","19530","24955","Administrator","27.56","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","G","19530","24955","Team Leader","7.00","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","F","23850","30475","Senior Adviser","1.86","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","F","23850","30475","Operations Support Officer","10.00","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","F","23850","30475","Nursing Officer","1.00","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","F","23850","30475","Developer","1.00","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","F","23850","30475","Co-ordinator","2.00","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","E","27720","35420","Trainer","11.00","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","E","27720","35420","Supervisor","6.00","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","E","27720","35420","Site Support Worker","1.00","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","F","23850","30475","Senior Co-ordinator","4.80","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","E","27720","35420","Instructor","70.00","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","E","27720","35420","Developer","1.00","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","E","27720","35420","Co-ordinator","3.00","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","E","27720","35420","Assessor","10.00","Operational Delivery"
"Department for Business Innovation and Skills","CITB-ConstructionSkills","National Construction College","669","E","27720","35420","Adviser","3.00","Operational Delivery"
