LGD,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017
Antrim and Newtownabbey,87,115,98,77,99,105,91,127,118,108
Ards and North Down,87,112,107,135,143,106,135,100,139,128
"Armagh City, Banbridge and Craigavon",172,206,207,211,207,178,248,206,234,198
Belfast,90,67,96,75,66,83,109,62,72,83
Causeway Coast and Glens,109,117,145,138,127,116,137,103,155,117
Derry City and Strabane,72,63,47,81,82,44,70,75,65,86
Fermanagh and Omagh,78,68,77,70,57,69,77,65,74,93
Lisburn and Castlereagh,184,150,155,190,164,148,220,147,171,165
Mid and East Antrim,98,92,71,82,62,106,88,85,69,70
Mid Ulster,136,129,177,142,163,170,181,151,154,140
"Newry, Mourne and Down",109,105,121,115,185,158,124,125,151,153
Total private and speculative New Dwelling Completions,1222,1224,1301,1316,1355,1283,1480,1246,1402,1341
