CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,3266,85.8%,542,14.2%
P01-Avon&Somerset,110,88.7%,14,11.3%
P02-Bedfordshire,32,78.0%,9,22.0%
P03-Cambridgeshire,39,95.1%,2,4.9%
P04-Cheshire,61,92.4%,5,7.6%
P06-Cleveland,65,81.3%,15,18.8%
P07-Cumbria,42,89.4%,5,10.6%
P08-Derbyshire,56,91.8%,5,8.2%
P09-Devon&Cornwall,114,90.5%,12,9.5%
P10-Dorset,38,86.4%,6,13.6%
P11-Durham,61,78.2%,17,21.8%
P12-DyfedPowys,28,90.3%,3,9.7%
P13-Essex,108,90.0%,12,10.0%
P14-Gloucestershire,20,87.0%,3,13.0%
P15-GreaterManchester,192,85.7%,32,14.3%
P16-Gwent,33,78.6%,9,21.4%
P17-Hampshire,128,82.6%,27,17.4%
P18-Hertfordshire,39,86.7%,6,13.3%
P19-Humberside,84,94.4%,5,5.6%
P20-Kent,94,83.9%,18,16.1%
P21-Lancashire,136,84.0%,26,16.0%
P22-Leicestershire,42,91.3%,4,8.7%
P23-Lincolnshire,30,78.9%,8,21.1%
P24-Merseyside,68,78.2%,19,21.8%
P25-Metropolitan&City,372,84.5%,68,15.5%
P26-Norfolk,44,88.0%,6,12.0%
P27-Northamptonshire,56,91.8%,5,8.2%
P28-Northumbria,124,89.2%,15,10.8%
P29-NorthWales,46,90.2%,5,9.8%
P30-NorthYorkshire,59,85.5%,10,14.5%
P31-Nottinghamshire,79,85.9%,13,14.1%
P32-SouthWales,105,80.8%,25,19.2%
P33-SouthYorkshire,92,87.6%,13,12.4%
P34-Staffordshire,57,81.4%,13,18.6%
P35-Suffolk,53,93.0%,4,7.0%
P36-Surrey,33,89.2%,4,10.8%
P37-Sussex,72,88.9%,9,11.1%
P38-ThamesValley,73,79.3%,19,20.7%
P39-Warwickshire,11,91.7%,1,8.3%
P40-WestMercia,56,88.9%,7,11.1%
P41-WestMidlands,162,87.1%,24,12.9%
P42-WestYorkshire,122,77.7%,35,22.3%
P43-Wiltshire,30,88.2%,4,11.8%
