CPS outcomes by principal offence category ter_manchester,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,3,60.0%,2,40.0%
B Offences Against The Person,526,73.6%,189,26.4%
C Sexual Offences,26,65.0%,14,35.0%
D Burglary,170,87.6%,24,12.4%
E Robbery,49,92.5%,4,7.5%
F Theft And Handling,647,90.4%,69,9.6%
G Fraud And Forgery,38,86.4%,6,13.6%
H Criminal Damage,187,84.2%,35,15.8%
I Drugs Offences,312,92.9%,24,7.1%
J Public Order Offences,346,89.6%,40,10.4%
K All Other Offences (excluding Motoring),117,84.2%,22,15.8%
L Motoring Offences,"1,209",90.4%,129,9.6%
Admin Finalisations,0,0.0%,53,100.0%
TOTAL,"3,630",85.6%,611,14.4%
