Organisation,Merchant,MCC,Date Posted,Settlement Amount,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ABB LIMITED,8911,27/07/2009,"£1,684.75",Scientific Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ANTALIS UK LTD,5111,28/07/2009,£531.74,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ANTALIS UK LTD,5111,28/07/2009,£557.96,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ANTALIS UK LTD,5111,05/08/2009,£590.47,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ANTALIS UK LTD,5111,04/08/2009,£664.13,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ANTALIS UK LTD,5111,04/08/2009,£978.08,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,APEX SECURITY ENGINEER,8911,06/08/2009,£738.30,Security Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ARCO ELLESMERE PORT,5137,03/08/2009,£854.36,Personal Protective Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ARCO TRAFFORD PARK,5137,21/07/2009,£639.98,Personal Protective Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,B P P LIVERPOOL LTD,8299,19/08/2009,£896.75,Training ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,B P P LIVERPOOL LTD,8299,17/08/2009,"£1,075.00",Training ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,BANNER BUSINESS SUPPLIES,5943,30/07/2009,£603.22,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,BANNER BUSINESS SUPPLIES,5943,29/07/2009,£614.88,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,BANNER BUSINESS SUPPLIES,5943,12/08/2009,£626.57,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,BANNER BUSINESS SUPPLIES,5943,11/08/2009,£908.18,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,BROWN EUROPE LIMIT,8911,12/08/2009,"£1,104.00",Research Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,BUTLER DIRECT LTD,5969,19/08/2009,£862.50,Computer Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,CAMBRIDGE ASSESSMT,8220,28/07/2009,"£1,327.40",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,CANFORD AUDIO PLC,5732,03/08/2009,"£3,643.20",Pace Machines,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,COMMUNICADO LTD,7399,12/08/2009,£877.45,Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,DEVELOPMENT PROCESSES,8244,28/07/2009,"£3,028.50",Training ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,DLS,8999,22/07/2009,£611.80,Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,DLS,8999,22/07/2009,£920.00,Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,DLS,8999,30/07/2009,£920.00,Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,DLS,8999,30/07/2009,£920.00,Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,DLS,8999,10/08/2009,"£1,530.65",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,DLS,8999,29/07/2009,"£1,983.75",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,DLS,8999,29/07/2009,"£3,306.25",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,DRI VMWARE,5734,22/07/2009,£756.47,Computer Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,E-CONSULTANCY.COM,2741,07/08/2009,£569.25,Digital Marketing Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,E-CONSULTANCY.COM,2741,19/08/2009,"£1,000.50",Digital Marketing Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,E-CONSULTANCY.COM,2741,07/08/2009,"£1,196.00",Digital Marketing Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,EDMUNDSON ELECTRICAL L,5065,13/08/2009,"£1,114.12",Electrical Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ELIESHA TRAINING,8220,24/07/2009,£856.75,Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ELIESHA TRAINING,8220,27/07/2009,"£1,144.25",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ELIESHA TRAINING,8220,03/08/2009,"£1,741.10",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ELIESHA TRAINING,8220,03/08/2009,"£11,511.50",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,FLEXIFORM BUS FURNITUR,5712,23/07/2009,£543.72,Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,FLEXIFORM BUS FURNITUR,5712,13/08/2009,£550.62,Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,FLEXIFORM BUS FURNITUR,5712,12/08/2009,£663.09,Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,FLEXIFORM BUS FURNITUR,5712,12/08/2009,£748.77,Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,FLEXIFORM BUS FURNITUR,5712,18/08/2009,£790.80,Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,FLEXIFORM BUS FURNITUR,5712,21/07/2009,£790.80,Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,FLEXIFORM BUS FURNITUR,5712,07/08/2009,£790.80,Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
