Department Family,Entity,Clearing,Expense Type,Expense Area,Supplier,Doc Nbr,Item Text,Merchant category,Amount
Communities & Local Government,DCLG,02/02/2016,"IT - PC, Network & Hardware","Strategy, Communications and Private Office",DROPBOX NQ1L2ZLRRPW6     415-986-7057,1000004084,Dropbox account for Comms,COMPUTER NETWORK INFORMATION SERVICES,79
Communities & Local Government,DCLG,03/02/2016,"IT - PC, Network & Hardware",Finance,FIBERSTORE               HONG KONG,1000004085,Cisco fibre optic transceiver for Seacole comms,"COMPUTERS, PERIPHERALS & SOFTWARE",34.68
Communities & Local Government,DCLG,03/02/2016,Government Procurement Card (expense),Finance,AMAZON UK MARKETPLACE    800-279-6620,1000004085,8 x Blackberry JS1 batteries,MISC. SPECIALITY RETAIL,71.91
Communities & Local Government,DCLG,03/02/2016,Government Procurement Card (expense),Finance,AMAZON UK RETAIL         AMAZON.CO.UK,1000004085,Saturnus mini keyboard - Reasonable adjustment,DIRECT SALES COMPANIES,74.74
Communities & Local Government,DCLG,04/02/2016,"IT - PC, Network & Hardware",Local Government & Public Services,DROPBOX 7J3PMVDZS423     415-986-7057,1000004087,For extra storage space,COMPUTER NETWORK INFORMATION SERVICES,66
Communities & Local Government,DCLG,04/02/2016,"IT - PC, Network & Hardware",Local Government & Public Services,DROPBOX KP2348YR9N4Q     415-986-7057,1000004088,Pay for extra storage space,COMPUTER NETWORK INFORMATION SERVICES,66
Communities & Local Government,DCLG,04/02/2016,Government Procurement Card (expense),"Strategy, Communications and Private Office",APPLE ONLINE STORE GBP   0845-600-1683,1000004086,QuickTime 7 Pro for Mac,ELECTRONICS SHOPS,22.99
Communities & Local Government,DCLG,15/02/2016,Government Procurement Card (expense),"Strategy, Communications and Private Office",GOOGLE  SVCSAPPS_COMMU   303-245-0086,1000004089,Google work accounts - Local Digital team,CONTINUOUS SUBSCRIPTIONS,33
Communities & Local Government,DCLG,15/02/2016,Government Procurement Card (expense),"Strategy, Communications and Private Office",NEWS UK & IRELAND COMM   PETERBOROUGH,1000004089,Essential recruitment advertising - GPC only,CATALOGUE & RETAIL SHOPS,738
Communities & Local Government,DCLG,15/02/2016,Government Procurement Card (expense),"Strategy, Communications and Private Office",NEWS UK & IRELAND COMM   PETERBOROUGH,1000004089,Essential recruitment advertising - GPC only,CATALOGUE & RETAIL SHOPS,960
Communities & Local Government,DCLG,17/02/2016,"IT - PC, Network & Hardware",Finance,1&1 INTERNET LIMITED     GLOUCESTER,1000004090,Domain name subscription for home worker solution,COMPUTER NETWORK INFORMATION SERVICES,2.39
Communities & Local Government,DCLG,18/02/2016,"IT - PC, Network & Hardware","Strategy, Communications and Private Office",CHARGE.PREZI.COM         4154948313,1000004091,Subscription fee for Comms Prezi account,"COMPUTERS, PERIPHERALS & SOFTWARE",113.97
