OrganisationURI,OrganisationLabel,OrganisationalUnit,TransactionNumber,Invoice Ref.,BeneficiaryName,Expense Type,Purpose,PaymentDate, Amount ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street R&M,14048392,188084,A & E Fire Equipment Limited,R2083-CPK101,R&M of Build - Routine,28/10/2016,860.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Art Gallery & Museum Development,14048591,28280944,AECOM Limited,C1005-CAP121,Surveyors Fees,28/10/2016,"6,150.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Individual Electoral Registration,14047962,29385,Alpha Response Print & Mail Limited,R4300-ELE010,Printing - Services,07/10/2016,"1,644.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Land & Property presale costs,14047957,2016/18083,Alun Griffiths (Contractors) Limited,C1100-CAP401,Construction,07/10/2016,"46,368.61 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Tenant Insurance Control,14048152,premium declaration 051016,AON Limited - Tenant Insurance,R9925-HRA901,Tenant Insurance Scheme Payments,14/10/2016,"7,629.08 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Prince of Wales Stadium Repairs & Maintenance,14047560,516108,Applied Products (Wales) Ltd,R2004-REC112,R & M of Build Programmed,14/10/2016,"1,119.91 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14047566,516199,Applied Products (Wales) Ltd,R2004-REC111,R & M of Build Programmed,14/10/2016,"2,694.17 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development Control - Applications,14047945,12025,Artful Limited,R4317-DEV001,Non Staff Advertising,14/10/2016,"1,773.20 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development Control - Applications,14048647,12051,Artful Limited,R4317-DEV001,Non Staff Advertising,28/10/2016,"2,450.24 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Garage Sites 2c,14048195,cbhl/2526,Aspects Services (UK) Limited (ASL),C1107-CAH055,Building Works,14/10/2016,"4,260.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Garage Sites 2c,14048304,CBHL/2547,Aspects Services (UK) Limited (ASL),C1107-CAH055,Building Works,28/10/2016,"1,420.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cemetery & Crematorium Repairs & Maintenance,14047785,ATI020817,ATI Environment UK Limited,R2004-CCM111,R & M of Build Programmed,14/10/2016,"23,000.00 ",,
