URN,UPIN,UKPRN,Provider name,Age phase partnership,Provision type,Postcode,Government office region,Ofsted region,Local authority,Provider status,Inspection number,Start date,End date,Overall effectiveness,The outcomes for trainees,The quality of training across the partnership,The quality of leadership and management across the partnership,How well do trainees attain?,To what extent do recruitment / selection arrangements support high quality outcomes?,To what extent does the training and assessment ensure that all trainees progress to fulfil their potential given their ability and starting points?,To what extent are available resources used effectively and efficiently?,To what extent is the provision across the partnership of consistently high quality? ,"To what extent does the provision promote equality of opportunity, value diversity and eliminate harassment and unlawful discrimination?",To what extent do the leadership and management at all levels have the capacity to secure further improvements and/or to sustain high quality outcomes?,How effectively does the management at all levels assess performance in order to improve or sustain high quality?,"How well does the leadership at all levels anticipate change, and prepare for and respond to national and local initiatives?",How effectively does the provider plan and take action for improvement?
70001,1537,10006840,University of Birmingham,Primary QTS,HEI,B15 2TT ,West Midlands,West Midlands,Birmingham,Open,411654,20/05/2013,23/05/2013,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70001,1537,10006840,University of Birmingham,Secondary QTS,HEI,B15 2TT ,West Midlands,West Midlands,Birmingham,Open,411654,20/05/2013,23/05/2013,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70002,1502,10000571,Bath Spa University,Early Years ITT (EYTS),HEI,BA2 9BN,South West,South West,Bath and North East Somerset,Open,10010281,16/05/2016,18/05/2016,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70002,1502,10000571,Bath Spa University,Primary QTS,HEI,BA2 9BN,South West,South West,Bath and North East Somerset,Open,10004440,08/06/2015,21/10/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70002,1502,10000571,Bath Spa University,Secondary QTS,HEI,BA2 9BN,South West,South West,Bath and North East Somerset,Open,10004440,08/06/2015,21/10/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70004,1503,10007811,Bishop Grosseteste University,Early Years ITT (EYTS),HEI,LN1 3DY,East Midlands,East Midlands,Lincolnshire,Open,10004533,15/06/2015,02/12/2015,2,2,2,1,9,9,9,9,9,9,9,9,9,9
70004,1503,10007811,Bishop Grosseteste University,ITE in FE,HEI,LN1 3DY,East Midlands,East Midlands,Lincolnshire,Open,10010282,23/05/2016,25/05/2016,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70004,1503,10007811,Bishop Grosseteste University,Primary QTS,HEI,LN1 3DY,East Midlands,East Midlands,Lincolnshire,Open,10004533,15/06/2015,02/12/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70004,1503,10007811,Bishop Grosseteste University,Secondary QTS,HEI,LN1 3DY,East Midlands,East Midlands,Lincolnshire,Open,10004533,15/06/2015,02/12/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70005,1538,10000886,University of Brighton,ITE in FE,HEI,BN1 9PH ,South East,South East,East Sussex,Open,346137,26/04/2010,30/04/2010,2,9,9,9,2,2,2,1,2,2,2,2,2,2
70005,1538,10000886,University of Brighton,Primary QTS,HEI,BN1 9PH ,South East,South East,East Sussex,Open,346137,26/04/2010,30/04/2010,1,9,9,9,2,1,1,1,1,2,1,1,1,1
70005,1538,10000886,University of Brighton,Secondary QTS,HEI,BN1 9PH ,South East,South East,East Sussex,Open,346137,26/04/2010,30/04/2010,1,9,9,9,2,1,1,1,1,2,1,1,1,1
70006,1539,10007786,University of Bristol,Secondary QTS,HEI,BS8 1JA ,South West,South West,Bristol City of,Open,363161,07/02/2011,11/02/2011,1,9,9,9,2,1,1,1,1,2,2,2,1,2
70007,5507,10032985,Bromley Schools' Collegiate,Primary and Secondary QTS,SCITT,BR7 6HE,London,London,Bromley,Open,10004619,08/06/2015,30/09/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70007,5507,10032985,Bromley Schools' Collegiate,Secondary QTS,SCITT,BR7 6HE ,South East,South East,Kent,Open,331894,08/06/2009,12/06/2009,1,9,9,9,2,2,1,1,1,2,1,1,1,1
70008,1526,10004930,Oxford Brookes University,ITE in FE,HEI,OX2 9AT ,South East,South East,Oxfordshire,Open,388073,21/05/2012,25/05/2012,2,9,9,9,2,2,2,2,2,2,2,2,2,2
70008,1526,10004930,Oxford Brookes University,Primary QTS,HEI,OX2 9AT ,South East,South East,Oxfordshire,Open,343671,15/03/2010,19/03/2010,1,9,9,9,2,1,1,1,1,2,1,1,1,1
70008,1526,10004930,Oxford Brookes University,Secondary QTS,HEI,OX2 9AT ,South East,South East,Oxfordshire,Open,388073,21/05/2012,25/05/2012,2,9,9,9,2,2,2,2,2,2,2,2,2,2
70009,1504,10000961,Brunel University,Primary QTS,HEI,UB8 3PH,London,London,Hillingdon,Open,10004315,27/04/2015,30/09/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70009,1504,10000961,Brunel University,Secondary QTS,HEI,UB8 3PH,London,London,Hillingdon,Open,10004315,27/04/2015,30/09/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70011,1505,10001143,Canterbury Christ Church University,ITE in FE,HEI,CT1 1QU ,South East,South East,Kent,Open,429008,24/03/2014,27/03/2014,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70011,1505,10001143,Canterbury Christ Church University,Primary QTS,HEI,CT1 1QU ,South East,South East,Kent,Open,429008,24/03/2014,27/03/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70011,1505,10001143,Canterbury Christ Church University,Secondary QTS,HEI,CT1 1QU ,South East,South East,Kent,Open,429008,24/03/2014,27/03/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70013,1533,10007137,University of Chichester,Primary QTS,HEI,PO21 1HR,South East,South East,West Sussex,Open,346139,14/06/2010,18/06/2010,1,9,9,9,1,1,1,1,1,1,1,1,1,1
70013,1533,10007137,University of Chichester,Secondary QTS,HEI,PO21 1HR,South East,South East,West Sussex,Open,346139,14/06/2010,18/06/2010,1,9,9,9,2,2,1,1,1,1,1,1,1,1
70014,5508,10033368,Chiltern Training Group,Secondary QTS,SCITT,LU4 9TJ ,East of England,East of England,Luton,Open,428988,03/02/2014,06/02/2014,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70015,5526,10036670,North Essex Teacher Training (NETT),Secondary QTS,SCITT,CO16 8BE,East of England,East of England,Essex,Open,428990,03/02/2014,06/02/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70016,5511,10007063,Cornwall SCITT,Secondary QTS,SCITT,TR1 3XX,South West,South West,Cornwall,Open,10004618,09/06/2015,09/12/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70017,5512,10048041,Cumbria Primary Teacher Training,Primary QTS,SCITT,CA14 4ES,North West,North West,Cumbria,Open,430340,10/03/2014,13/03/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70018,1542,10007851,University of Derby,Early Years ITT (EYTS),HEI,DE22 1GB,East Midlands,East Midlands,Derby,Open,10004339,08/06/2015,21/10/2015,2,2,2,1,9,9,9,9,9,9,9,9,9,9
70018,1542,10007851,University of Derby,ITE in FE,HEI,DE22 1GB,East Midlands,East Midlands,Derby,Open,10004339,08/06/2015,21/10/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70018,1542,10007851,University of Derby,Primary QTS,HEI,DE22 1GB,East Midlands,East Midlands,Derby,Open,10004339,08/06/2015,21/10/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70018,1542,10007851,University of Derby,Secondary QTS,HEI,DE22 1GB,East Midlands,East Midlands,Derby,Open,10004339,08/06/2015,21/10/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70019,5514,10001951,Devon Secondary Teacher Training Group (DSTTG),Secondary QTS,SCITT,TQ12 1NH,South West,South West,Devon,Open,332182,11/05/2009,15/05/2009,1,9,9,9,1,1,1,1,1,2,1,1,1,1
70021,1543,10007143,University of Durham,Primary QTS,HEI,DH1 1TA ,North East,"North East, Yorkshire & Humber",Durham,Open,411655,22/04/2013,25/04/2013,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70021,1543,10007143,University of Durham,Secondary QTS,HEI,DH1 1TA ,North East,"North East, Yorkshire & Humber",Durham,Open,411655,22/04/2013,25/04/2013,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70023,5517,10046090,Forest Independent Primary Collegiate SCITT,Primary QTS,SCITT,IG7 5LP,East of England,East of England,Essex,Open,10004458,22/06/2015,25/11/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70024,1546,10007792,University of Exeter,Primary QTS,HEI,EX1 2LU ,South West,South West,Devon,Open,343673,01/02/2010,05/02/2010,1,9,9,9,1,1,1,1,1,1,1,1,1,1
70024,1546,10007792,University of Exeter,Secondary QTS,HEI,EX1 2LU ,South West,South West,Devon,Open,343673,01/02/2010,05/02/2010,1,9,9,9,1,1,1,1,1,1,1,1,1,1
70026,5518,10034789,GITEP SCITT,Secondary QTS,SCITT,GL2 8EY,South West,South West,Gloucestershire,Open,10004451,08/06/2015,11/11/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70027,1548,10007146,University of Greenwich,ITE in FE,HEI,SE9 2PQ ,London,London,Greenwich,Open,365956,23/05/2011,27/05/2011,2,9,9,9,2,2,2,2,2,2,2,2,2,2
70027,1548,10007146,University of Greenwich,Primary QTS,HEI,SE9 2PQ ,London,London,Greenwich,Open,365956,23/05/2011,27/05/2011,2,9,9,9,2,2,2,2,2,2,2,2,2,2
70027,1548,10007146,University of Greenwich,Secondary QTS,HEI,SE9 2PQ ,London,London,Greenwich,Open,365956,23/05/2011,27/05/2011,2,9,9,9,2,1,2,2,2,1,1,1,1,1
70028,5519,10033021,The Grand Union Training Partnership,Secondary QTS,SCITT,NN12 6YF,East Midlands,East Midlands,Northamptonshire,Open,421252,02/12/2013,05/12/2013,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70029,1549,10007147,University of Hertfordshire,Primary QTS,HEI,AL10 9AB,East of England,East of England,Hertfordshire,Open,421248,25/11/2013,28/11/2013,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70029,1549,10007147,University of Hertfordshire,Secondary QTS,HEI,AL10 9AB,East of England,East of England,Hertfordshire,Open,421248,25/11/2013,28/11/2013,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70030,1550,10007148,University of Huddersfield,ITE in FE,HEI,HD1 3DH ,Yorkshire and The Humber,"North East, Yorkshire & Humber",Kirklees,Open,373065,30/01/2012,03/02/2012,2,9,9,9,2,2,2,1,2,2,2,2,1,2
70030,1550,10007148,University of Huddersfield,Primary QTS,HEI,HD1 3DH ,Yorkshire and The Humber,"North East, Yorkshire & Humber",Kirklees,Open,373065,30/01/2012,03/02/2012,1,9,9,9,1,1,1,1,1,1,1,1,1,1
70030,1550,10007148,University of Huddersfield,Secondary QTS,HEI,HD1 3DH ,Yorkshire and The Humber,"North East, Yorkshire & Humber",Kirklees,Open,373065,30/01/2012,03/02/2012,2,9,9,9,2,2,2,1,2,1,2,2,1,2
70031,1551,10007149,University of Hull,ITE in FE,HEI,HU6 7RX ,Yorkshire and The Humber,"North East, Yorkshire & Humber",Kingston Upon Hull City of,Open,434190,16/06/2014,08/10/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70031,1551,10007149,University of Hull,Primary QTS,HEI,HU6 7RX ,Yorkshire and The Humber,"North East, Yorkshire & Humber",Kingston Upon Hull City of,Open,434190,16/06/2014,08/10/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
