Department,Entity,Date,Supplier,Amount,Expense Description
DEPARTMENT FOR EDUCATION,Department for Education,10/09/2015,LEXIS NEXIS,2305.45,Four copies of Law of Education Issue 138 for the Department for Education legal library.
DEPARTMENT FOR EDUCATION,Department for Education,03/09/2015,ISEE SYSTEMS INC,1346.53,Purchase of licence for software iThink 10.1 non-educators edition to perform systems dynamics analysis used to model future academy numbers.
DEPARTMENT FOR EDUCATION,Department for Education,17/09/2015,SIF ASSOCIATION UK,990.00,Membership fees for the Schools Interoperability Framework (SIF) from October 2015 to March 2016. SIF promote effective management of learning information.
DEPARTMENT FOR EDUCATION,Department for Education,14/09/2015,N F BURNETT HODD,595.00,Purchase of specialist equipment as a reasonable adjustment for one DfE official.
DEPARTMENT FOR EDUCATION,Department for Education,17/09/2015,CIVIL SERVICE LEARNING,556.80,Online training courses for communicating effectively and collaborating/partnering for one DfE official.
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
