Date,Supplier, Amount 
25/06/2014,TRINITY MIRROR,600
02/06/2014,HANDLE-IT LTD,"1,362.30"
04/06/2014,COMFORT INNS,561
04/06/2014,PETERBOROUGH OFFICE SU,"3,264.00"
06/06/2014,TFL CC/LEZ CHARGE,"2,520.00"
11/06/2014,SURREY HANDLING SUPPLIES,994.25
16/06/2014,SETON,790.8
17/06/2014,PMC ELECTRICS LIMI,"1,354.27"
19/06/2014,WATER COOLERS DIRECT.COM,931.2
20/06/2014,WATER COOLERS DIRECT.COM,768
24/06/2014,STAKRAK LTD,"7,128.00"
25/06/2014,WATER COOLERS DIRECT.COM,"1,794.00"
25/06/2014,PETERBOROUGH OFFICE SU,979.2
02/06/2014,PCPM LTD,"1,197.60"
02/06/2014,PCPM LTD,"1,197.60"
05/06/2014,TROPHY STORE,511.23
12/06/2014,GOTOCITRIX.COM,662.4
19/06/2014,BROWSERSTACK.COM,649.44
13/06/2014,NEW SOUTHERN RAILWAYS,846.4
23/06/2014,SMART SURVEY SYSTEM,648
26/06/2014,DIGITAL HEARING CARE S,858
09/06/2014,AEROSOCIETY,732
11/06/2014,EPSON-STORE.DE,569
16/06/2014,WHARTON ELECTRONICS LT,753.6
18/06/2014,WWW.DATAMAN.COM,966
04/06/2014,NORDIC SEA HOTE,621.42
02/06/2014,SUNHALL BEACH HOTEL APT,553.49
06/06/2014,MOTO-CVK MINERAL MAD.NAKL,657.91
12/06/2014,WASP BAR CODE TECH GBP000,"1,557.00"
19/06/2014,HEATHROW MEDICAL SERVICES,612
02/06/2014,SUITE NOVOTEL,"1,207.55"
02/06/2014,HOTEL TURENNE M,675.1
02/06/2014,SUITE NOVOTEL,"1,207.55"
02/06/2014,SUITE NOVOTEL,"1,207.55"
05/06/2014,PRINTDESIGN,864
06/06/2014,EDINBURGH AIRPORT  LTD,540
09/06/2014,SUITE NOVOTEL,"1,311.90"
09/06/2014,MARKET WEIGHTON PHARMACY,527.81
11/06/2014,S&G ELECTRICAL WHOLESA,504
18/06/2014,DISPOSABLES LIMITED,701.17
18/06/2014,DISPOSABLES LIMITED,701.17
23/06/2014,GARVOCK HOUSE HOTEL,616
23/06/2014,GARVOCK HOUSE HOTEL,616
23/06/2014,GARVOCK HOUSE HOTEL,"1,232.00"
23/06/2014,MANCHESTER AIRPORT T1,500
26/06/2014,STEWARTS AUTO-MITSUBISHI,803.24
26/06/2014,CARIBBEAN AIRLINES,552.51
02/06/2014,SUNHALL BEACH HOTEL APT,553.49
