Creditor Name ,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
HML ANDERTONS LTD,523.08, 01/10/2015,Housing Services HRA,Estate Charges
HEXAGON HOUSING ASSO,509.14, 01/10/2015,Chief Executives,HB Overpayment Refunds
GAS & ENVIRONMENTAL SERVICES LTD,618, 01/10/2015,Housing Services HRA,Small Systems Budget
REDACTED PERSONAL INFORMATION,559.65, 01/10/2015,Chief Executives,HB Overpayment Refunds
REDACTED PERSONAL INFORMATION,630, 01/10/2015,Childrens Services,Agency Staff
PLATINUM ONE LTD TA SUPERCARS & STARMILL,515.53, 01/10/2015,Housing Services HRA,Travel Expenses
1 & 1 INTERNET LTD,1391.65, 01/10/2015,Chief Executives,Small Systems Budget
"SENSE, THE NATIONAL DEAF BLIND & RUBELLA ASSOC",1990, 01/10/2015,Chief Executives,AOPS Social Care
GREENWICH SERVICE PLUS LIMITED,7418.86, 01/10/2015,Corporate,Insurance Claims
ABACUS CARE GREENWICH,3118.5, 01/10/2015,Adult and Older People,Agency Staff
BALTIMORE CONSULTING LTD,1248, 01/10/2015,Childrens Services,Agency Staff
BALTIMORE CONSULTING LTD,1968, 01/10/2015,Childrens Services,Agency Staff
OXLEAS NHS FOUNDATION TRUST,2750, 01/10/2015,Adult and Older People,Officers Normal Time
BALTIMORE CONSULTING LTD,1248, 01/10/2015,Childrens Services,Agency Staff
OXLEAS NHS FOUNDATION TRUST,1930, 01/10/2015,Adult and Older People,Officers Normal Time
BALTIMORE CONSULTING LTD,1248, 01/10/2015,Childrens Services,Agency Staff
BALTIMORE CONSULTING LTD,1440, 01/10/2015,Childrens Services,Agency Staff
BALTIMORE CONSULTING LTD,2340, 01/10/2015,Childrens Services,Agency Staff
BALTIMORE CONSULTING LTD,2460, 01/10/2015,Childrens Services,Agency Staff
BALTIMORE CONSULTING LTD,936, 01/10/2015,Childrens Services,Agency Staff
HAMPTON`S RESOURCING LTD,2940.3, 01/10/2015,Childrens Services,Agency Staff
LLOYDS TSB COMMERCIAL FINANCE LTD,1440, 01/10/2015,Regeneration Enterprise and Sk,Services Private Contractor
AURORA  LIFTS LTD,31075.08, 01/10/2015,Capital Housing Revenue Acc,Lifts
LLOYDS TSB COMMERCIAL FINANCE LTD,1350, 01/10/2015,Adult and Older People,Services by External Providers
NEWLYN CONTRACTORS LTD,120602.33, 01/10/2015,Capital Housing Revenue Acc,Newbuild
HENNESSEY LTD,21148.01, 01/10/2015,Housing Services,Services Private Contractor
HENNESSEY LTD,86550, 01/10/2015,Housing Services,Services Private Contractor
TUCKER GLASS & GLAZING,678.94, 01/10/2015,Planned Maintenance,Windows
ANTALIS LIMITED,632.4, 01/10/2015,Chief Executives,Materials
ANTALIS LIMITED,873.68, 01/10/2015,Chief Executives,Materials
ROSS & ROBERTS LTD,570.1, 01/10/2015,Chief Executives,Debt Collection Agency Charges
ACCESS INTELLIGENCE MEDIA & COMMUNICATIONS LTD,5940, 01/10/2015,Chief Executives,Other Services
THE MARSTAN PRESS LIMITED,1242, 01/10/2015,Chief Executives,Printing External Contract
ELTHAM DIGITAL PRINTERS LTD,1920, 01/10/2015,Chief Executives,Printing External Contract
TRINITY MIRROR PRINTING WATFORD LIMITED,3567.51, 01/10/2015,Chief Executives,Printing External Contract
TRINITY MIRROR PRINTING WATFORD LIMITED,378.95, 01/10/2015,Chief Executives,Printing External Contract
ELTHAM DIGITAL PRINTERS LTD,506.4, 01/10/2015,Chief Executives,Printing External Contract
ADAPTIS SOLUTIONS LIMITED,1694.3, 01/10/2015,Regeneration Enterprise and Sk,Services Private Contractor
PHS GROUP PLC,954.58, 01/10/2015,Regeneration Enterprise and Sk,Equipment
TIERGLAZE LTD,1632, 01/10/2015,Housing Services,Services Private Contractor
TIERGLAZE LTD,-54.4, 01/10/2015,Corporate Accounts,Tax Withheld
CANON (UK) LIMITED,538.79, 01/10/2015,Chief Executives,Equipment Lease
LLOYDS TSB COMMERCIAL FINANCE LTD,1018.8, 01/10/2015,Chief Executives,Printing External Contract
LLOYDS TSB COMMERCIAL FINANCE LTD,894, 01/10/2015,Chief Executives,Printing External Contract
LLOYDS TSB COMMERCIAL FINANCE LTD,619.2, 01/10/2015,Chief Executives,Printing External Contract
MANDY N CONSULTANCY LTD,1344, 01/10/2015,Adult and Older People,Agency Staff
RSOOK TRADING LTD,1554, 01/10/2015,Childrens Services,Agency Staff
RESTORE COMMUNITY PROJECTS,225.72, 01/10/2015,Housing Services HRA,Voids
RESTORE COMMUNITY PROJECTS,807.12, 01/10/2015,Housing Services HRA,Voids
RESTORE COMMUNITY PROJECTS,290.7, 01/10/2015,Housing Services HRA,Voids
RESTORE COMMUNITY PROJECTS,554.04, 01/10/2015,Housing Services HRA,Voids
BIRLEM LIMITED,6979.54, 01/10/2015,NS Heating and Lighting,Oil
NORTHGATE PUBLIC SERVICES (UK) LTD,1070.88, 01/10/2015,Adult and Older People,Services by External Providers
LOGICALIS UK LIMITED,2190, 01/10/2015,Chief Executives,Telephones
PENNINGTON CHOICES LTD,2637, 01/10/2015,Comm Safety and Environment,Asbestos Analysis
DIRECT LINGUISTS LTD,2402.16, 01/10/2015,Adult and Older People,Agency Staff
KIDS,600, 01/10/2015,Childrens Services,Other Services
SOCIAL ACTION FOR HEALTH,7889.33, 01/10/2015,Adult and Older People,Services by External Providers
REDACTED PERSONAL INFORMATION,1350, 01/10/2015,Corporate,Insurance Claims
KIDS,10000, 01/10/2015,Childrens Services,Professional Fees
SUPPLIES TEAM LTD,506.52, 01/10/2015,Regeneration Enterprise and Sk,Equipment Toner
EMMAUS GREENWICH,294, 01/10/2015,Housing Services HRA,Voids
EMMAUS GREENWICH,294, 01/10/2015,Housing Services HRA,Voids
REED LEARNING LTD,40725, 01/10/2015,Chief Executives,Shared Services - Short Courses
DAVID PHILLIPS FURNITURE LTD,483.42, 01/10/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,832.3, 01/10/2015,Chief Executives,ESS Care Grant Electrical
POLLARD THOMAS EDWARDS LLP,1890, 01/10/2015,Modernisation,Ground Exploration
RICOH UK LTD,810.12, 01/10/2015,Comm Safety and Environment,Photocopying
FAMILY MOSAIC HOUSING,1828.75, 01/10/2015,Adult and Older People,In Touch Support
POTTER RAPER PARTNERSHIP,4319.26, 01/10/2015,Capital Housing Revenue Acc,Ext Consultants Fees
SAUTER AUTOMATION LIMITED,574.8, 01/10/2015,Regeneration Enterprise and Sk,Repairs Buildings GMR In House
SAUTER AUTOMATION LIMITED,344.88, 01/10/2015,Regeneration Enterprise and Sk,Repairs Buildings GMR In House
GEN-VENT (METALWORKERS) LTD,6298.8, 01/10/2015,Comm Safety and Environment,R & M Buildings Other
REDACTED PERSONAL INFORMATION,867.75, 01/10/2015,Corporate,Insurance Claims
NUMBER 10 INTERIM LTD,2399.88, 01/10/2015,Adult and Older People,Consultants
REDACTED PERSONAL INFORMATION,8500, 01/10/2015,Corporate,Insurance Claims
LLOYDS TSB COMMERCIAL FINANCE LTD,5662.32, 01/10/2015,Chief Executives,Other Services
DAVID PHILLIPS FURNITURE LTD,158.76, 01/10/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,829.44, 01/10/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,135.12, 01/10/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,590.5, 01/10/2015,Chief Executives,ESS Care Grant Electrical
MAYOR`S OFFICE FOR POLICING AND CRIME,67750, 01/10/2015,Comm Safety and Environment,Other Services
MAYOR`S OFFICE FOR POLICING AND CRIME,43375, 01/10/2015,Comm Safety and Environment,Other Services
DAVID PHILLIPS FURNITURE LTD,65.94, 01/10/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,564.68, 01/10/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,590.5, 01/10/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,111.32, 01/10/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,428.3, 01/10/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,187.51, 01/10/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,590.5, 01/10/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,139.15, 01/10/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,590.5, 01/10/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,186.19, 01/10/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,590.5, 01/10/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,104.26, 01/10/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,590.5, 01/10/2015,Chief Executives,ESS Care Grant Electrical
16 PLUS TEAM LTD T/A THE ARTEMIS TEAM LTD,1785, 01/10/2015,Childrens Services,Children Looked After
ANGELS HUMAN RESOURCES LTD,1116.25, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,696.51, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
ANGELS HUMAN RESOURCES LTD,627.72, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,1831.2, 01/10/2015,Adult and Older People,ISF Personal Care
CLEARWATER CARE (HACKNEY) LTD,5340, 01/10/2015,Adult and Older People,Supported Living
ANGELS HUMAN RESOURCES LTD,876.36, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,732.48, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,1648.08, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,536.28, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,536.28, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,2184.36, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,860.01, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,614.76, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,722.67, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,1510.74, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,1831.2, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,640.92, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,1229.52, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,1935.84, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,4761.12, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,1651.35, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,6775, 01/10/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,6558, 01/10/2015,Childrens Services,Agency Placements
CAPITAL CARE & FOSTER LTD T/AS 365 FOSTER CARE,3279.92, 01/10/2015,Childrens Services,Agency Placements
CAPITAL CARE & FOSTER LTD T/AS 365 FOSTER CARE,5527.76, 01/10/2015,Childrens Services,Agency Placements
CAPITAL CARE & FOSTER LTD T/AS 365 FOSTER CARE,3132.08, 01/10/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,3122.96, 01/10/2015,Adult and Older People,Supported Living
CAPITAL CARE & FOSTER LTD T/AS 365 FOSTER CARE,5600, 01/10/2015,Childrens Services,Agency Placements
CAPITAL CARE & FOSTER LTD T/AS 365 FOSTER CARE,3132.08, 01/10/2015,Childrens Services,Agency Placements
CAPITAL CARE & FOSTER LTD T/AS 365 FOSTER CARE,3132.08, 01/10/2015,Childrens Services,Agency Placements
THE AVENUE TRUST GROUP,2582.56, 01/10/2015,Adult and Older People,Supported Living
THE AVENUE TRUST GROUP,3302.56, 01/10/2015,Adult and Older People,Supported Living
THE AVENUE TRUST GROUP,1544.16, 01/10/2015,Adult and Older People,Supported Living
SUPREME CARE SERVICES LTD,680.92, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
SUPREME CARE SERVICES LTD,529.74, 01/10/2015,Adult and Older People,ISF Personal Care
SUPREME CARE SERVICES LTD,811.35, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
STAR CARE UK LTD,510.12, 01/10/2015,Adult and Older People,ISF Personal Care
SUPREME CARE SERVICES LTD,608.12, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
SUPREME CARE SERVICES LTD,549.36, 01/10/2015,Adult and Older People,ISF Personal Care
SUPREME CARE SERVICES LTD,562.44, 01/10/2015,Adult and Older People,ISF Personal Care
SUPREME CARE SERVICES LTD,601.68, 01/10/2015,Adult and Older People,ISF Personal Care
SUPREME CARE SERVICES LTD,725.94, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,1353.78, 01/10/2015,Adult and Older People,ISF Personal Care
SUPREME CARE SERVICES LTD,863.28, 01/10/2015,Adult and Older People,ISF Personal Care
SUPREME CARE SERVICES LTD,1050.05, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
SUPREME CARE SERVICES LTD,670.23, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,662.33, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,784.8, 01/10/2015,Adult and Older People,ISF Personal Care
ANGELS HUMAN RESOURCES LTD,2162.37, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
