Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/22/12,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NUMED HOLDINGS LTD,81259,"30,572.40",
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/25/12,DATA LINES,CENTRAL FINANCE,BT GLOBAL SERVICES,790068617,"37,211.47",
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/04/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,GATESHEAD HEALTH NHS FOUNDATION TRUST,123059,"73,861.00",
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/04/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,GATESHEAD HEALTH NHS FOUNDATION TRUST,123105,"70,051.00",
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,GATESHEAD HEALTH NHS FOUNDATION TRUST,123137,"150,750.00",
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/22/12,HEALTHCARE FROM VOLUNTARY SECTOR,CENTRAL FINANCE,COMMUNITY ACTION ON HEALTH,147,"115,272.00",
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/01/2012,HEALTHCARE FROM LOCAL AUTHORITIES,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1.80E+12,"241,411.30",
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/25/12,HEALTHCARE FROM VOLUNTARY SECTOR,CONTRACTING FINANCE,NUFFIELD HEALTH,239824,"44,870.00",
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/25/12,HEALTHCARE FROM VOLUNTARY SECTOR,CONTRACTING FINANCE,NUFFIELD HEALTH,239825,"44,870.00",
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/22/12,HEALTHCARE FROM VOLUNTARY SECTOR,CONTRACTING FINANCE,CHILDREN NORTH EAST,24,"29,291.75",
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/11/2012,RENT,CENTRAL FINANCE,ESH SPACE THE PARK LTD,2868/012,"42,750.00",
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,ADDITIONS - PLANT AND MACHINERY,ASSETS,GT CLEANING MACHINES LTD,30172,"38,462.40",
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/04/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,34399,"141,406.00",
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/04/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,34400,"637,423.00",
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/04/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,35097959,"32,043.00",
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/18/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,35100627,"26,339.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3943953,"15,793.42"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3943953,"9,514.12"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/01/2012,ADDITIONS - INFORMATION TECHNOLOGY,ASSETS,MTC SUNDERLAND,4035076,"29,610.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/29/12,SERVICES FROM PCTS,CENTRAL FINANCE,SOUTH TYNESIDE PCT,4306,"90,297.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/29/12,SERVICES FROM PCTS,CENTRAL FINANCE,SOUTH TYNESIDE PCT,4346,"90,297.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/22/12,HEALTHCARE FROM VOLUNTARY SECTOR,CONTRACTING FINANCE,NEWCASTLE COUNCIL FOR VOLUNTARY SERVICE,460,"157,049.50"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/01/2012,TAX AND SOCIAL SECURITY COSTS < ONE YEAR,PAYROLL,HM REVENUE AND CUSTOMS,504PS00113964 YR12MTH1,"258,509.55"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/01/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,525486,"2,405,000.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/09/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,525765,"3,513,007.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/01/2012,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,65002811,"37,430.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,65003000,"2,617,734.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/11/2012,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,65003013,"1,361,795.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/01/2012,RATES,CENTRAL FINANCE,NEWCASTLE CITY COUNCIL,6937448112 17-MAR-12,"45,800.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/01/2012,RATES,CENTRAL FINANCE,NEWCASTLE CITY COUNCIL,6972307912 17-MAR-12,"249,610.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/01/2012,RATES,CENTRAL FINANCE,NEWCASTLE CITY COUNCIL,6973838612 17-MAR-12,"36,869.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,70356,"323,137.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/25/12,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,RAMSAY HEALTH CARE LTD,CBSAC1052,"67,789.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,N.H.S. CREDITORS < ONE YEAR,PAYROLL,NHS PENSIONS AGENCY,EA0326 GP YR12MTH1,"387,489.62"
