Entity,GL Date,Merchant name,Amount,Description
DEFRA,07/04/2016,ST JOHN AMBULANCE,594,IOSH training course - August
DEFRA,11/04/2016,IACCM,1950,Post redirection for Worcester
DEFRA,11/04/2016,IACCM,1170,Worcester relocation
DEFRA,15/04/2016,ROYAL MAIL FEES,582.21,Contract management training -CaroHrynkiewicz
DEFRA,15/04/2016,ROYAL MAIL FEES,582.21,Contract management training - B Witter White
VMD,07/04/2016,"Premier Inn, Birmingham",552,"Accommodation, 4 nights"
VMD,07/04/2016,"Premier Inn, Birmingham",552,"Accommodation, 4 nights"
VMD,07/04/2016,"Premier Inn, Birmingham",552,"Accommodation, 4 nights"
VMD,07/04/2016,"Premier Inn, Birmingham",552,"Accommodation, 4 nights"
MMO,27/04/2016,CONTACT LEFT,990,120 x UKOM Green 40 page A5 Nyrex / Nirex Folder Document Holders for Enforcement Officers and Royal Navy not available from contract suppliers. One off purchase.
RPA,31/03/2016,Digicert Incorporated,914.75,5 x Security Software Licence certificates for Lync pilot
RPA,11/04/2016,Amazon UK Marketplace,1004.65,10 x Blackberry Curve 9720
RPA,26/04/2016,Leica Geosystems Limited,808.06,6 x Soft carry bag & 6 x AC/DC chargers for Leica Devices
JNCC,04/04/2016,EnterpriseDB ,859.95,Advanced Postgres Administration - PostgreSQL Users training course x 1 staff
JNCC,04/04/2016,Lyreco UK Ltd,1141.48,Paper and stationery supplies
JNCC,07/04/2016,Netflights.com,1899.57,"1 x staff member return flight to Antigua to attend ministerial meeting, Minister in the Montserrat Government."
JNCC,20/04/2016,Citrix Systems UK Ltd,1281.6,Gotowebinar Service - 100 attendees 15-Feb-16 to 14-Feb-17 
JNCC,26/04/2016,DTA Publications,520,Renewal of electronic subscription for once concurrent user to the Habitats Regulations Assessment Handbook 06/05/2016-06/05/2017
JNCC,26/04/2016,DNH Godaddy.com Europe,611.96,Purchase 3 year Unified Communicates Certificate Standard for email and remote access services
CEFAS,29/03/2016,WWW.VISUALS.CO.UK,3611.52,High definition TV for use in Nephrops camera survey data analysis. 
CEFAS,29/03/2016,ONYA INNOVATIONS UK LT,1668,Purchase of 1000 secure cup lids to enhance safety by preventing spillage.
CEFAS,29/03/2016,FORENINGEN FOR DGIS LA,1459,Accommodation for one person for 11 nights to attend International Council for exploration of the sea working group 
CEFAS,29/03/2016,PREMIER INN 44536475,772.9,Accommodation for two people for five nights to attend a conference on Marine Geological and Biological Habitat Mapping in Winchester. 
CEFAS,29/03/2016,JOHN WILEY & SONS PUBL,2167.67,Open access charges for publication in the Journal of Applied Ecology
CEFAS,30/03/2016,WPBC CARD PAYMENT,651,Two car parking permits for one year in Weymouth for our Cefas Laboratory. 
CEFAS,30/03/2016,EBK EBOOKERS,3298.24,"Return flight for one person from London to Chile, to attend a conference on Commission for the Conservation of Antarctic Marine Living Resources. Cost recovered by Foreign Commonwealth Office Project "
