Transaction Date,Transaction Reference,Merchant,Total
10/4/2011,312420585,Carlson Wagonlit Travel UK Limited,$537.10 
10/4/2011,312420586,Carlson Wagonlit Travel UK Limited,"$7,776.33 "
10/4/2011,312420591,Carlson Wagonlit Travel UK Limited,"$1,735.30 "
10/4/2011,312420592,Carlson Wagonlit Travel UK Limited,"$3,884.03 "
10/4/2011,312425029,Carlson Wagonlit Travel UK Limited,"$1,300.63 "
10/5/2011,312660924,Carlson Wagonlit Travel UK Limited,"$4,445.43 "
10/5/2011,312660935,Carlson Wagonlit Travel UK Limited,"$4,741.53 "
10/5/2011,312661097,Carlson Wagonlit Travel UK Limited,"$3,563.57 "
10/5/2011,312666842,Carlson Wagonlit Travel UK Limited,$508.30 
10/5/2011,312997320,Carlson Wagonlit Travel UK Limited,$557.70 
10/6/2011,312666840,Carlson Wagonlit Travel UK Limited,"$2,788.63 "
10/6/2011,312666841,Carlson Wagonlit Travel UK Limited,$614.73 
10/6/2011,312992811,Carlson Wagonlit Travel UK Limited,$561.70 
10/6/2011,313003286,Carlson Wagonlit Travel UK Limited,"$2,012.63 "
10/6/2011,313003287,Carlson Wagonlit Travel UK Limited,"$2,012.63 "
10/6/2011,313003288,Carlson Wagonlit Travel UK Limited,"$2,012.63 "
10/6/2011,313003289,Carlson Wagonlit Travel UK Limited,"$2,667.33 "
10/7/2011,313237422,Carlson Wagonlit Travel UK Limited,$638.20 
10/7/2011,313238708,Carlson Wagonlit Travel UK Limited,"$1,210.53 "
10/7/2011,313239453,Carlson Wagonlit Travel UK Limited,"$1,988.27 "
10/10/2011,313439372,Carlson Wagonlit Travel UK Limited,$638.20 
10/10/2011,313439810,Carlson Wagonlit Travel UK Limited,"$2,382.73 "
10/10/2011,313440549,Carlson Wagonlit Travel UK Limited,"$1,045.10 "
10/10/2011,313440604,Carlson Wagonlit Travel UK Limited,"$3,492.32 "
10/10/2011,313440618,Carlson Wagonlit Travel UK Limited,"$5,239.53 "
10/10/2011,313442419,Carlson Wagonlit Travel UK Limited,$508.30 
10/11/2011,313655256,Carlson Wagonlit Travel UK Limited,"$2,148.93 "
10/11/2011,313655258,Carlson Wagonlit Travel UK Limited,"$2,849.63 "
10/11/2011,313655259,Carlson Wagonlit Travel UK Limited,"$3,283.63 "
10/12/2011,313906425,Carlson Wagonlit Travel UK Limited,"$2,056.23 "
10/12/2011,314233125,Carlson Wagonlit Travel UK Limited,"$1,115.79 "
10/13/2011,314233131,Carlson Wagonlit Travel UK Limited,"$3,276.93 "
10/13/2011,314233132,Carlson Wagonlit Travel UK Limited,"$2,842.93 "
10/13/2011,314233133,Carlson Wagonlit Travel UK Limited,"$2,842.93 "
10/13/2011,314233134,Carlson Wagonlit Travel UK Limited,"$3,276.93 "
10/13/2011,314233135,Carlson Wagonlit Travel UK Limited,"$2,849.63 "
10/13/2011,314233206,Carlson Wagonlit Travel UK Limited,"$2,847.02 "
10/13/2011,314233230,Carlson Wagonlit Travel UK Limited,"$1,224.93 "
10/13/2011,314233275,Carlson Wagonlit Travel UK Limited,$682.23 
10/13/2011,314475781,Carlson Wagonlit Travel UK Limited,$561.73 
10/14/2011,314476471,Carlson Wagonlit Travel UK Limited,"$2,840.33 "
10/14/2011,314476472,Carlson Wagonlit Travel UK Limited,"$2,840.33 "
10/14/2011,314479219,Carlson Wagonlit Travel UK Limited,"$4,217.03 "
10/17/2011,314676100,Carlson Wagonlit Travel UK Limited,"$3,165.33 "
10/17/2011,314676132,Carlson Wagonlit Travel UK Limited,"$4,770.83 "
10/18/2011,314898073,Carlson Wagonlit Travel UK Limited,"$2,812.02 "
10/19/2011,315121955,Carlson Wagonlit Travel UK Limited,$503.40 
10/19/2011,315127760,Carlson Wagonlit Travel UK Limited,$742.30 
10/20/2011,315439745,Carlson Wagonlit Travel UK Limited,"$3,315.13 "
10/20/2011,315444842,Carlson Wagonlit Travel UK Limited,"$1,389.83 "
10/21/2011,315659050,Carlson Wagonlit Travel UK Limited,"$6,395.73 "
10/21/2011,315659052,Carlson Wagonlit Travel UK Limited,"$1,928.33 "
10/24/2011,315847836,Carlson Wagonlit Travel UK Limited,"$2,382.43 "
10/24/2011,315853421,Carlson Wagonlit Travel UK Limited,"$1,602.73 "
10/24/2011,315853422,Carlson Wagonlit Travel UK Limited,"$1,426.43 "
10/25/2011,316050973,Carlson Wagonlit Travel UK Limited,"$4,724.53 "
10/25/2011,316050976,Carlson Wagonlit Travel UK Limited,"$3,019.43 "
10/25/2011,316056846,Carlson Wagonlit Travel UK Limited,$796.50 
10/26/2011,316291352,Carlson Wagonlit Travel UK Limited,"$2,685.33 "
10/26/2011,316292022,Carlson Wagonlit Travel UK Limited,"$2,584.32 "
10/26/2011,316292079,Carlson Wagonlit Travel UK Limited,"$2,584.32 "
10/26/2011,316292086,Carlson Wagonlit Travel UK Limited,"$3,068.33 "
10/26/2011,316292217,Carlson Wagonlit Travel UK Limited,"$3,622.83 "
10/27/2011,316580639,Carlson Wagonlit Travel UK Limited,"$2,849.33 "
10/27/2011,316580643,Carlson Wagonlit Travel UK Limited,"$2,849.33 "
10/27/2011,316584204,Carlson Wagonlit Travel UK Limited,$755.20 
10/27/2011,316588509,Carlson Wagonlit Travel UK Limited,"$1,763.23 "
10/28/2011,316765476,Carlson Wagonlit Travel UK Limited,"$3,518.53 "
10/28/2011,316765477,Carlson Wagonlit Travel UK Limited,"$3,668.53 "
10/28/2011,316765479,Carlson Wagonlit Travel UK Limited,"$1,795.33 "
10/28/2011,316766074,Carlson Wagonlit Travel UK Limited,"$3,484.60 "
10/28/2011,316770320,Carlson Wagonlit Travel UK Limited,$669.33 
10/29/2011,316765471,Carlson Wagonlit Travel UK Limited,"$4,247.40 "
10/31/2011,317000805,Carlson Wagonlit Travel UK Limited,"$1,054.00 "
11/1/2011,317214043,Carlson Wagonlit Travel UK Limited,$752.93 
11/1/2011,317214046,Carlson Wagonlit Travel UK Limited,"$6,869.23 "
11/1/2011,317214835,Carlson Wagonlit Travel UK Limited,"$3,045.22 "
11/1/2011,317214846,Carlson Wagonlit Travel UK Limited,"$1,494.62 "
11/1/2011,317214850,Carlson Wagonlit Travel UK Limited,"$1,648.80 "
11/1/2011,317214947,Carlson Wagonlit Travel UK Limited,"$2,602.72 "
11/1/2011,318007768,Carlson Wagonlit Travel UK Limited,"$2,846.72 "
11/2/2011,317447381,Carlson Wagonlit Travel UK Limited,$949.53 
11/2/2011,317448206,Carlson Wagonlit Travel UK Limited,"$1,913.43 "
11/3/2011,317770125,Carlson Wagonlit Travel UK Limited,"$2,313.93 "
11/3/2011,317770126,Carlson Wagonlit Travel UK Limited,"$2,313.93 "
11/3/2011,317771340,Carlson Wagonlit Travel UK Limited,$534.78 
11/3/2011,318007767,Carlson Wagonlit Travel UK Limited,"$2,811.42 "
11/4/2011,318006894,Carlson Wagonlit Travel UK Limited,$989.93 
11/4/2011,318006900,Carlson Wagonlit Travel UK Limited,"$2,041.70 "
11/4/2011,318007800,Carlson Wagonlit Travel UK Limited,"$3,125.33 "
11/4/2011,318007850,Carlson Wagonlit Travel UK Limited,"$3,912.33 "
11/4/2011,318008360,Carlson Wagonlit Travel UK Limited,"$2,164.30 "
11/4/2011,318011284,Carlson Wagonlit Travel UK Limited,"$4,078.93 "
11/7/2011,318219403,Carlson Wagonlit Travel UK Limited,"$2,096.93 "
11/7/2011,318219407,Carlson Wagonlit Travel UK Limited,"$2,947.92 "
11/7/2011,318223775,Carlson Wagonlit Travel UK Limited,$527.10 
11/8/2011,318440764,Carlson Wagonlit Travel UK Limited,"$2,561.03 "
11/8/2011,318440876,Carlson Wagonlit Travel UK Limited,$925.00 
11/9/2011,318664481,Carlson Wagonlit Travel UK Limited,$503.43 
11/10/2011,318992416,Carlson Wagonlit Travel UK Limited,"$4,416.33 "
11/11/2011,318997607,Carlson Wagonlit Travel UK Limited,$546.59 
11/11/2011,318997608,Carlson Wagonlit Travel UK Limited,$546.59 
11/12/2011,318997600,Carlson Wagonlit Travel UK Limited,"$3,311.23 "
11/14/2011,319438117,Carlson Wagonlit Travel UK Limited,$729.60 
11/14/2011,319438850,Carlson Wagonlit Travel UK Limited,"$2,668.53 "
11/14/2011,319442708,Carlson Wagonlit Travel UK Limited,$573.50 
11/15/2011,320473670,Carlson Wagonlit Travel UK Limited,"$1,535.23 "
11/15/2011,320473759,Carlson Wagonlit Travel UK Limited,"$3,023.92 "
11/15/2011,320476438,Carlson Wagonlit Travel UK Limited,"$2,740.50 "
11/16/2011,320649139,Carlson Wagonlit Travel UK Limited,"$1,936.13 "
11/16/2011,320649143,Carlson Wagonlit Travel UK Limited,"$4,325.43 "
11/17/2011,320911571,Carlson Wagonlit Travel UK Limited,"$3,219.43 "
11/18/2011,321230080,Carlson Wagonlit Travel UK Limited,"$2,865.23 "
11/18/2011,321230087,Carlson Wagonlit Travel UK Limited,$531.80 
11/18/2011,321230824,Carlson Wagonlit Travel UK Limited,"$1,498.80 "
11/21/2011,321429064,Carlson Wagonlit Travel UK Limited,$736.33 
11/21/2011,321429067,Carlson Wagonlit Travel UK Limited,"$3,377.13 "
11/21/2011,321429189,Carlson Wagonlit Travel UK Limited,"$3,377.13 "
11/22/2011,321661669,Carlson Wagonlit Travel UK Limited,"$2,017.73 "
11/22/2011,321661672,Carlson Wagonlit Travel UK Limited,$673.83 
11/22/2011,321662409,Carlson Wagonlit Travel UK Limited,"$3,485.82 "
11/22/2011,321664902,Carlson Wagonlit Travel UK Limited,$592.60 
11/23/2011,321879121,Carlson Wagonlit Travel UK Limited,"$5,853.23 "
11/28/2011,322675064,Carlson Wagonlit Travel UK Limited,"$1,248.00 "
11/28/2011,322678514,Carlson Wagonlit Travel UK Limited,$852.43 
11/29/2011,322678516,Carlson Wagonlit Travel UK Limited,"$2,506.43 "
11/29/2011,322891409,Carlson Wagonlit Travel UK Limited,"$2,239.82 "
12/6/2011,324142620,Carlson Wagonlit Travel UK Limited,"$2,206.63 "
12/6/2011,324143569,Carlson Wagonlit Travel UK Limited,$551.80 
12/6/2011,324143571,Carlson Wagonlit Travel UK Limited,$551.80 
12/6/2011,324143582,Carlson Wagonlit Travel UK Limited,"$2,423.92 "
12/6/2011,324143583,Carlson Wagonlit Travel UK Limited,"$1,095.43 "
12/6/2011,324143584,Carlson Wagonlit Travel UK Limited,"$3,869.73 "
12/6/2011,324144452,Carlson Wagonlit Travel UK Limited,"$2,240.02 "
12/7/2011,324386067,Carlson Wagonlit Travel UK Limited,"$1,872.33 "
12/7/2011,324386068,Carlson Wagonlit Travel UK Limited,"$3,199.53 "
12/7/2011,324386072,Carlson Wagonlit Travel UK Limited,"$2,911.23 "
12/8/2011,324728684,Carlson Wagonlit Travel UK Limited,"$2,205.02 "
12/14/2011,325651039,Carlson Wagonlit Travel UK Limited,"$4,315.13 "
12/14/2011,325651040,Carlson Wagonlit Travel UK Limited,"$3,831.33 "
12/15/2011,326007858,Carlson Wagonlit Travel UK Limited,"$2,967.53 "
12/15/2011,326007949,Carlson Wagonlit Travel UK Limited,"$5,099.33 "
12/15/2011,326007951,Carlson Wagonlit Travel UK Limited,"$2,206.63 "
12/15/2011,326007952,Carlson Wagonlit Travel UK Limited,"$2,648.03 "
12/16/2011,326014349,Carlson Wagonlit Travel UK Limited,"$2,095.13 "
12/16/2011,326229678,Carlson Wagonlit Travel UK Limited,"$2,201.03 "
12/16/2011,326234075,Carlson Wagonlit Travel UK Limited,"$2,201.03 "
12/19/2011,326416215,Carlson Wagonlit Travel UK Limited,"$2,739.80 "
12/19/2011,326416217,Carlson Wagonlit Travel UK Limited,"$2,937.33 "
12/20/2011,326610210,Carlson Wagonlit Travel UK Limited,$708.82 
12/21/2011,326792930,Carlson Wagonlit Travel UK Limited,$529.30 
12/22/2011,326955789,Carlson Wagonlit Travel UK Limited,"$1,554.73 "
12/23/2011,327234469,Carlson Wagonlit Travel UK Limited,"$1,870.13 "
12/23/2011,327234477,Carlson Wagonlit Travel UK Limited,"$2,540.63 "
12/31/2011,327651660,Carlson Wagonlit Travel UK Limited,"$1,450.90 "
6/10/2011,PCCL1458801,COPENHAGEN MARRIOTT HOTEL,$750.69 
6/10/2011,PCCL1463411,COPENHAGEN MARRIOTT HOTEL,$543.51 
7/10/2011,PCCL1459601,ANA INTERCONTINENTAL HOTE,$860.73 
11/10/2011,PCCL1461011,LOCH LOMOND HOTEL   ,$545.00 
12/10/2011,PCCL1458301,PALOMAR DC               ,$659.48 
12/10/2011,PCCL1458311,PALOMAR DC               ,$877.46 
12/10/2011,PCCL1458901,PALOMAR DC               ,$779.05 
12/10/2011,PCCL1469061,PARK INN MUSCAT          ,$509.29 
10/14/2011,PCCL1458631,PALOMAR DC               ,"$1,163.17 "
10/14/2011,PCCL1459311,PALOMAR DC               ,$969.31 
10/14/2011,PCCL1462501,PALOMAR DC               ,"$1,179.11 "
10/14/2011,PCCL1462921,PALOMAR DC               ,$775.45 
10/14/2011,PCCL1463941,PALOMAR DC               ,"$1,163.17 "
10/16/2011,PCCL1459531,PALOMAR DC               ,"$1,163.17 "
10/18/2011,PCCL1461071,ST ELIZABETH'S HOU       ,$527.00 
10/21/2011,PCCL1458481,KOREANA HOTEL     0619610,$597.95 
10/24/2011,PCCL1461451,KOREANA HOTEL     0619610,"$2,142.54 "
10/27/2011,PCCL1464031,WWW.DIGITALID.CO.UK      ,"$4,222.80 "
10/28/2011,PCCL1460291,SODEXHO LTD 344360       ,$680.85 
9/11/2011,PCCL1471611,HOTEL SOFITEL VICTORI    ,$527.52 
9/11/2011,PCCL1476521,BBC WORLDWIDE PRO1       ,$780.00 
11/11/2011,PCCL1472331,THE GRAND HOTEL(ST ANN   ,$506.35 
11/14/2011,PCCL1476541,EFORCE                   ,$720.00 
11/18/2011,PCCL1474241,FINGER PRINTS            ,$500.00 
11/18/2011,PCCL1476251,NANT YR ODYN CNTRY       ,$832.65 
11/22/2011,PCCL1476141,Hotels com UK            ,"$1,078.71 "
