Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Adult Social Care,MEAL DEAL,Expenses and Allowances,Human Resources Travel & Subsistence ,07.07.2015,16.08.2015,GPC07150000001,3.08
Stockport MBC,Services to People,Adult Social Care,TESCO STORES 2503,Expenses and Allowances,Human Resources Travel & Subsistence ,07.07.2015,16.08.2015,GPC07150000002,2.11
Stockport MBC,Services to Place,Planning Services,DB BAHN AUTOMATEN,Travelling Expenses,Human Resources Travel & Subsistence ,08.07.2015,16.08.2015,GPC07150000003,8.00
Stockport MBC,Services to Place,Planning Services,Fedora Bar + Cucina,Expenses and Allowances,Human Resources Travel & Subsistence ,08.07.2015,16.08.2015,GPC07150000004,13.25
Stockport MBC,Services to Place,Planning Services,Hofbraeuhaus am Platzl,Expenses and Allowances,Human Resources Travel & Subsistence ,08.07.2015,16.08.2015,GPC07150000005,16.22
Stockport MBC,Services to Place,Planning Services,BRATWURSTHERZL,Expenses and Allowances,Human Resources Travel & Subsistence ,09.07.2015,16.08.2015,GPC07150000006,22.09
Stockport MBC,Services to Place,Planning Services,BEDFORD HOTEL BRUSSEL,Expenses and Allowances,Human Resources Travel & Subsistence ,11.07.2015,16.08.2015,GPC07150000007,219.61
Stockport MBC,Services to Place,Planning Services,HOTEL CONCORDE  GMBH & CO,Expenses and Allowances,Human Resources Travel & Subsistence ,10.07.2015,16.08.2015,GPC07150000008,180.45
Stockport MBC,Services to People,Adult Social Care,ADOTAX,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,11.06.2015,16.08.2015,GPC07150000009,9.72
Stockport MBC,Services to People,Childrens & Educational Services,CROSSBOW EDUCATION,Furniture and Equipment,Environmental Services Technical Equipment ,29.07.2015,16.08.2015,GPC07150000010,40.72
Stockport MBC,Corporate and Support Services,Planning Services,EASILY LTD,Publicity and Promotion,Facilities & Management Services  ,08.07.2015,16.08.2015,GPC07150000011,9.00
Stockport MBC,Corporate and Support Services,Planning Services,LINKEDIN-2898155633,Publicity and Promotion,Facilities & Management Services  ,09.07.2015,16.08.2015,GPC07150000012,739.95
Stockport MBC,Corporate and Support Services,Planning Services,EASILY LTD,Publicity and Promotion,Facilities & Management Services  ,13.07.2015,16.08.2015,GPC07150000013,25.00
Stockport MBC,Corporate and Support Services,Planning Services,FACEBOOK 24Y6G8ANK2,Publicity and Promotion,Facilities & Management Services  ,14.07.2015,16.08.2015,GPC07150000014,195.34
Stockport MBC,Corporate and Support Services,Planning Services,FACEBOOK 44Y6G8ANK2,Publicity and Promotion,Facilities & Management Services  ,14.07.2015,16.08.2015,GPC07150000015,98.33
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,03.07.2015,16.08.2015,GPC07150000016,12.29
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.07.2015,16.08.2015,GPC07150000017,24.64
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,07.07.2015,16.08.2015,GPC07150000018,2.98
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,08.07.2015,16.08.2015,GPC07150000019,3.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,08.07.2015,16.08.2015,GPC07150000020,13.98
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,09.07.2015,16.08.2015,GPC07150000021,10.15
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,09.07.2015,16.08.2015,GPC07150000022,1.64
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,10.07.2015,16.08.2015,GPC07150000023,13.99
Stockport MBC,Services to People,Childrens & Educational Services,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,15.07.2015,16.08.2015,GPC07150000024,8.00
Stockport MBC,Services to People,Childrens & Educational Services,PICADILLY PLACE MAN LT,Travelling Expenses,Human Resources Travel & Subsistence ,29.07.2015,16.08.2015,GPC07150000025,4.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,06.07.2015,16.08.2015,GPC07150000026,23.71
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,06.07.2015,16.08.2015,GPC07150000027,79.05
Stockport MBC,Services to People,Childrens & Educational Services,EB SPECIAL EDUCATIONA,Expenses and Allowances,Human Resources Training & Conferences ,22.07.2015,16.08.2015,GPC07150000028,250.00
Stockport MBC,Services to People,Childrens & Educational Services,EB SPECIAL EDUCATIONA,Expenses and Allowances,Human Resources Training & Conferences ,22.07.2015,16.08.2015,GPC07150000029,250.00
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.JUMPNATION.COM,Publicity and Promotion,Arts & Leisure Services  ,24.07.2015,16.08.2015,GPC07150000030,160.29
Stockport MBC,Services to People,Adult Social Care,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,02.07.2015,16.08.2015,GPC07150000031,84.25
Stockport MBC,Services to People,Adult Social Care,TRAVELODGE WEBSITE,Expenses and Allowances,Human Resources Travel & Subsistence ,02.07.2015,16.08.2015,GPC07150000032,417.95
Stockport MBC,Services to People,Adult Social Care,WWW.FLYBE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,06.07.2015,16.08.2015,GPC07150000033,45.00
Stockport MBC,Services to People,Childrens & Educational Services,WWW.FLYBE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,06.07.2015,16.08.2015,GPC07150000034,45.00
Stockport MBC,Services to People,Adult Social Care,TRAVELODGE WEBSITE,Expenses and Allowances,Human Resources Travel & Subsistence ,09.07.2015,16.08.2015,GPC07150000035,-199.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,ASDA SUPERSTORE,Expenses and Allowances,Human Resources Travel & Subsistence ,03.07.2015,16.08.2015,GPC07150000036,7.66
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,W M MORRISON,Fuel,Vehicle Management Fuel ,07.07.2015,16.08.2015,GPC07150000037,56.83
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,SAINSBURYS S/MKTS,Expenses and Allowances,Human Resources Travel & Subsistence ,09.07.2015,16.08.2015,GPC07150000038,2.80
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WEST COAST TRAINS LTD,Expenses and Allowances,Human Resources Travel & Subsistence ,09.07.2015,16.08.2015,GPC07150000039,2.60
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WEST COAST TRAINS LTD,Expenses and Allowances,Human Resources Travel & Subsistence ,10.07.2015,16.08.2015,GPC07150000040,13.90
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,FLOWER EMPORIUM,Expenses and Allowances,Human Resources Travel & Subsistence ,22.07.2015,16.08.2015,GPC07150000041,25.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE.COM,Care Payments,Social Community Care Supplies & Services  ,14.07.2015,16.08.2015,GPC07150000042,51.71
Stockport MBC,Services to People,Childrens & Educational Services,GRO HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,24.06.2015,16.08.2015,GPC07150000043,-27.75
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS RETAIL GROUP,Care Payments,Social Community Care Supplies & Services  ,29.07.2015,16.08.2015,GPC07150000044,151.79
Stockport MBC,Services to People,Childrens & Educational Services,TESCO DIRECT,Care Payments,Social Community Care Supplies & Services  ,29.07.2015,16.08.2015,GPC07150000045,52.30
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS RETAIL GROUP,Care Payments,Social Community Care Supplies & Services  ,30.07.2015,16.08.2015,GPC07150000046,188.74
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS RETAIL GROUP,Care Payments,Social Community Care Supplies & Services  ,30.07.2015,16.08.2015,GPC07150000047,103.74
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS RETAIL GROUP,Care Payments,Social Community Care Supplies & Services  ,30.07.2015,16.08.2015,GPC07150000048,49.79
Stockport MBC,Services to People,Childrens & Educational Services,HEATON CHAPEL SST,Travelling Expenses,Human Resources Travel & Subsistence ,09.07.2015,16.08.2015,GPC07150000049,2.50
Stockport MBC,Services to People,Childrens & Educational Services,TFGM METROLINK,Travelling Expenses,Human Resources Travel & Subsistence ,10.07.2015,16.08.2015,GPC07150000050,1.20
Stockport MBC,Services to People,Childrens & Educational Services,NCP LTD,Travelling Expenses,Human Resources Travel & Subsistence ,13.07.2015,16.08.2015,GPC07150000051,9.00
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,21.07.2015,16.08.2015,GPC07150000052,16.00
Stockport MBC,Services to People,Childrens & Educational Services,VIRGINTRAINS.CO.UK,Travelling Expenses,Human Resources Travel & Subsistence ,09.07.2015,16.08.2015,GPC07150000053,310.00
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,06.07.2015,16.08.2015,GPC07150000054,39.55
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,07.07.2015,16.08.2015,GPC07150000055,3.83
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,13.07.2015,16.08.2015,GPC07150000056,77.56
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,13.07.2015,16.08.2015,GPC07150000057,17.99
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,14.07.2015,16.08.2015,GPC07150000058,7.98
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,14.07.2015,16.08.2015,GPC07150000059,8.43
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Office Expenses,Mail Services   ,14.07.2015,16.08.2015,GPC07150000060,139.20
Stockport MBC,Corporate and Support Services,Cultural & Related Services,Amazon UK Retail,Library Equipment,Education Library Books ,02.07.2015,16.08.2015,GPC07150000061,21.99
Stockport MBC,Corporate and Support Services,Cultural & Related Services,WWW.COOMBER.CO.UK,Library Equipment,Education Library Books ,03.07.2015,16.08.2015,GPC07150000062,85.20
Stockport MBC,Corporate and Support Services,Cultural & Related Services,Amazon UK Marketplace,Library Equipment,Education Library Books ,06.07.2015,16.08.2015,GPC07150000063,3.93
Stockport MBC,Corporate and Support Services,Cultural & Related Services,Amazon UK Retail,Library Equipment,Education Library Books ,06.07.2015,16.08.2015,GPC07150000064,17.24
Stockport MBC,Corporate and Support Services,Cultural & Related Services,Amazon UK Retail,Library Equipment,Education Library Books ,07.07.2015,16.08.2015,GPC07150000065,10.12
Stockport MBC,Corporate and Support Services,Cultural & Related Services,Amazon UK Marketplace,Library Equipment,Education Library Books ,08.07.2015,16.08.2015,GPC07150000066,10.43
Stockport MBC,Corporate and Support Services,Cultural & Related Services,Amazon UK Marketplace,Library Equipment,Education Library Books ,09.07.2015,16.08.2015,GPC07150000067,14.96
Stockport MBC,Corporate and Support Services,Cultural & Related Services,Amazon Svcs EuropeSAR,Library Equipment,Education Library Books ,10.07.2015,16.08.2015,GPC07150000068,22.71
