post_date,Category,Spend,Number of Transactions
03/11/2014,Travel/Airlines, £(580.90),1
03/11/2014,Hotels, £570.59 ,1
03/11/2014,Hotels, £578.84 ,1
03/11/2014,Hotels, £525.76 ,1
03/11/2014,Hotels," £1,276.53 ",1
03/11/2014,Hotels," £2,712.06 ",1
03/11/2014,Hotels, £836.04 ,1
03/11/2014,Hotels, £502.72 ,1
03/11/2014,Hotels, £696.00 ,1
03/11/2014,Travel/Airlines," £1,761.66 ",1
03/11/2014,Hotels," £1,576.90 ",1
03/11/2014,Hotels," £1,664.05 ",1
03/11/2014,Hotels, £552.51 ,1
03/11/2014,Hotels, £865.01 ,1
03/11/2014,Hotels, £537.65 ,1
03/11/2014,Hotels," £2,639.70 ",1
03/11/2014,Metal Service Centers, £721.96 ,1
03/11/2014,Electrical Parts/Equipment," £1,259.94 ",1
03/11/2014,Catalog Merchant," £(3,703.65)",1
03/11/2014,Catalog Merchant," £(4,943.50)",1
03/11/2014,Architectural/Eng/Survey," £1,083.60 ",1
03/11/2014,Automotive Parts Stores," £1,446.75 ",1
03/11/2014,Hotels," £3,460.96 ",1
03/11/2014,Travel/Airlines," £5,755.16 ",1
03/11/2014,Hotels," £3,246.58 ",1
03/11/2014,Hotels," £1,590.92 ",1
03/11/2014,Hotels, £682.39 ,1
03/11/2014,Travel/Airlines," £1,948.81 ",1
03/11/2014,Travel/Airlines," £1,948.81 ",1
03/11/2014,Travel/Airlines, £784.00 ,1
03/11/2014,Travel/Airlines, £534.40 ,1
03/11/2014,Travel/Airlines, £670.98 ,1
03/11/2014,Travel/Airlines, £846.78 ,1
03/11/2014,Travel/Airlines, £846.78 ,1
03/11/2014,Travel/Airlines," £1,668.90 ",1
03/11/2014,Travel/Airlines, £584.38 ,1
03/11/2014,Travel/Airlines," £1,354.90 ",1
03/11/2014,Travel/Airlines," £1,352.66 ",1
03/11/2014,Travel/Airlines, £824.90 ,1
03/11/2014,Hotels," £3,120.10 ",1
03/11/2014,Hotels," £3,588.24 ",1
04/11/2014,Electrical Parts/Equipment," £1,589.57 ",1
04/11/2014,Travel/Airlines," £2,497.97 ",1
04/11/2014,Travel/Airlines," £1,946.21 ",1
