Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount,Text,Postcode
Department For Transport,Highways Agency,01/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,JACOBS ENGINEERING UK LIMITED,B1372111/002/BM,-2010.59,ASSET DST - PAVEMENT AND DRAINAGE DATA REFRESH - TO 30/07/10,G2 7HX
Department For Transport,Highways Agency,01/07/2012,Contractors Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,527565,4473.88,Work in June 2012 (#4473.88),NE11 0RU
Department For Transport,Highways Agency,01/07/2012,Contractors Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,527566,1481.58,Work in June 2012 (#1481.58),NE11 0RU
Department For Transport,Highways Agency,01/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,APC13237,86832.35,4079623 AC Invoice,BS32 4SR
Department For Transport,Highways Agency,01/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,MAY GURNEY LTD,13974,32634.29,03,NR14 8SZ
Department For Transport,Highways Agency,01/07/2012,Lands Costs,MAJOR PROJECTS,MOUCHEL LIMITED,LOMD238292,1705.75,HAL66666642//90107091,OL1 9LH
Department For Transport,Highways Agency,01/07/2012,Retentions > 1 Year,NETWORK DELIVERY & DEVELOPMENT,MAY GURNEY LTD,13974,2869.75,03,NR14 8SZ
Department For Transport,Highways Agency,01/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD238288,8482,00004511XXXXX,CF10 5BT
Department For Transport,Highways Agency,01/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,TREASURY SOLICITOR,LOMD238299,1443,HAL00004516/XXXXX/119635/119733,WC2B 4TS
Department For Transport,Highways Agency,01/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,APC13237,252726.55,4079623 AC Invoice,BS32 4SR
Department For Transport,Highways Agency,02/07/2012,CM - Compounds Maintenance,NETWORK DELIVERY & DEVELOPMENT,COMPUTACENTER (UK) LTD,527589,3048.56,CCN-015 - Hindhead Tunnel - Quarterly Managed Service Charge,AL10 9TW
Department For Transport,Highways Agency,02/07/2012,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,5841.5,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527573,36778.87,Apps and Certs Receipt - APC24913,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527574,683724.6,Apps and Certs Receipt - APC24909,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),526131,-3856.07,Apps and Certs Receipt - APC23156,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527569,1550.56,Apps and Certs Receipt - APC25093,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527570,618.68,Apps and Certs Receipt - APC24997,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,197.79,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,3865.76,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,4928.02,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,6778.97,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,9593.8,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,253125.71,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,60621.07,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,139039.57,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,771.86,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,1605.58,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,BRITISH WATERWAYS,527567,13813.8,,LS9 8PB
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,GLOUCESTER HARBOUR TRUSTEES,527633,4436.58,Apps and Certs Receipt - APC24915,GL13 9UD
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,GLOUCESTER HARBOUR TRUSTEES,527634,10165.41,Apps and Certs Receipt - APC24915,GL13 9UD
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,519283,-1538.73,National Strategic Salt invoice - work completed to 20/01/2012,NE11 0RU
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,527625,14419.43,National Strategic Salt Support - work completed in June 2012,NE11 0RU
