"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate","1","Band 1","53000","67000","Head of Department","1.00","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate","1","Band 3","35000","43000","Head of Section","2.00","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate","1","Band 4","29000","36000","Head of Section","2.00","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate","1","Band 5","24000","30000","Team Manager","8.00","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate","1","Band 6","20000","24000","Team Supervisor","17.75","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate","1","Band 7","17000","21000","Assistant","102.75","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Collections & Learning","2","Band 0","","","Head of Collection","5.81","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Collections & Learning","2","Band 1","53000","67000","Head of Department","3.81","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Collections & Learning","2","Band 2","43000","53000","Various","22.01","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Collections & Learning","2","Band 3","35000","43000","Various","18.11","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Collections & Learning","2","Band 4","29000","36000","Various","52.61","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Collections & Learning","2","Band 5","24000","30000","Various","41.17","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Collections & Learning","2","Band 6","20000","24000","Various","75.25","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Collections & Learning","2","Band 7","17000","21000","Assistant","14.13","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Projects, Design & Estate","4","Band 1","53000","67000","Head of Department","4.89","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Projects, Design & Estate","4","Band 2","43000","53000","Head of Section","7.00","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Projects, Design & Estate","4","Band 3","35000","43000","Various","8.13","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Projects, Design & Estate","4","Band 4","29000","36000","Various","45.97","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Projects, Design & Estate","4","Band 5","24000","30000","Various","37.72","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Projects, Design & Estate","4","Band 6","20000","24000","Various","42.04","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Projects, Design & Estate","4","Band 7","17000","21000","Assistant","1.00","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Public Affairs","6","Band 1","53000","67000","Head of Department","1.00","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Public Affairs","6","Band 2","43000","53000","Head of Section","2.40","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Public Affairs","6","Band 3","35000","43000","Various","5.41","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Public Affairs","6","Band 4","29000","36000","Various","19.24","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Public Affairs","6","Band 5","24000","30000","Various","21.91","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Public Affairs","6","Band 6","20000","24000","Various","26.61","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Public Affairs","6","Band 7","17000","21000","Assistant","1.00","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate, Finance & Resources","7","Band 1","53000","67000","Head of Department","2.00","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate, Finance & Resources","7","Band 2","43000","53000","Head of Section","4.41","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate, Finance & Resources","7","Band 3","35000","43000","Various","3.00","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate, Finance & Resources","7","Band 4","29000","36000","Various","16.41","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate, Finance & Resources","7","Band 5","24000","30000","Various","15.40","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate, Finance & Resources","7","Band 6","20000","24000","Various","11.47","Operational Delivery"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate, Finance & Resources","7","Band 7","17000","21000","Assistant","1.00","Operational Delivery"
