post_date,Category,Spend,,
01/04/13,Hotels,996.36,,
01/04/13,Hotels,2896.18,,
01/04/13,Hotels,1972.99,,
01/04/13,Hotels,2098.70,,
01/04/13,Hotels,1344.74,,
01/04/13,Hotels,1215.32,,
01/04/13,Hotels,2620.78,,
01/04/13,Hotels,2620.78,,
01/04/13,Travel/Airlines,1208.29,,
01/04/13,Travel/Airlines,1704.95,,
01/04/13,Travel/Airlines,676.95,,
01/04/13,Travel/Airlines,913.15,,
01/04/13,Travel/Airlines,530.40,,
02/04/13,Hotels,1625.12,,
02/04/13,Hotels,3510.63,,
02/04/13,Hotels,2300.12,,
02/04/13,Hotels,3573.44,,
02/04/13,Hotels,1390.84,,
02/04/13,Travel/Airlines,4025.00,,
03/04/13,Electrical Parts/Equipment,838.35,,
03/04/13,Hotels,540.08,,
03/04/13,Hotels,2569.88,,
03/04/13,Hotels,2667.44,,
03/04/13,Hotels,1058.86,,
03/04/13,Hotels,2569.88,,
03/04/13,Hotels,2926.15,,
03/04/13,Hotels,3109.21,,
03/04/13,Hotels,3076.80,,
03/04/13,Hotels,3133.30,,
03/04/13,Hotels,518.34,,
03/04/13,Hotels,3093.30,,
03/04/13,Hotels,1054.65,,
03/04/13,Hotels,3137.89,,
03/04/13,Hotels,3082.59,,
03/04/13,Travel/Airlines,1666.30,,
03/04/13,Travel/Airlines,2288.88,,
04/04/13,Computers/Peripherals/Software,587.78,,
04/04/13,Electrical Parts/Equipment,929.08,,
04/04/13,Hotels,1362.05,,
04/04/13,Hotels,1745.39,,
04/04/13,Hotels,1832.67,,
04/04/13,Industrial Supplies,566.03,,
04/04/13,Training,700.80,,
04/04/13,Training,1990.40,,
04/04/13,Training,1990.40,,
04/04/13,Training,1990.40,,
04/04/13,Travel/Airlines,521.70,,
04/04/13,Travel/Airlines,521.70,,
04/04/13,Travel/Airlines,521.70,,
04/04/13,Travel/Airlines,521.70,,
04/04/13,Travel/Airlines,521.70,,
04/04/13,Travel/Airlines,521.70,,
04/04/13,Travel/Airlines,581.37,,
04/04/13,Travel/Airlines,-2259.24,,
04/04/13,Travel/Airlines,-2806.19,,
04/04/13,Travel/Airlines,509.70,,
04/04/13,Travel/Airlines,521.70,,
04/04/13,Travel/Airlines,521.70,,
