Department Family,Entity,Transaction Date,Name,Description,Description,Description,Transaction Reference,Base Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,24 HOUR SUBSISTENCE ALLOWANCE,BOARD,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000193500,13.29
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,5 HRS + SUBSISTENCE,BOARD,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000193506,1.87
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,HOTEL ACCOMMODATION,BOARD,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000193066,78.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,HOTEL ACCOMMODATION,BOARD,TRAVEL&EVENTS-HOTELS,STAFF EXPENSES CONTROL,0000193500,75.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000193500,31.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000193506,91.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,FARES - PUBLIC TRANSPORT,BOARD,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000193500,3.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,FARES - PUBLIC TRANSPORT,BOARD,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000193506,28.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,INCIDENTALS,BOARD,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000193506,7.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,MEETINGS,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193382,20.50
