CABINET OFFICE ,,,,,,,,,
Total departmental spending 2007-08 to 2015-16,,,,,,,,,
,,,,,,,,,£0
,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
,Outturn,Outturn,Outturn,Outturn,Outturn,Outturn,Outturn,Plans,Plans
Resource DEL,,,,,,,,,
"Support to the Cabinet, the PM & the Deputy PM",-,-,-,-,"65,978","61,096","57,691","83,497","42,646"
Political & Constitutional Reform,"9,047","9,499","9,499","6,414","10,830","9,958","20,629","70,092","25,445"
National Security,-,-,-,-,"52,011","44,472","29,076","20,100","12,824"
Efficiency and Reform,"130,325","179,155","207,716","178,910","252,992","210,665","93,015","48,081","9,321"
Government Innovation Group,-,-,-,-,-,"5,285","170,092","225,508","194,865"
Transactional Shared Services,-,-,-,-,-,-,565,-,-
Hosted Functions,"2,726","2,748","2,620","2,175","1,286","1,340","1,152","1,150",767
Corporate Services Group,"225,014","249,827","193,485","208,460","62,546","77,727","36,535","67,020","62,328"
Civil Service Capability,-,-,-,-,-,-,-,"7,392","7,392"
Pensions,-,-,-,-,-,-,-,"6,000","6,000"
eNDPBs (NET),-,-,-,-,"1,313","1,442","1,794","1,887","1,803"
Consolidated Fund Standing Services (CFSS),"15,929","6,941","100,023","104,397","1,849","1,831","1,826","121,100",-
Total Resource DEL,"383,041","448,170","513,343","500,356","448,805","413,816","412,375","651,827","363,391"
Of which:,,,,,,,,,
 Staff costs ,"129,665","138,090","146,484","150,867","163,777","138,680","170,212","131,000","99,473"
 Purchase of goods and services ,"202,349","212,894","270,502","252,216","217,245","231,323","291,022","396,620","126,590"
 Income from sales of goods and services ,"-89,724","-96,443","-88,423","-73,576","-127,805","-91,190","-183,910","-100,539","-100,029"
 Current grants to local government (net) ,"1,744","1,677","1,915",613,92,962,"8,363","37,476","18,000"
 Current grants to persons and non-profit bodies (net) ,"122,105","136,470","154,100","136,142","177,105","103,908","109,921","160,684","191,000"
 Subsidies to private sector companies ,-, - , - , - ,"6,282", - , - , - , - 
 Rentals ,"12,488","15,605","11,737","20,122","17,863","31,581","12,857","13,091","13,091"
 Depreciation 1 ,"9,451","35,516","10,514","10,565","8,122","11,241","13,253","15,000","15,266"
 Other resource ,"-5,037","4,361","6,514","3,407","-13,876","-12,689","-9,343","-1,505", -   
 ,,,,,,,,,
Resource AME,,,,,,,,,
Corporate Services Group (AME),"-2,039","-1,152","6,049",67,"5,119","-35,479","-4,080","4,942","5,000"
Total Resource AME,"-2,039","-1,152","6,049",67,"5,119","-35,479","-4,080","4,942","5,000"
Of which:,,,,,,,,,
Staff costs,-,-,-,-,2,-,-,-,-
Rentals,-,-,-,-,-,-,1,-,-
Depreciation 1,-,-,"6,845",895,"1,587",988,317,"6,254","5,000"
Take up of provisions,568,"1,600","1,635",757,"13,022",-840,"-3,057",-,-
Release of provision,"-2,720","-3,875","-2,432","-2,543","-9,445","-4,062","-1,424","-1,312",-
Other resource,113,"1,123",1,958,-47,"-31,565",83,-,-
Total Resource Budget,"381,002","447,018","519,392","500,423","453,924","378,337","408,295","656,769","368,391"
Of which:,,,,,,,,,
Depreciation 1,"9,451","35,516","17,359","11,460","9,709","12,229","13,570","21,254","20,266"
 ,,,,,,,,,
Capital DEL,,,,,,,,,
"Support to the Cabinet, the PM & the Deputy PM",-,-,-,-,"1,604","1,798","1,476","2,000",-
Political & Constitutional Reform,-,-,-,-,-,"2,290","6,567",-,-
National Security,-,-,-,-,"-1,832",-40,975,-,-
Efficiency and Reform,"16,963","30,608","94,053","75,742","12,335","4,431","4,547",-,-
Government Innovation Group,-,-,-,-,-,-,"12,080","10,000",-
Corporate Services Group,"17,307","10,666","9,852","11,505","5,334","6,575","17,228","8,500","14,600"
Total Capital DEL,"34,270","41,274","103,905","87,247","17,441","15,054","42,873","20,500","14,600"
Of which:,,,,,,,,,
Capital support for local government (net),"5,268","13,293","12,191","7,102",-,-20,"4,914",-,-
Capital grants to persons & non-profit bodies (net),"16,813","22,871","53,631","38,206",-,"-8,084",-3,-,-
Capital grants to private sector companies (net),-,-,"22,434","23,208","10,840","7,963","10,887","10,000",-
Purchase of assets,"18,986","10,648","15,486","13,507","8,552","14,887","26,528","10,500","14,600"
Income from sales of assets,-64,-10,"-5,479",-,-134,"-44,261",-2,-,-
Net lending to the private sector and abroad,-22,-28,642,224,58,424,549,-,-
Other capital,"-6,711","-5,500","5,000","5,000","-1,875","44,145",-,-,-
Total Capital Budget,"34,270","41,274","103,905","87,247","17,441","15,054","42,873","20,500","14,600"
 ,,,,,,,,,
Total departmental spending 3,"405,821","452,776","605,938","576,210","461,656","381,162","437,598","656,015","362,725"
Of which: ,,,,,,,,,
Total DEL,"407,860","453,928","606,734","577,038","458,124","417,629","441,995","657,327","362,725"
Total AME,"-2,039","-1,152",-796,-828,"3,532","-36,467","-4,397","-1,312",-
,,,,,,,,,
1 Includes impairments,,,,,,,,,
"2 Pension schemes report under FRS 17 accounting requirements.  These figures therefore include cash payments made and contributions received, as well as certain non-cash items",,,,,,,,,
,,,,,,,,,
"3 Total departmental spending is the sum of the resource budget and the capital budget less depreciation. Similarly, total DEL is the sum of the resource budget DEL and capital budget DEL less depreciation in DEL, and total AME is the sum of resource budget AME and capital budget AME less depreciation in AME.",,,,,,,,,
