Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
The National Archives,The National Archives,06/10/2010,Facilities Management,Public Services,ECOVERT FM,55797,"89,528.97"
The National Archives,The National Archives,06/10/2010,IT hardware Additions,Technology,SPECIALIST COMPUTER CENTRES,55810,"25,515.71"
The National Archives,The National Archives,06/10/2010,Minor Maintenance,Public Services,ECOVERT FM,55847,"8,688.00"
The National Archives,The National Archives,06/10/2010,Minor Maintenance,Public Services,ECOVERT FM,55854,"9,221.79"
The National Archives,The National Archives,06/10/2010,Contract cleaning,Public Services,DOUGLAND SUPPORT SERVICES LTD,56041,"20,780.27"
The National Archives,The National Archives,06/10/2010,Microfilming,Customer & Business Development,TRANSMEDIA TECHNOLOGY LIMITED,56046,"30,034.26"
The National Archives,The National Archives,06/10/2010,Minor Maintenance,Public Services,ECOVERT FM,56055,"18,232.93"
The National Archives,The National Archives,06/10/2010,Contractors,Public Services,GARDINER & THEOBALD LLP,56060,"13,500.00"
The National Archives,The National Archives,06/10/2010,Records Storage Space Rental,Public Services,DEEPSTORE LTD,56082,"35,497.62"
The National Archives,The National Archives,06/10/2010,Utilities,Public Services,EDF ENERGY,56142,"71,108.31"
The National Archives,The National Archives,13/10/2010,Minor Furniture,Public Services,HERMAN MILLER LTD,56252,"32,675.89"
The National Archives,The National Archives,13/10/2010,Minor Furniture,Public Services,HERMAN MILLER LTD,56255,"10,442.46"
The National Archives,The National Archives,13/10/2010,Microfilming,Public Services,CAPITA BUSINESS SERVICES LTD,56358,"8,875.75"
The National Archives,The National Archives,13/10/2010,Microfilming,Customer & Business Development,PREVIEW SERVICES LTD,56397,"14,458.34"
The National Archives,The National Archives,13/10/2010,Govt Procurement Card (GPC) purchases,Finance & Performance,ROYAL BANK OF SCOTLAND PLC,56409,"54,883.80"
The National Archives,The National Archives,13/10/2010,Contractors,Technology,UNIVERSITY OF SHEFFIELD,56414,"13,100.43"
The National Archives,The National Archives,20/10/2010,Govt. Dataset Preservation,Technology,SENATE HOUSE SERVICES LTD,56487,"55,062.33"
The National Archives,The National Archives,20/10/2010,Office machinery maintenance,Customer & Business Development,ICAM ARCHIVES SYSTEMS,56529,"11,043.75"
The National Archives,The National Archives,26/10/2010,Telelift additions,Public Services,ECOVERT FM,56593,"29,092.01"
The National Archives,The National Archives,26/10/2010,Telelift additions,Public Services,ECOVERT FM,56595,"50,513.84"
The National Archives,The National Archives,26/10/2010,Telelift additions,Public Services,ECOVERT FM,56597,"12,744.85"
The National Archives,The National Archives,26/10/2010,Kew 1 building additions,Public Services,ECOVERT FM,56600,"119,692.90"
The National Archives,The National Archives,26/10/2010,Minor Maintenance,Public Services,ECOVERT FM,56603,"14,096.22"
The National Archives,The National Archives,26/10/2010,Telelift additions,Public Services,ECOVERT FM,56607,"19,528.50"
The National Archives,The National Archives,26/10/2010,Minor Maintenance,Public Services,ECOVERT FM,56609,"14,226.90"
The National Archives,The National Archives,26/10/2010,Operating Leases Plant & Equip,Public Services,CANON (UK) LTD,56621,"10,520.41"
The National Archives,The National Archives,26/10/2010,Minor IT,Customer & Business Development,SPECIALIST COMPUTER CENTRES,56636,"47,443.88"
The National Archives,The National Archives,26/10/2010,IT Maintenance & Support,Technology,ADAPTAVIST LIMITED,56664,"50,000.00"
The National Archives,The National Archives,26/10/2010,IT Maintenance & Support,Technology,SITE CONFIDENCE LIMITED,56686,"10,800.02"
The National Archives,The National Archives,26/10/2010,IT Maintenance & Support,Technology,CABLE & WIRELESS,56721,"55,038.00"
The National Archives,The National Archives,26/10/2010,Operating Leases Plant & Equip,Technology,CABLE & WIRELESS,56721,"20,637.50"
The National Archives,The National Archives,28/10/2010,IT Systems additions,Customer & Business Development,INTOPIX.SA,56818,"41,802.32"
,,,,,,,
,,,,,,,
