Department Family,Entity,Period,Expense Type,Supplier Name,Transaction number, Amount ,
Department of Health,Harrogate & Rural District CCG,April-14,Hcare Srv Rec NHS Trust,YORKSHIRE AMBULANCE SERVICE NHS TRUST,9292,"-458,586.02 ",
Department of Health,Harrogate & Rural District CCG,May-2014,Hlthcre-Foundation Trsts,YORK TEACHING HOSPITAL NHS FT,90783,"-43,220.39 ",
Department of Health,Harrogate & Rural District CCG,May-2014,Hlthcre-Foundation Trsts,HARROGATE & DISTRICT NHS FOUNDATION TUST,H170032," 25,374.17 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Hcare Srv Rec NHS Trust,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810004802," 28,365.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Hcare Srv Rec Fdtn Trust-Non Contract,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FT,701561," 30,384.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Charges from CSU,NHS NORTH YORKSHIRE & HUMBER CSU,7310101575," 32,036.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Hcare Srv Rec NHS Trust-Non Contract,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210009396," 35,744.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Healthcare Srv Rec CCG,NHS SCARBOROUGH AND RYEDALE CCG,7016100483," 37,536.72 ",1/12th of invoice amount
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,JENNYFIELD HEALTH CENTRE,N/A," 38,295.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Healthcare Srv Rec CCG,NHS SCARBOROUGH AND RYEDALE CCG,7016100487," 43,423.50 ",1/12th of invoice amount
Department of Health,Harrogate & Rural District CCG,June-2014,Healthcare Srv Rec CCG,NHS SCARBOROUGH AND RYEDALE CCG,7016100472," 49,915.17 ",1/12th of invoice amount
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,ST LUKES MEDICAL PRACTICE,N/A," 54,332.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Clinical&Medical-Independent Sector,BMI HEALTHCARE COLLECTIONS,27107," 56,596.74 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,PARK PARADE SURGERY,N/A," 62,278.00 ",
Department of Health,Harrogate & Rural District CCG,March-14,Hlthcre-Foundation Trsts,HARROGATE & DISTRICT NHS FOUNDATION NHS TRUST,H168956," 66,335.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,DR AKESTER & PARTNERS,N/A," 67,367.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,STOCKWELL ROAD SURGERY,N/A," 69,983.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,SPRINGBANK SURGERY,N/A," 73,024.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Hcare Srv Rec NHS Trust,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810004829," 77,396.17 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,KINGSWOOD SURGERY,N/A," 82,541.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,EAST PARADE SURGERY,N/A," 86,899.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,DR FLETCHER & PARTNERS,N/A," 89,148.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,RIPON SPA SURGERY,N/A," 96,536.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Charges from CSU,NHS NORTH YORKSHIRE & HUMBER CSU,7310101586," 104,434.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,CHURCH LANE SURGERY,N/A," 113,611.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,THE SPA SURGERY,N/A," 114,703.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,NIDDERDALE GROUP PRACTICE,N/A," 118,716.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,BEECH HOUSE SURGERY,N/A," 119,335.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,NORTH HOUSE SURGERY,N/A," 132,408.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,THE LEEDS ROAD PRACTICE,N/A," 144,993.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,DR DF BANNATYNE & PARTNERS,N/A," 151,446.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,EASTGATE MEDICAL GROUP,N/A," 152,784.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Healthcare Srv Rec CCG,NHS SCARBOROUGH AND RYEDALE CCG,7016100480," 161,481.22 ",1/12th of invoice amount
Department of Health,Harrogate & Rural District CCG,June-2014,Prescribing,DR YOUNG & PARTNERS,N/A," 175,570.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Healthcare Srv Rec CCG,NHS SCARBOROUGH AND RYEDALE CCG,7016100469," 228,898.10 ",1/12th of invoice amount
Department of Health,Harrogate & Rural District CCG,June-2014,Hlthcre-Foundation Trsts,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,3510011077," 243,584.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Healthcare Srv Rec CCG,NHS SCARBOROUGH AND RYEDALE CCG,7016100471," 283,777.14 ",1/12th of invoice amount
Department of Health,Harrogate & Rural District CCG,June-2014,Hlthcre-Foundation Trsts,YORK TEACHING HOSPITAL NHS FT,1010016442," 368,388.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Hcare Srv Rec NHS Trust,LEEDS TEACHING HOSPITALS NHS TRUST,435476," 435,526.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Hcare Srv Rec NHS Trust,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810004729," 454,449.19 ",
Department of Health,Harrogate & Rural District CCG,April-2014,Hcare Srv Rec NHS Trust,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810004582," 454,449.19 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Healthcare Srv Rec CCG,NHS SCARBOROUGH AND RYEDALE CCG,7016100473," 734,807.18 ",1/12th of invoice amount
Department of Health,Harrogate & Rural District CCG,June-2014,Hlthcre-Foundation Trsts,HARROGATE & DISTRICT NHS FOUNDATION NHS TRUST,H169945," 926,474.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Hlthcre-Foundation Trsts,TEES ESK & WEAR VALLEYS NHS FOUNDATION TRUST,4810002643," 981,270.00 ",
Department of Health,Harrogate & Rural District CCG,June-2014,Hlthcre-Foundation Trsts,HARROGATE & DISTRICT NHS FOUNDATION NHS TRUST,H169952," 6,349,833.00 ",
