"OA11CD","LAD11NM","PM252013me"
"E00024024","Westminster",17.953072993786
"E00023833","Westminster",18.18384437561
"E00023830","Westminster",18.732057694466
"E00023831","Westminster",17.909356902627
"E00024021","Westminster",17.185809373856
"E00023887","Westminster",17.539863953224
"E00023806","Westminster",16.411359541757
"E00023884","Westminster",19.014767763907
"E00023805","Westminster",16.476040546711
"E00023800","Westminster",16.592939909114
"E00023881","Westminster",16.552529544365
"E00024030","Westminster",18.087072338974
"E00023801","Westminster",16.80486424764
"E00023880","Westminster",16.569270638859
"E00023889","Westminster",16.540605262474
"E00023808","Westminster",16.46926006904
"E00175182","Westminster",18.895378420017
"E00175181","Westminster",18.632278869401
"E00023922","Westminster",16.672260807571
"E00023920","Westminster",18.756839370728
"E00023586","Westminster",16.719530741374
"E00023507","Westminster",18.782575520602
"E00023505","Westminster",18.110062416564
"E00023502","Westminster",17.895299021403
"E00023503","Westminster",18.351932959123
"E00023581","Westminster",17.129124248729
"E00023500","Westminster",18.017971550546
"E00023458","Westminster",16.964289665222
"E00023767","Westminster",17.150577432969
"E00023765","Westminster",17.029116694132
"E00024114","Westminster",18.634523948927
"E00024115","Westminster",18.302974081447
"E00024113","Westminster",18.597814348531
"E00175277","Westminster",17.217292331514
"E00175275","Westminster",16.936458315168
"E00023591","Westminster",16.534249305725
"E00023510","Westminster",19.395955844801
"E00023423","Westminster",17.319591249738
"E00023694","Westminster",16.966253376007
"E00023615","Westminster",17.00918037013
"E00175243","Westminster",16.744238989694
"E00175246","Westminster",16.613186015639
"E00023433","Westminster",17.013921172531
"E00023438","Westminster",16.787907512248
"E00023979","Westminster",17.122670915392
"E00024096","Westminster",17.102691901358
"E00024017","Westminster",17.159639994303
"E00024095","Westminster",17.193180597745
"E00024014","Westminster",18.152422955162
"E00024094","Westminster",17.006845560941
"E00024013","Westminster",18.004006249564
"E00024092","Westminster",17.380914512047
"E00024008","Westminster",17.526604223251
"E00024089","Westminster",17.047701729669
"E00175255","Westminster",17.124495656867
"E00023567","Westminster",17.401643532973
"E00023564","Westminster",17.366830896448
"E00023485","Westminster",19.125663121541
"E00023488","Westminster",18.202287165324
"E00023756","Westminster",16.882807215055
"E00023759","Westminster",16.990419038137
"E00023664","Westminster",17.352958859624
"E00023570","Westminster",17.596616533067
"E00023726","Westminster",16.933519363403
"E00023727","Westminster",16.816268666585
"E00023722","Westminster",16.901215076447
"E00023728","Westminster",17.117687340939
"E00023672","Westminster",17.406752480401
"E00023954","Westminster",17.366647720337
"E00024140","Westminster",18.356096150325
"E00023867","Westminster",16.67688481948
"E00023864","Westminster",16.314256344201
"E00023861","Westminster",16.259942934351
"E00175230","Westminster",16.913304589011
"E00175235","Westminster",16.476799329122
"E00023541","Westminster",17.195971171061
"E00023738","Westminster",16.773896657504
"E00024066","Westminster",17.196111406599
"E00023873","Westminster",16.256406519963
"E00024063","Westminster",17.584084070646
"E00024061","Westminster",17.299689194252
"E00023879","Westminster",16.209009215945
"E00024069","Westminster",17.16512135097
"E00175206","Westminster",17.562362843098
"E00023555","Westminster",17.097600213413
"E00023466","Westminster",16.813289745434
"E00023460","Westminster",17.055073056902
"E00023706","Westminster",17.36760411364
"E00023787","Westminster",16.789623461272
"E00023536","Westminster",17.048759020292
"E00175198","Westminster",17.001987669203
"E00023936","Westminster",18.643150934696
"E00024126","Westminster",18.290627752032
"E00024125","Westminster",18.417401177543
"E00023932","Westminster",18.557212791443
"E00023845","Westminster",18.437230349981
"E00024075","Westminster",17.446226407897
"E00023840","Westminster",18.140635580387
"E00024071","Westminster",17.134769888485
"E00175213","Westminster",18.305040157203
"E00175215","Westminster",17.938783416748
"E00023520","Westminster",17.910978577354
"E00023529","Westminster",17.841364111219
"E00023475","Westminster",16.632221301397
"E00023436","Westminster",16.585141161655
"E00023437","Westminster",16.585261973929
"E00023434","Westminster",16.562532816178
"E00023435","Westminster",16.418613173206
"E00023432","Westminster",16.496525433599
"E00023430","Westminster",16.605574925741
"E00023431","Westminster",16.725762452652
"E00023439","Westminster",16.844020195727
"E00023714","Westminster",17.145397361668
"E00023795","Westminster",16.686589943735
"E00023719","Westminster",17.155712274405
"E00023798","Westminster",16.846967379252
"E00023625","Westminster",17.605364557902
"E00023622","Westminster",17.628655590589
"E00023620","Westminster",17.941335750076
"E00023989","Westminster",17.625132602194
"E00023908","Westminster",16.687537193298
"E00024138","Westminster",19.340615764741
"E00024042","Westminster",17.298491939422
"E00023858","Westminster",16.485125882285
"E00023443","Westminster",16.490863147535
"E00023441","Westminster",16.72158617394
"E00023634","Westminster",18.488406939384
"E00023632","Westminster",17.685908037073
"E00024104","Westminster",16.833868629054
"E00023993","Westminster",17.75925453186
"E00023912","Westminster",17.443382324711
"E00024105","Westminster",18.00441001089
"E00023991","Westminster",17.37851079305
"E00023910","Westminster",17.337969480242
"E00024056","Westminster",17.425349148837
"E00024051","Westminster",17.384879636765
"E00024059","Westminster",17.351502675277
"E00023886","Westminster",16.611531307823
"E00024037","Westminster",17.594715390887
"E00023804","Westminster",16.700826938336
"E00023885","Westminster",16.894270405625
"E00024034","Westminster",17.526256332397
"E00023802","Westminster",16.448123356653
"E00023883","Westminster",17.57421253889
"E00024032","Westminster",18.335164010525
"E00023882","Westminster",17.038776434385
"E00023803","Westminster",16.466554457142
"E00024033","Westminster",17.431831533259
"E00024031","Westminster",17.943717479706
"E00024038","Westminster",17.101654561361
"E00023888","Westminster",16.74982501299
"E00023809","Westminster",16.521295468012
"E00024039","Westminster",17.127211634318
"E00023587","Westminster",16.924638584682
"E00023506","Westminster",18.138144302368
"E00023585","Westminster",16.696807929448
"E00023504","Westminster",18.570821344852
"E00023580","Westminster",16.955776868548
"E00023501","Westminster",17.948292160034
"E00023589","Westminster",16.689611752828
"E00023508","Westminster",18.644983246213
"E00023588","Westminster",16.430215526272
"E00023509","Westminster",19.37900913937
"E00023456","Westminster",16.921841394334
"E00023454","Westminster",18.711718218667
"E00023455","Westminster",16.896486181962
"E00023452","Westminster",17.167846143246
"E00023453","Westminster",17.209640185038
"E00023450","Westminster",18.496418361664
"E00023451","Westminster",17.29361014896
"E00023459","Westminster",18.46401797748
"E00023766","Westminster",17.08682208591
"E00023764","Westminster",18.310582572535
"E00023762","Westminster",18.912729277434
"E00023763","Westminster",17.537335101041
"E00023760","Westminster",17.049738645554
"E00023761","Westminster",16.968136879706
"E00023768","Westminster",16.882062339783
"E00023769","Westminster",16.720834459577
"E00023606","Westminster",17.310205136315
"E00023687","Westminster",17.330370457967
"E00023686","Westminster",17.223613739014
"E00023685","Westminster",17.145015487671
"E00023604","Westminster",16.535361711369
"E00023605","Westminster",16.543756451523
"E00023684","Westminster",17.071678426531
"E00023602","Westminster",16.602361373901
"E00023603","Westminster",16.496394239153
"E00023682","Westminster",17.645861421895
"E00023600","Westminster",16.553008226248
"E00023681","Westminster",17.710438554937
"E00023601","Westminster",16.591761447765
"E00023680","Westminster",17.503115091568
"E00023608","Westminster",16.554405848185
"E00023689","Westminster",18.360625401349
"E00023609","Westminster",16.59324319022
"E00023688","Westminster",17.903878036298
"E00024116","Westminster",18.198832855568
"E00024117","Westminster",18.42664703956
"E00024112","Westminster",19.305908028406
"E00024110","Westminster",18.936233229556
"E00024118","Westminster",18.623715508152
"E00024119","Westminster",18.113295369334
"E00023836","Westminster",18.687069998847
"E00023837","Westminster",18.526200064297
"E00024026","Westminster",17.323094290656
"E00023834","Westminster",18.572374140279
"E00023835","Westminster",17.776647763375
"E00023832","Westminster",18.199843129804
"E00024025","Westminster",18.039703256944
"E00024022","Westminster",17.771483329035
"E00024023","Westminster",17.166084210078
"E00024020","Westminster",17.281708399455
"E00023838","Westminster",18.171542915138
"E00023839","Westminster",18.631744794492
"E00024028","Westminster",17.941129019094
"E00024029","Westminster",17.674616872048
"E00175272","Westminster",16.840907703746
"E00175273","Westminster",16.884061086745
"E00175270","Westminster",16.974555751256
"E00175271","Westminster",17.420257886251
"E00175276","Westminster",17.333736882065
"E00175274","Westminster",17.210326963855
"E00175278","Westminster",17.603248101694
"E00175279","Westminster",17.098757008144
"E00023597","Westminster",16.79304258285
"E00023516","Westminster",17.821310910312
"E00023596","Westminster",16.448504747663
"E00023517","Westminster",17.492951273918
"E00023595","Westminster",16.608646725851
"E00023514","Westminster",17.272722977858
"E00023515","Westminster",18.254832518728
"E00023593","Westminster",16.599157577906
"E00023512","Westminster",17.384168624878
"E00023592","Westminster",16.549198593412
"E00023513","Westminster",18.872875094414
"E00023590","Westminster",16.456155240536
"E00023511","Westminster",17.511500358582
"E00023599","Westminster",16.513717333476
"E00023518","Westminster",17.294960163258
"E00023598","Westminster",16.470094144344
"E00023519","Westminster",17.31947583244
"E00023426","Westminster",16.534898327243
"E00023427","Westminster",16.67948328654
"E00023424","Westminster",17.111569722493
"E00023425","Westminster",16.76012840271
"E00023422","Westminster",16.459782953863
"E00023421","Westminster",17.031348500933
"E00023428","Westminster",17.106212550196
"E00023429","Westminster",16.710810805812
"E00023776","Westminster",16.5277583864
"E00023777","Westminster",16.43962987264
"E00023774","Westminster",16.505461973303
"E00023775","Westminster",16.485183379229
"E00023772","Westminster",17.190595984459
"E00023773","Westminster",17.825178963797
"E00023770","Westminster",16.684634167215
"E00023771","Westminster",16.618426322937
"E00023778","Westminster",16.479219089855
"E00023779","Westminster",16.479377428691
"E00023697","Westminster",17.241707194935
"E00023616","Westminster",16.796500877098
"E00023696","Westminster",17.096776839226
"E00023617","Westminster",17.701597349984
"E00023614","Westminster",17.165240605672
"E00023695","Westminster",17.02610262235
"E00023612","Westminster",17.231088603627
"E00023613","Westminster",16.699467159453
"E00023692","Westminster",18.010150023869
"E00023610","Westminster",16.658732449567
"E00023691","Westminster",17.504589012691
"E00023611","Westminster",16.555823040009
"E00023690","Westminster",17.299983342489
"E00023699","Westminster",17.542625390566
"E00023618","Westminster",17.83532379247
"E00023698","Westminster",17.118999827992
"E00023619","Westminster",18.651248998809
"E00023966","Westminster",17.408425262996
"E00023967","Westminster",17.4524716829
"E00023964","Westminster",17.209794807434
"E00023965","Westminster",17.161088648297
"E00023963","Westminster",17.452292955839
"E00023960","Westminster",19.609783346003
"E00023968","Westminster",17.16461798724
"E00023969","Westminster",17.29408047994
"E00024036","Westminster",17.438650131226
"E00023807","Westminster",16.474866526467
"E00175242","Westminster",16.629619805709
"E00175240","Westminster",17.393424841074
"E00175241","Westminster",17.57497622172
"E00175247","Westminster",16.793167877197
"E00175244","Westminster",17.037320588764
"E00175245","Westminster",16.806761741638
"E00175248","Westminster",17.600453489289
"E00175249","Westminster",17.918246424847
"E00023746","Westminster",17.13178945723
"E00023747","Westminster",17.435793169083
"E00023744","Westminster",16.666451084371
"E00023745","Westminster",16.895298593695
"E00023740","Westminster",16.893048084143
"E00023741","Westminster",16.849519056432
"E00023666","Westminster",17.179683760593
"E00023665","Westminster",17.561859597965
"E00023662","Westminster",17.523886451238
"E00023663","Westminster",17.387807444522
"E00023720","Westminster",16.877137986441
"E00023721","Westminster",16.893333284478
"E00023729","Westminster",16.997728424072
"E00023477","Westminster",17.000518128679
"E00023474","Westminster",16.911994934082
"E00023472","Westminster",16.692447582881
"E00023473","Westminster",17.185142185377
"E00023470","Westminster",16.820258049738
"E00023471","Westminster",16.683689777668
"E00023478","Westminster",17.202304488734
"E00023479","Westminster",16.797380506992
"E00023748","Westminster",16.706523577372
"E00023749","Westminster",17.158247846238
"E00023976","Westminster",18.099924502165
"E00023977","Westminster",17.455646514893
"E00023974","Westminster",17.123674884919
"E00023975","Westminster",18.424366144034
"E00023972","Westminster",18.619294696384
"E00023973","Westminster",18.083967158669
"E00023971","Westminster",17.332547664642
"E00023978","Westminster",17.261864575473
"E00023897","Westminster",17.136332231409
"E00023816","Westminster",18.401477596977
"E00024006","Westminster",18.28189253038
"E00024087","Westminster",16.629581875271
"E00023817","Westminster",19.271915984876
"E00023896","Westminster",17.197013754594
"E00024007","Westminster",17.455912472909
"E00024086","Westminster",16.900772525418
"E00023814","Westminster",18.088535969074
"E00023895","Westminster",16.765078735352
"E00024085","Westminster",16.790735672931
"E00024004","Westminster",17.383875294736
"E00023815","Westminster",17.873836421967
"E00023894","Westminster",16.757177776761
"E00024005","Westminster",17.574656118754
"E00024084","Westminster",16.695933846866
"E00023812","Westminster",18.527953863144
"E00023893","Westminster",16.621600068134
"E00024083","Westminster",16.920583922288
"E00024002","Westminster",17.495344574387
"E00023813","Westminster",19.177521053113
"E00023892","Westminster",16.738674530616
"E00023891","Westminster",16.823713555056
"E00023810","Westminster",16.475862010833
"E00024081","Westminster",17.326401270353
"E00023890","Westminster",16.751033496857
"E00023811","Westminster",19.435913162231
"E00024080","Westminster",18.034016999622
"E00024001","Westminster",17.31400782519
"E00023899","Westminster",17.512774812224
"E00023818","Westminster",19.435653092726
"E00023898","Westminster",16.823142557728
"E00023819","Westminster",18.446224192137
"E00024088","Westminster",17.112039248149
"E00024009","Westminster",17.200723375593
"E00175252","Westminster",17.265055824729
"E00175253","Westminster",17.796754632677
"E00175250","Westminster",16.934246412791
"E00175251","Westminster",17.166686557588
"E00175256","Westminster",17.117912530899
"E00175257","Westminster",17.488846029554
"E00175254","Westminster",17.62708568573
"E00175258","Westminster",17.780600229899
"E00175259","Westminster",16.838737533206
"E00023566","Westminster",16.916085457315
"E00023565","Westminster",16.865041662146
"E00023562","Westminster",17.410091188219
"E00023560","Westminster",17.46526870212
"E00023561","Westminster",17.93553763628
"E00023569","Westminster",16.988102216978
"E00023487","Westminster",19.408070585463
"E00023486","Westminster",17.864480532133
"E00023484","Westminster",17.214337853824
"E00023483","Westminster",19.152112887456
"E00023482","Westminster",16.758798159086
"E00023481","Westminster",16.77387341586
"E00023480","Westminster",16.761468744278
"E00023489","Westminster",18.021454048157
"E00023757","Westminster",17.713973164558
"E00023754","Westminster",17.675723825182
"E00023755","Westminster",17.315528666719
"E00023752","Westminster",16.765176023756
"E00023753","Westminster",16.849217624199
"E00023750","Westminster",16.643040884109
"E00023751","Westminster",17.593918514252
"E00023758","Westminster",17.28926082827
"E00023660","Westminster",17.487505282996
"E00023661","Westminster",17.731426935347
"E00023668","Westminster",19.609934151173
"E00023669","Westminster",18.023849623544
"E00023946","Westminster",18.406395778755
"E00023947","Westminster",17.78947509065
"E00023944","Westminster",17.616871697562
"E00023945","Westminster",18.445419905441
"E00023942","Westminster",17.960879809236
"E00023943","Westminster",17.763402399027
"E00023941","Westminster",17.868094453717
"E00023948","Westminster",17.976111241749
"E00023949","Westminster",17.633159637451
"E00024097","Westminster",16.712021495985
"E00024016","Westminster",17.188863436381
"E00024012","Westminster",17.160892486572
"E00024093","Westminster",17.009035905202
"E00024091","Westminster",16.747066049015
"E00024010","Westminster",17.233334132603
"E00024090","Westminster",16.90806388855
"E00024011","Westminster",17.255912144979
"E00024099","Westminster",16.683811460223
"E00024018","Westminster",17.154653390249
"E00024098","Westminster",17.840796760891
"E00024019","Westminster",17.250436782837
"E00175222","Westminster",17.342864871025
"E00175223","Westminster",16.936433390567
"E00175220","Westminster",17.227504094442
"E00175221","Westminster",17.205783963203
"E00175226","Westminster",17.869830224488
"E00175227","Westminster",17.341255701505
"E00175224","Westminster",17.029546260834
"E00175225","Westminster",17.047399184283
"E00175228","Westminster",17.547692192925
"E00175229","Westminster",17.373711164608
"E00023576","Westminster",17.222441927592
"E00023577","Westminster",19.051245117187
"E00023574","Westminster",17.074572443962
"E00023575","Westminster",17.907934947447
"E00023572","Westminster",18.81980826215
