Body,Body Name,Posting Date,Transaction number,Amount,Supplier name,Supplier ID,Service Area,Expense Type,Expense Code,Type
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,06/02/2013,20086561,"1,413.43 ",Andersons Solicitors,10051,Democratic Services,Legal Fees,4408,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/02/2013,20086761,"1,253.14 ",APSE,10065,Parks & Recreation,Consultancy Services,4403,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,07/02/2013,20086585,701.00 ,ASA Awards,10081,Ashbourne Leisure Centre,Purchases of Items for Resale,4063,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,26/02/2013,20086833,"9,455.00 ",Bakewell Show Ltd,10138,Car Parking,Rents,2301,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,07/02/2013,20086586,598.00 ,Bolsover District Council,10210,Customer Services,Software Maintenance & Support,4512,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006590,"11,210.28 ",British Telecom PLC,10252,Arc Leisure Matlock,Telephone Rental and Charges,4502,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006590,"2,082.40 ",British Telecom PLC,10252,Information Technology,Telephone Leased Lines & Broadband,4542,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,04/02/2013,20086495,"4,515.00 ",Browne Jacobson Solicitors LLP client a/c,10264,Democratic Services,Legal Fees,4408,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/02/2013,20086778,"4,935.24 ",Capita Business Services Ltd,10303,Housing & Council Tax Benefits,Books and Publications,4312,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/02/2013,20086772,"9,978.91 ",Competition Line (U.K.) Ltd,10380,Ashbourne Leisure Centre,Competition Line - Gym Fees,4834,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,27/02/2013,20086867,581.50 ,Derwent Treescapes Limited,10469,Ashbourne Market,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,06/02/2013,20086563,"4,552.00 ",Derwent Treescapes Limited,10469,Parks & Recreation,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/02/2013,20086913,"1,239.00 ",Derwent Treescapes Limited,10469,Parks & Recreation,General Expenses,4899,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"-9,632.47 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"-9,632.47 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"-3,415.68 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"-3,415.68 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,598.13 ,Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,910.67 ,Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,910.67 ,Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,910.67 ,Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"1,310.43 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"1,310.43 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"1,575.34 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"1,575.34 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"1,855.12 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"1,855.12 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"2,523.32 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"2,523.32 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"4,270.82 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"4,270.82 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"6,520.66 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"6,520.66 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"7,267.75 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086686,"7,267.75 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,07/02/2013,20086588,653.94 ,Derbyshire County Council,10506,Conservation - Historic Buildings,Historic Environment Record,4803,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,05/02/2013,20086536,"2,217.50 ",Derbyshire County Council,10507,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086692,"2,785.18 ",Derbyshire County Council,10507,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/02/2013,20086892,511.71 ,Hitch N Hike Ltd,10790,Wirksworth Leisure Centre,Purchase of Equipment - General,4000,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086696,"1,200.00 ",Industrial Wholesale Supplies,10864,Public Conveniences - Cleansing,Purchase of Materials - General,4040,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/02/2013,20086696,848.20 ,Industrial Wholesale Supplies,10864,Public Conveniences - Cleansing,Chemicals,4044,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/02/2013,20086763,533.54 ,T.L. Killi's & Sons Ltd,10893,Arc Leisure Matlock,Cleaning Materials,2701,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,20086660,921.73 ,Konica Minolta Business Solutions East Ltd,10908,Reprographics & Mail,Photocopier Charges,4305,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/02/2013,20086896,649.94 ,Matlock Electrical Services,11015,Public Properties - General,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/02/2013,30006714,"1,309.00 ",Network Rail,11160,Car Parking,Rents,2301,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,04/02/2013,20086501,920.12 ,North East Derbyshire District Council,11174,Information Technology,Computer Equipment from ICT Reserve,4530,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,04/02/2013,20086501,"3,265.00 ",North East Derbyshire District Council,11174,Information Technology,Computer Equipment from ICT Reserve,4530,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,04/02/2013,20086501,"14,874.19 ",North East Derbyshire District Council,11174,Information Technology,Computer Equipment from ICT Reserve,4530,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,04/02/2013,20086501,"1,000.00 ",North East Derbyshire District Council,11174,Information Technology,Maintenance of Computer Equipment,4532,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,27/02/2013,20086870,"1,400.00 ",Nottingham Trent University,11186,Training,Post Entry Training Course Fees,1483,Revenue
