Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,02/09/2010,Postal Serv: Dx Service,Corporate Resources,Dx Network Services Ltd,117694,"50,653.16",Payments relating to postal/courier services
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,08/09/2010,Solicitor Agents Fees,Litigation Division,Colliers Conrad Ritblat Erdman,117797,"123,590.03",Payment relating to rent and service charges
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,08/09/2010,Library: On-Line Service,Corporate Resources,Sweet & Maxwell Ltd,117816,"102,597.48","Payment relating to provision of electronic legal information services to government departments, by subscription"
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,10/09/2010,Accommodation: Rent,Corporate Resources,Civil Aviation Authority,117912,"323,456.82",Payment of rent 
HM Procurator General and Treasury Solicitor,HM Crown Prosecution Service Inspectorate,10/09/2010,Accommodation: Rent,Crown Prosecution Service Insp,Drivers Jonas Deloitte,19525,"44,500.00",Payment of rent  
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,13/09/2010,Accommodation: Rent,Corporate Resources,Civil Aviation Authority,117953,"1,030,672.39",Payment of rent  
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,14/09/2010,Counsel Fees,Litigation Division,Mr Rory Phillips Q.C.,437890,"25,403.52",Payment to Counsel
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,16/09/2010,Law Stationers/Copy Documents,Litigation Division,Legastat Ltd,438385,"81,498.16",Payment for specialist legal copying service
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,20/09/2010,Solicitor's Agents Fees,Litigation Division,Kingsley Napley,438767,"77,880.59",Payment to a local solicitor 
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,20/09/2010,Fixed Assets: Acquisitions,Corporate Resources,FWBS Limited,117913,"40,449.38",Payments relating to the implementation of our new Case Management System
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,21/09/2010,Counsel Fees,Litigation Division,Mr Jonathan Glasson,439253,"36,448.36",Payment to Counsel
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,24/09/2010,Training: SCS,Corporate Resources,National School Of Government,118234,"31,222.00",Payment relating to training for Senior Civil Servants
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,28/09/2010,Accommodation: Rates,Corporate Resources,Camden NDR,113069,"126,073.00",Payment of business rates 
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,28/09/2010,Professional Programme and Technical Services,Litigation Division,FWBS Limited,118152,"44,591.25",Payments relating to the implementation of our new Case Management System
HM Procurator General and Treasury Solicitor,Attorney General's Office,28/09/2010,Maintenance: Accommodation,Attorney General's Office,Amey Mechanical & Electrical Services Ltd,22005,"40,429.40",Payment relating to mechanical and electrical maintenance
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,29/09/2010,Fixed Assets: Acquisitions,Corporate Resources,Systemax Europe Limited Trading as MISCO,118333,"52,780.30",Payment relating to building fit out costs
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,29/09/2010,Counsel Fees,Litigation Division,Mr Ian Glick,440499,"41,565.65",Payment to Counsel
HM Procurator General and Treasury Solicitor,Treasury Solicitor's Department Agency,29/09/2010,Solicitor's Agents Fees,Litigation Division,Kennedys,440096,"34,176.41",Payment to a local solicitor 
