Asset _Number,Asset_Details,UPRN,Road,Postcode,Town,MAP_EAST,MAP_NORTH,FR/LH,Tenure
1,Farnborough Industrial Estate,,Invincible Road,N/A,Farnborough,,,Freehold,Ground Leasehold
1.1,"Plot 1, 17 Invincible Road",,Invincible Road,GU14 7QU,Farnborough,,,Freehold,Ground Leasehold
1.2,"Plot 2, 16 Invincible Road",,Invincible Road,GU14 7QU,Farnborough,,,Freehold,Ground Leasehold
1.3,"Plot 3, 15 Invincible Road",,Invincible Road,GU14 7QU,Farnborough,,,Freehold,Ground Leasehold
1.4,"Plot 4A, 4A Invincible Road",,Invincible Road,GU14 7QU,Farnborough,,,Freehold,Ground Leasehold
1.5,"Plot 4B, 4B Invincible Road",,Invincible Road,GU14 7QU,Farnborough,,,Freehold,Ground Leasehold
1.6,"Plot 5, 21 Invincible Road",,Invincible Road,GU14 7QP,Farnborough,,,Freehold,Ground Leasehold
1.7,"Plot 6, 6 Invincible Road",,Invincible Road,GU14 7QU,Farnborough,,,Freehold,Ground Leasehold
1.8,"Plot 10B, Farnborough Business Centre",,Eelmoor Road,GU14 7XA,Farnborough,,,Freehold,Ground Leasehold
1.9,"Plot 10C, 13 Eelmoor Road",,Eelmoor Road,GU14 7QN,Farnborough,,,Freehold,Ground Leasehold
1.10.,"Plot 10D, 12 Eelmoor Road",,Eelmoor Road ,GU14 7QN,Farnborough,,,Freehold,Ground Leasehold
1.11,"Plot 12, 6 Elles Road",,Elles Road,GU14 7QW,Farnborough,,,Freehold,Ground Leasehold
1.12,"Plot 13, 13 Invinicble Road",,Eelmoor Road,GU14 7QU,Farnborough,,,Freehold,Ground Leasehold
1.13,"Plot 14, 23 Invincible Road",,Invincible Road,GU14 7QU,Farnborough,,,Freehold,Ground Leasehold
1.14,"Plot 15, Arrow Industrial Estate",,Eelmoor Road,GU14 7QH,Farnborough,,,Freehold,Ground Leasehold
1.15,"Plot 17, 5 Invincible Road",,Invincible Road,GU14 7QU,Farnborough,,,Freehold,Ground Leasehold
1.16,"Plot 18, 18 Invincible Road",,Invincible Road,GU14 7QU,Farnborough,,,Freehold,Ground Leasehold
1.17,"Plot 19, 2-3 Eelmoor Road",,Eelmoor Road,GU14 7QN,Farnborough,,,Freehold,Ground Leasehold
