OrganisationURI,OrganisationLabel,OrganisationalUnit,TransactionNumber,Invoice Ref.,BeneficiaryName,Expense Type,Purpose,PaymentDate,Amount
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14044670,183596,A & E Fire Equipment Limited,R2042-HRA100,R & M of Build Fire Systems,13/05/2016,641.03
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14044730,3955,Abels Surveyors,R4400-FIE040,Services - Professional Fees,06/05/2016,"1,165.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Corporate Management,14045046,2957,Achieve Breakthrough Limited,R4400-COR001,Services - Professional Fees,27/05/2016,"9,999.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Door Entry,14044795,30947,Allhands Limited T/A Harrold Jones Services,C1107-CAH010,Building Works,13/05/2016,638.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Door Entry,14044794,30948,Allhands Limited T/A Harrold Jones Services,C1107-CAH010,Building Works,13/05/2016,"5,340.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Accountancy,14044975,65476,Alpha Colour Printers Limited,R4300-SUP009,Printing - Services,20/05/2016,569.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Democratic Representation and Management,14045224,65537,Alpha Colour Printers Limited,R4300-DRM001,Printing - Services,27/05/2016,674.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,District Elections,14044809,28980,Alpha Response Print & Mail Limited,R4300-ELE002,Printing - Services,20/05/2016,"2,727.30"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Police & Crime Commissioner Elections,14044809,28980,Alpha Response Print & Mail Limited,R4300-ELE008,Printing - Services,20/05/2016,"3,272.76"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Police & Crime Commissioner Elections,14044858,28992,Alpha Response Print & Mail Limited,R4300-ELE008,Printing - Services,13/05/2016,"4,792.80"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,District Elections,14044859,28993,Alpha Response Print & Mail Limited,R4300-ELE002,Printing - Services,13/05/2016,"5,831.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Phase 3 Development,14044788,A504/9037,Anthony Brookes Surveys Limited,C1107-CAH039,Building Works,13/05/2016,"1,440.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,JCS Affordable Housing Capacity Funding,14044890,9444,Ark Housing Consultancy LLP,R4401-HOS100,Services - Fees and Charges,13/05/2016,625.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Shopmobility,14044976,CHEL05SM02/PS,Arthur J Gallagher Insurance Brokers Limited,R2801-PUT102,Insurances - Property All Risks,20/05/2016,"1,771.14"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14044786,13799,Ashdown Supplies,R4011-CCM001,Goods For Resale,06/05/2016,"1,136.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Safety (Crime Reduction),14044822,7352,Association of Town Centre Management,R4409-CCR001,Partnership Staff Fees,13/05/2016,"2,400.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14045246,16007242,Atkins Limited (Transport Planning),R4400-PLP101,Services - Professional Fees,27/05/2016,"1,300.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14045247,16007243,Atkins Limited (Transport Planning),R4400-PLP101,Services - Professional Fees,27/05/2016,"5,500.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Environmental Health General,14044727,80746,Atlantic Umbrella Company Limited,R1100-REG001,Agency Staff,13/05/2016,"1,414.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Environmental Health General,14044801,80960,Atlantic Umbrella Company Limited,R1100-REG001,Agency Staff,13/05/2016,588.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Environmental Health General,14044880,81152,Atlantic Umbrella Company Limited,R1100-REG001,Agency Staff,20/05/2016,686.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Environmental Health General,14045017,81355,Atlantic Umbrella Company Limited,R1100-REG001,Agency Staff,27/05/2016,616.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Environmental Health General,14045225,81551,Atlantic Umbrella Company Limited,R1100-REG001,Agency Staff,27/05/2016,602.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Business Partnership,14044796,160502-057,Blackadder Media Limited,R4411-HLD130,Consultancy Fees,06/05/2016,"4,290.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Animal Control,14043747,800259683,Bromsgrove District Council,R4413-REG003,Dog Kennels Fees,27/05/2016,"1,075.70"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Animal Control,14044867,800291471,Bromsgrove District Council,R4413-REG003,Dog Kennels Fees,13/05/2016,775.00
