Transaction Date,Merchant Name,Total
01.03.14,OYSTER AUTOTOPUP,20.00 
01.03.14,OYSTER AUTOTOPUP,20.00 
01.03.14,TOTAL REGISTRATION,20.39 
02.03.14,M6 TOLL,4.80 
02.03.14,OYSTER AUTOTOPUP,40.00 
02.03.14,OYSTER AUTOTOPUP,40.00 
02.03.14,OYSTER AUTOTOPUP,20.00 
02.03.14,OYSTER AUTOTOPUP,40.00 
03.03.14,BRENTFORD SERVICE,62.72 
03.03.14,FIRST CAPITAL CONN,16.05 
03.03.14,LUL TICKET MACHINE,20.00 
03.03.14,M6 TOLL,5.50 
03.03.14,MARKS&SPENCER SSPL TD,3.75 
03.03.14,PETIT PONTOISE,109.58 
03.03.14,PORTAL HOTEL G & C CLUB,38.25 
03.03.14,RATP,11.65 
03.03.14,Santissimo,48.49 
03.03.14,SELFSERVE TICKET,8.00 
03.03.14,TFGM METROLINK,6.10 
03.03.14,TRAINLINE.COM,93.25 
03.03.14,WWW.BIFM.ORG.UK,358.80 
04.03.14,Amazon EU,17.75 
04.03.14,AVIS LONDON,73.51 
04.03.14,CALUMET CORPORATE SAL,71.02 
04.03.14,CIVIL SERVICE LEARNING,849.60 
04.03.14,COTE YORK,19.74 
04.03.14,FIRST CAPITAL CONN,3.10 
04.03.14,FIRST CAPITAL CONN,16.05 
04.03.14,GREENHAM TRADING LTD,44.38 
04.03.14,HOTEL DES CARMES,280.21 
04.03.14,LONDON OVERGROUND-,8.00 
04.03.14,LUL TICKET MACHINE,10.00 
04.03.14,PRESERVATION EQUIP,34.74 
04.03.14,SELFSERVE TICKET,20.00 
04.03.14,SELFSERVE TICKET,11.90 
04.03.14,TNA BOOKSHOP,35.99 
04.03.14,TNA BOOKSHOP,37.79 
04.03.14,WWW.UKPOS.COM,94.80 
05.03.14,7730,13.00 
05.03.14,Am.UK Xing  FUTURE OF,795.75 
05.03.14,Amazon *Mktplce EU-UK,12.72 
05.03.14,ARQIVA WIFI,10.00 
05.03.14,BANNER BUSINESS SERVIC,-76.73 
05.03.14,CONVENIENCE CHEQUE FEE,2.50 
05.03.14,FIRST CAPITAL CONN,16.05 
05.03.14,GENUINE DINING CO,7.10 
05.03.14,LONDON OVERGROUND-,11.40 
05.03.14,LONDON OVERGROUND-,9.40 
05.03.14,LUL TICKET MACHINE,30.00 
05.03.14,LUL TICKET MACHINE,10.00 
05.03.14,LUL TICKET OFFICE.,5.00 
05.03.14,MARKS & SPENCER,42.15 
05.03.14,NEW SOUTHERN RAILW,30.00 
05.03.14,OYSTER AUTOTOPUP,20.00 
05.03.14,SELFSERVE TICKET,20.00 
05.03.14,SELFSERVE TICKET,11.90 
05.03.14,VERIFONE TAXI FARE,17.38 
05.03.14,VIENNA SPORTHOTEL,161.70 
05.03.14,WEST COAST TRAINS,78.70 
05.03.14,WWW.REDCANDY.CO.UK,38.05 
06.03.14,Amazon *Mktplce EU-UK,22.50 
06.03.14,ARQIVA WIFI,10.00 
06.03.14,BANNER BUSINESS SERVIC,290.40 
06.03.14,FD SOLUTIONS LTD,643.08 
06.03.14,LONDON OVERGROUND-,5.90 
06.03.14,LONDON OVERGROUND-,11.40 
06.03.14,LONDON OVERGROUND-,22.80 
06.03.14,LUL TICKET MACHINE,10.00 
06.03.14,LUL TICKET OFFICE.,5.00 
06.03.14,OYSTER AUTOTOPUP,20.00 
06.03.14,OYSTER AUTOTOPUP,20.00 
06.03.14,PENTLAND HOTEL,164.60 
06.03.14,RITAZZA FOOD COURT,4.50 
06.03.14,SAINSBURYS S/MKTS,19.54 
06.03.14,SELFSERVE TICKET,10.00 
06.03.14,SELFSERVE TICKET,30.80 
06.03.14,SELFSERVE TICKET,11.40 
06.03.14,THE MCPS-PRS ALLIANCE,65.00 
06.03.14,TNA BOOKSHOP,22.39 
06.03.14,TNA DOCUMENTS ONLINE,0.00 
06.03.14,UNI CAM ESALES,100.00 
06.03.14,WWW.SURVEYANALYTICS.COM,493.68 
06.03.14,XMA LTD,263.97 
07.03.14,Amazon *Mktplce EU-UK,12.90 
07.03.14,Amazon EU,33.47 
07.03.14,Amazon EU,34.31 
07.03.14,AVIS INVERNESS,76.43 
07.03.14,LUL TICKET MACHINE,15.00 
07.03.14,MACFARLANE PACKAGING,"1,398.81 "
07.03.14,OYSTER AUTOTOPUP,20.00 
07.03.14,TESCO PFS 3773,34.76 
07.03.14,WWW.IWEB-HOSTING.CO.UK,38.40 
08.03.14,Amazon EU,22.00 
08.03.14,Amazon EU,3.12 
08.03.14,EB *GEM LONDON ADULT L,10.00 
08.03.14,OYSTER AUTOTOPUP,20.00 
09.03.14,LUL TICKET MACHINE,20.00 
09.03.14,OYSTER AUTOTOPUP,40.00 
10.03.14,Am.UK Xing  FUTURE OF,325.00 
10.03.14,ART ANGELS PUBLISHING,344.31 
10.03.14,BROWSERSTACK.COM,260.78 
10.03.14,CANNS DOWN PRESS LTD,397.92 
10.03.14,COUNTRYSIDEBOOKS.,183.28 
10.03.14,CWSPARKINSON.CO.UK,979.97 
10.03.14,FANSHAW BOOKS LIMITED,167.24 
