Name,Position held,Date of departure,Destination,Purpose,Travel: air,Travel: rail/underground/bus/bike, Travel: taxi/car , Personal incidental overseas , Day subsistence , Meals , Miscellaneous , Parking , Hotel: total cost ,Hotel: number of nights,Other ,Notes
Philip Rutnam,Permanent Secretary,16/01/2015,Aylesbury,Exchange Visit with Local Authority,,£21.34,,,,,,,,,,
Philip Rutnam,Permanent Secretary,21/01/2015,Hinckley (leics),Awayday with MCA,,£102.33,,,,,,,,,,
Philip Rutnam,Permanent Secretary,27/01/2015,London,Business Dinner for 2 people,,,,,,£94.50,,,,,,
Philip Rutnam,Permanent Secretary,27/02/2015,Leicester,Site Visit and meeting with Local Authorities,,£12.81,,,,,,,,,,
Philip Rutnam,Permanent Secretary,27/02/2015,Birmingham International,Travel from London to Birmingham Airport,,£19.40,,,,,,,,,,
Philip Rutnam,Permanent Secretary,27/02/2015,London St Pancras,Visit to Birmingham Airport and Leicester Meeting,,£56.26,,,,,,,,,,
Philip Rutnam,Permanent Secretary,27/02/2015,Birmingham/ Leicester,Visit to Birmingham Airport and Leicester Meeting,,,£38.90,,,,£4.20,,,,,
Philip Rutnam,Permanent Secretary,06/03/2015,Cambridge,Meeting and Discussion at the University,,£33.85,,,,,,,,,,
Philip Rutnam,Permanent Secretary,10/03/2015,London Euston,Meeting and Site Visit,,£33.95,,,,,,,,,,
Philip Rutnam,Permanent Secretary,10/03/2015,Runcorn,Meeting and Site Visit,,£101.85,,,,,,,,,,
Philip Rutnam,Permanent Secretary,10/03/2015,Liverpool Lime Street,Meeting and Site Visit,,£5.53,,,,,£5.70,,,,,
Philip Rutnam,Permanent Secretary,13/03/2015,Farnborough Main,Visit to AAIB,,£30.65,£13.00,,,,,,,,,
Philip Rutnam,Permanent Secretary,19/03/2015,Windsor,Awayday and overnight stay,,£8.83,,,,,,,£120.00,1,,
Philip Rutnam,Permanent Secretary,20/03/2015,London Waterloo,Awayday return journey,,£8.83,,,,,,,,,,
