Vehicle ID,Vehicle Reg,Vehicle type,Route
28020,YJ60KCU,Versa,1
27826,YJ60KCX,Versa,300
28072,YJ60KCY,Versa,300
27827,YJ60KCZ,Versa,300
28063,YJ60KDF,Versa,1
28065,YJ60KDX,Versa,1
27598,YJ60KCA,Solo,2
27365,YJ60KCC,Solo,2
27380,YJ60KCE,Solo,2
27557,YJ60KCF,Solo,2
27423,YJ60KCG,Solo,2
27558,YJ60KCK,Solo,2
28064,YJ60KDK,Versa,3
28204,YJ60KDN,Versa,3
28061,YJ60KDO,Versa,3
28062,YJ60KDU,Versa,3
28066,YJ60KDV,Versa,3
27639,YJ60KCV,Versa,Silver
27559,YJ60KCN,Solo,Silver
27560,YJ60KCO,Solo,Silver
55387,YJ14BJX,Versa EV,1
55388,YJ14BJY,Versa EV,1
55389,YJ14BJZ,Versa EV,1
