Department Family,Entity, Date,Expense type,Expense area,Supplier,Amount,Transaction number,
Department of Health,Sheffield PCT,11/04/2012,PRIVATE SECTOR HEALTHCARE,HEALTHCARE PROCUREMENT,ADDACTION,"362,878.00",0000266590,
Department of Health,Sheffield PCT,11/04/2012,OTHER PUBLIC  HEALTHCARE,HEALTHCARE PROCUREMENT,SOUTH YORKSHIRE POLICE,"37,363.00",0000266594,
Department of Health,Sheffield PCT,11/04/2012,OTHER PUBLIC  HEALTHCARE,HEALTHCARE PROCUREMENT,SOUTH YORKSHIRE PROBATION BOARD,"27,125.00",0000266591,
Department of Health,Sheffield PCT,11/04/2012,Rates,HEALTHCARE PROCUREMENT,SHEFFIELD CITY COUNCIL,"25,419.00",0000266169,
Department of Health,Sheffield PCT,11/04/2012,VOLUNTARY SECTOR HEALTHCARE,HEALTHCARE PROCUREMENT,ANCHOR TRUST,"30,092.00",0000266598,
Department of Health,Sheffield PCT,11/04/2012,PRIVATE SECTOR HEALTHCARE,HEALTHCARE PROCUREMENT,BMI HEALTHCARE COLLECTIONS,"39,547.00",0000266585,
Department of Health,Sheffield PCT,11/04/2012,PRIVATE SECTOR HEALTHCARE,HEALTHCARE PROCUREMENT,CLAREMONT HOSPITAL,"223,090.00",0000266586,
Department of Health,Sheffield PCT,11/04/2012,VOLUNTARY SECTOR HEALTHCARE,HEALTHCARE PROCUREMENT,CRIME REDUCTION INITIATIVES,"170,058.00",0000266595,
Department of Health,Sheffield PCT,11/04/2012,VOLUNTARY SECTOR HEALTHCARE,HEALTHCARE PROCUREMENT,NORTHERN COUNTIES HOUSING,"151,743.00",0000266599,
Department of Health,Sheffield PCT,11/04/2012,GP Out of hours Contract,HEALTHCARE PROCUREMENT,ONE MEDICARE LTD,"31,028.42",0000266468,
Department of Health,Sheffield PCT,11/04/2012,PRIVATE SECTOR HEALTHCARE,HEALTHCARE PROCUREMENT,PAIN MANAGMENT SOLUTIONS LTD,"31,199.00",0000266588,
Department of Health,Sheffield PCT,11/04/2012,PRIVATE SECTOR HEALTHCARE,HEALTHCARE PROCUREMENT,PHG (TRENT) LTD,"46,283.00",0000266587,
Department of Health,Sheffield PCT,11/04/2012,VOLUNTARY SECTOR HEALTHCARE,HEALTHCARE PROCUREMENT,PHOENIX HOUSE,"35,774.00",0000266593,
Department of Health,Sheffield PCT,11/04/2012,FOUNDATION TRUST HEALTHCARE,HEALTHCARE PROCUREMENT,SHEFF CHILDREN'S HOSP NHS TRUST,"62,000.00",0000266467,
Department of Health,Sheffield PCT,11/04/2012,PRIVATE SECTOR HEALTHCARE,HEALTHCARE PROCUREMENT,SHEFFIELD CITY TAXIS LTD,"125,000.00",0000266589,
Department of Health,Sheffield PCT,11/04/2012,FOUNDATION TRUST HEALTHCARE,HEALTHCARE PROCUREMENT,SHEFFIELD TEACHING HOSPITALS NHS TRUST,"30,300.00",0000266383,
Department of Health,Sheffield PCT,11/04/2012,VOLUNTARY SECTOR HEALTHCARE,HEALTHCARE PROCUREMENT,SOUTH YORKSHIRE HOUSING ASSOCIATION,"120,420.00",0000266597,
Department of Health,Sheffield PCT,11/04/2012,VOLUNTARY SECTOR HEALTHCARE,HEALTHCARE PROCUREMENT,TURNING POINT SHEFFIELD,"221,152.00",0000266596,
