People First Independant Advocacy,"10-12, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",15500
Clarkson Hirst Solicitors Limited,"101, Duke Street, Barrow In Furness, Cumbria, LA14 1RH",9200
Nhs Property Services,"103-105, Abbey Road, Barrow In Furness, Cumbria, LA14 5EX",19250
Savers Health & Beauty Ltd,"103-105, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",57000
"Cooperative Funeral Furnishing,","103-105, Roose Road, Barrow In Furness, Cumbria, LA13 9RJ",19500
Lbh Ghuman Ltd,"104-106, Buccleuch Street, Barrow In Furness, Cumbria, LA14 1DA",4350
Hsbc Bank Plc,"104-106, Duke Street, Barrow In Furness, Cumbria, LA14 1LR",13000
T J Morris Ltd,"106-114, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",100000
Bon Marche Ltd,"107-109, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",42000
"J N Murray Ltd,","108-110, Duke Street, Barrow In Furness, Cumbria, LA14 1LW",10750
" Barrow Taxi Drivers Assoc,","109, Ramsden Street, Barrow In Furness, Cumbria, LA14 2BW",1050
Rocket Asset Management Ltd,"10, Allison Street, Barrow In Furness, Cumbria, LA14 1DT",5400
"Messrs Little & Caine,","10, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1SP",2450
Holker Estates,"10, Devonshire Buildings, Ship Street, Barrow In Furness, Cumbria, LA14 2RW",1975
Modlar Ltd,"10, Foundry Street, Barrow In Furness, Cumbria, LA14 2BB",2450
Barrow Printing Co Ltd,"10, Lawson Street, Barrow In Furness, Cumbria, LA14 2LW",40750
Max Spielmann Limited,"10, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",28000
Barrow Borough Council,"10 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",2150
Mill Lane Stores Ltd,"110, Mill Lane, Barrow In Furness, Cumbria, LA14 3NT",9900
"National Westminster Bank Plc,","111-115, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",59000
Ag Retail Cards Ltd T/A Clintons,"11-13, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",103000
Craig And Meyer Architects Ltd,"111, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",8600
T & J Photographic Ltd,"111, Ramsden Street, Barrow In Furness, Cumbria, LA14 2BW",1750
Ingrid Goodings Ltd,"112, Mill Lane, Barrow In Furness, Cumbria, LA14 3NT",5500
Christophers Corner Limited,"113, Ramsden Street, Barrow In Furness, Cumbria, LA14 2BW",2250
Twilight Years Ltd,"114, Rawlinson Street, Barrow In Furness, Cumbria, LA14 2DG",6000
Thomas Cook Uk Limited,"117-119, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",0
David & Amanda Trading Ltd,"118-120, Dalton Road, Barrow In Furness, Cumbria, ",47000
Bridsford Properties Limited,"118, Duke Street, Barrow In Furness, Cumbria, LA14 1LW",11750
Sp & Sjs Limited,"119, Cavendish Street, Barrow In Furness, Cumbria, LA14 1DJ",3100
Denby & Co Solicitors Ltd,"119, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",8800
Anchor Fish Bar Ltd,"11, Anchor Road, Barrow In Furness, Cumbria, LA14 2QW",1250
Plastic Centre Barrow Ltd,"1 & 1a, Rutland Street, Barrow In Furness, Cumbria, LA14 5AZ",2125
Barrow Borough Council,"11 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",2600
Cameron Motors (Barrow) Limited,"120-126, Rawlinson Street, Barrow In Furness, Cumbria, LA14 2DG",5800
Seabreeze (Cumbria) Limited,"120, Church Street, Barrow In Furness, Cumbria, LA14 1HA",5600
Liontreck Ltd,"12-22, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1SP",18750
Tui Uk Ltd,"122, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",20250
Jemoro Ltd T/A Ardent Dental Practice,"123, Oxford Street, Barrow In Furness, Cumbria, LA14 5QH",3600
Designa Frames Ltd,"124, Cavendish Street, Barrow In Furness, Cumbria, LA14 1DJ",3000
Cheque Centre Properties Ltd,"124, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",16750
"J L Winder & Co,","125, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",25750
Goldmire Ltd,"127, Cavendish Street, Barrow In Furness, Cumbria, LA14 1DJ",2150
The Works Stores Ltd,"128-130, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",41250
G W Doling & Son,"128, Buccleuch Street, Barrow In Furness, Cumbria, LA14 1DA",7100
Timpson Limited,"12, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",13750
Barrow Borough Council,"1-2 & Pt 3, Lawson Street, Barrow In Furness, Cumbria, LA14 2LP",8900
Geldart Limited,"12, Station Road, Dalton In Furness, Cumbria, LA15 8DW",3050
Ramsdens Financial Limited,"130-132, Cavendish Street, Barrow In Furness, Cumbria, LA14 1DJ",5300
Idh Limited,"130-132, Market Street, Dalton In Furness, Cumbria, LA15 8RG",3950
Westmorland Laundry Services Ltd,"130-142, Salthouse Road, Barrow In Furness, Cumbria, LA13 9TR",8800
Kaymas Electrical Engineering Ltd,"131., Market Street, Dalton In Furness, Cumbria, LA15 8RG",8300
Rippleglen Ltd,"132, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",22250
C.D.S. Ltd,"133, Duke Street, Barrow In Furness, Cumbria, LA14 1XW",212000
Claires Accessories Uk Ltd,"134, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",25500
Greggs Plc,"136, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",25250
Phones 4 U Ltd,"138, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",25750
Easyclean Cumbria Ltd,"13, Anchor Road, Barrow In Furness, Cumbria, LA14 2QW",2175
Magnus Properties Ltd In Administration,"13a, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TG",3300
Coral Racing Ltd,"1-3, Lincoln Street, Barrow In Furness, Cumbria, LA14 5HS",9400
Grabal Alok (Uk) Ltd,"1-3, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",113000
The Reef (Uk) Ltd,"13, Strand, Barrow In Furness, Cumbria, LA14 2HG",5200
Barrow & District Credit Union,"1-3, The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",7800
Carphone Warehouse Plc,"140, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",60500
Coral Racing Ltd,"14-16, Crellin Street, Barrow In Furness, Cumbria, LA14 1DU",7900
Tech Photo Services Ltd,"141, Market Street, Dalton In Furness, Cumbria, LA15 8RG",3250
Royal Mail Group Plc,"142, Abbey Road, Barrow In Furness, Cumbria, LA14 5AB",4650
Lloyds Bank Plc,"144, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",75500
