,PB3 & 4 - International and domestic travel,,,,,
,Senior official (SCS2 and above),Start date of trip,Destination,Mode of transport,Class of travel,"Total cost, including all visas, accommodation, travel etc (£)"
,"Sedwill, Mr. Mark",13/01/2015,East Croydon,Train,Standard,£6
,"Sedwill, Mr. Mark",13/01/2015,London Victoria,Train,Standard,£7
,"Sedwill, Mr. Mark",19/01/2015,W'Ington Dulles,Air (International),Business,"£5,190"
,"Sedwill, Mr. Mark",22/01/2015,HEATHROW TERM 5,Train,Standard,£22
,"Sedwill, Mr. Mark",03/02/2015,Gravesend,Train,Standard,£26
,"Sedwill, Mr. Mark",05/02/2015,London,Taxi,n/a,£23
,"Sedwill, Mr. Mark",10/02/2015,London,Taxi,n/a,£60
,"Sedwill, Mr. Mark",10/02/2015,Peterborough,Train,Standard,£55
,"Sedwill, Mr. Mark",24/02/2015,Caterham,Train,Standard,£5
,"Sedwill, Mr. Mark",24/02/2015,London Bridge,Train,Standard,£8
,"Sedwill, Mr. Mark",09/03/2015,Abu Dhabi,Air (International),Business,"£2,357"
,"Sedwill, Mr. Mark",12/03/2015,Clapham Junction,Train,Standard,£26
,"Sedwill, Mr. Mark",12/03/2015,London Heathrow,Air (International),Business,"£2,311"
,"Sedwill, Mr. Mark",12/03/2015,Farnborough (Main),Train,Standard,£14
,"Sedwill, Mr. Mark",12/03/2015,Portsmouth Harbour,Train,Standard,£24
,"Sedwill, Mr. Mark",12/03/2015,Clapham Junction,Train,Standard,£33
,"Sedwill, Mr. Mark",12/03/2015,London Waterloo,Train,Standard,£16
,"Sedwill, Mr. Mark",17/03/2015,Feltham,Train,Standard,£6
,"Sedwill, Mr. Mark",17/03/2015,Feltham,Train,Standard,£6
,"Sedwill, Mr. Mark",19/03/2015,London,Taxi,n/a,£8
,"Sedwill, Mr. Mark",19/03/2015,Egham,Train,Standard,£11
,"Sedwill, Mr. Mark",20/03/2015,London,Taxi,n/a,£8
,"Sedwill, Mr. Mark",20/03/2015,Woking (Main),Train,Standard,£8
,"Sedwill, Mr. Mark",24/03/2015,Southampton Central,Train,Standard,£35
,"Sedwill, Mr. Mark",24/03/2015,London Waterloo,Train,Standard,£41
,"Sedwill, Mr. Mark",24/03/2015,London Waterloo,Train,Standard,£41
,"Sedwill, Mr. Mark",24/03/2015,Southampton Central,Train,Standard,£35
,"Sedwill, Mr. Mark",31/03/2015,London St Pancras,Train,Standard,£73
,"Sedwill, Mr. Mark",31/03/2015,Leicester,Train,Standard,£53
,"Sedwill, Mr. Mark",31/03/2015,London St Pancras,Train,Standard,£78
,"Sedwill, Mr. Mark",31/03/2015,London Euston,Train,Standard,£35
,"Calam, Ms. Mary-Jane",14/01/2015,Nottingham,Train,Standard,£157
,"Calam, Ms. Mary-Jane",14/01/2015,Nottingham,Train,Standard,£157
,"Calam, Ms. Mary-Jane",26/01/2015,London,Taxi,n/a,£10
,"Calam, Ms. Mary-Jane",27/01/2015,London,Taxi,n/a,£10
,"Calam, Ms. Mary-Jane",28/01/2015,London,Taxi,n/a,£13
,"Calam, Ms. Mary-Jane",28/01/2015,London,Taxi,n/a,£10
,"Calam, Ms. Mary-Jane",12/02/2015,Chelmsford,Train,Standard,£19
,"Calam, Ms. Mary-Jane",19/02/2015,Wakefield Westgate,Train,Standard,£157
,"Calam, Ms. Mary-Jane",19/02/2015,Wakefield Westgate,Train,Standard,£157
,"Calam, Ms. Mary-Jane",26/02/2015,Coventry,Train,Standard,£146
,"Calam, Ms. Mary-Jane",27/02/2015,Lisbon,Air (International),Economy,£357
,"Calam, Ms. Mary-Jane",10/03/2015,London,Taxi,n/a,£12
,"Calam, Ms. Mary-Jane",10/03/2015,London,Taxi,n/a,£12
,"Calam, Ms. Mary-Jane",13/03/2015,London,Taxi,n/a,£25
,"Calam, Ms. Mary-Jane",13/03/2015,London,Taxi,n/a,£36
,"Calam, Ms. Mary-Jane",16/03/2015,London,Taxi,n/a,£9
,"Calam, Ms. Mary-Jane",24/03/2015,London,Taxi,n/a,£12
,"Calam, Ms. Mary-Jane",24/03/2015,London,Taxi,n/a,£8
,"Calam, Ms. Mary-Jane",26/03/2015,Maidstone East,Train,Standard,£24
,"Calam, Ms. Mary-Jane",31/03/2015,London,Taxi,n/a,£5
,"Calam, Ms. Mary-Jane",31/03/2015,Liverpool Lime Street,Train,Standard,£144
,"Calam, Ms. Mary-Jane",31/03/2015,Liverpool,Train,Standard,£65
,"Campbell, Ms. Mandie Jane",20/01/2015,London,Bus,Standard/Economy,£3
,"Campbell, Ms. Mandie Jane",20/01/2015,London,Train,Standard/Economy,£6
,"Campbell, Ms. Mandie Jane",23/01/2015,London,Train,Standard/Economy,£8
,"Campbell, Ms. Mandie Jane",23/01/2015,London,Bus,Standard/Economy,£2
,"Campbell, Ms. Mandie Jane",27/01/2015,London,Bus,Standard/Economy,£2
,"Campbell, Ms. Mandie Jane",27/01/2015,London,Taxi,n/a,£9
,"Campbell, Ms. Mandie Jane",29/01/2015,London,Bus,Standard/Economy,£2
,"Campbell, Ms. Mandie Jane",29/01/2015,London,Bus,Standard/Economy,£2
,"Campbell, Ms. Mandie Jane",29/01/2015,London,Taxi,,£10
,"Campbell, Ms. Mandie Jane",04/02/2015,London,Underground,Standard/Economy,£2
,"Campbell, Ms. Mandie Jane",04/02/2015,London,Bus,Standard/Economy,£2
,"Campbell, Ms. Mandie Jane",04/02/2015,Norbiton,Train,Standard,£9
,"Campbell, Ms. Mandie Jane",04/02/2015,London Waterloo,Train,Standard,£8
,"Campbell, Ms. Mandie Jane",05/02/2015,London,Taxi,n/a,£19
,"Campbell, Ms. Mandie Jane",11/02/2015,London,Bus,Standard/Economy,£2
,"Campbell, Ms. Mandie Jane",16/02/2015,London,Underground,Standard/Economy,£4
,"Campbell, Ms. Mandie Jane",16/02/2015,London,Taxi,n/a,£5
,"Campbell, Ms. Mandie Jane",17/02/2015,Durham,Train,Standard/Economy,£2
,"Campbell, Ms. Mandie Jane",19/02/2015,London,Bus,Standard/Economy,£3
,"Campbell, Ms. Mandie Jane",26/02/2015,London,Bus,Standard/Economy,£2
,"Campbell, Ms. Mandie Jane",16/03/2015,London,n/a,n/a,£13
,"Campbell, Ms. Mandie Jane",16/03/2015,London,n/a,n/a,£10
