ID,LSOA11CD,FTL_ADULT|2010,FTL_ADULT|2011,FTL_ADULT|2012,FTL_ADULT|2013,FTL_ADULT|2014,FTL_CHILD|2010,FTL_CHILD|2011,FTL_CHILD|2012,FTL_CHILD|2013,FTL_CHILD|2014,SER_ADULT|2010,SER_ADULT|2011,SER_ADULT|2012,SER_ADULT|2013,SER_ADULT|2014,SER_CHILD|2010,SER_CHILD|2011,SER_CHILD|2012,SER_CHILD|2013,SER_CHILD|2014,SLT_ADULT|2010,SLT_ADULT|2011,SLT_ADULT|2012,SLT_ADULT|2013,SLT_ADULT|2014,SLT_CHILD|2010,SLT_CHILD|2011,SLT_CHILD|2012,SLT_CHILD|2013,SLT_CHILD|2014,CAS_TOTAL|2010,CAS_TOTAL|2011,CAS_TOTAL|2012,CAS_TOTAL|2013,CAS_TOTAL|2014,PED_ADULT|2010,PED_ADULT|2011,PED_ADULT|2012,PED_ADULT|2013,PED_ADULT|2014,PED_CHILD|2010,PED_CHILD|2011,PED_CHILD|2012,PED_CHILD|2013,PED_CHILD|2014,CYC_ADULT|2010,CYC_ADULT|2011,CYC_ADULT|2012,CYC_ADULT|2013,CYC_ADULT|2014,CYC_CHILD|2010,CYC_CHILD|2011,CYC_CHILD|2012,CYC_CHILD|2013,CYC_CHILD|2014,NO_INCID|2010,NO_INCID|2011,NO_INCID|2012,NO_INCID|2013,NO_INCID|2014
195,E01012628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
419,E01025222,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,3,5,11,11,6,1,0,0,1,0,5,6,12,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,8,7,5
445,E01025226,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,17,11,6,6,3,1,2,1,0,1,18,14,10,6,4,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,7,8,5,3
459,E01025228,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,13,7,5,5,3,2,1,2,0,0,15,9,10,6,3,2,0,2,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,8,6,8,4,3
106,E01012730,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
424,E01025223,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,6,5,8,5,4,4,2,1,0,1,10,7,10,6,7,2,0,1,2,2,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,7,6,8,5,5
431,E01025224,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,1,0,0,0,8,8,6,7,13,1,1,2,0,2,12,10,10,7,16,2,1,2,2,3,1,1,2,0,0,1,0,0,0,2,0,0,0,0,0,10,9,8,6,9
436,E01025225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,0,1,2,1,0,0,3,6,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,6,3,0,0
452,E01025227,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,2,4,3,2,1,0,0,0,0,7,3,4,3,2,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,2
465,E01025229,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3,7,0,2,19,9,2,0,0,5,2,11,1,2,24,14,0,0,0,1,1,1,1,0,0,4,2,0,0,1,2,0,0,0,0,0,8,1,2,11,12
