"Hospital","Uncemented","Cemented"
"Overall (All countries)","7572","20930"
"Overall (England)","7164","19215"
"ADD","14","172"
"AEI","18","109"
"AIR","15","112"
"ASH","2","173"
"BAR","110","14"
"BAS","64","118"
"BAT","80","196"
"BED","6","52"
"BFH","39","181"
"BLA","18","163"
"BNT","110","23"
"BOL","1","159"
"BRD","26","117"
"BRI","3","164"
"BRO","119","47"
"BRT","4","131"
"BRY","107","1"
"BSL","60","16"
"CCH","10","33"
"CGH","6","131"
"CHE","77","93"
"CHG","44","111"
"CHS","39","56"
"CMI","22","94"
"COC","31","141"
"COL","39","224"
"DAR","16","157"
"DER","1","210"
"DGE","16","211"
"DID","86","108"
"DRY","9","152"
"DVH","14","162"
"EBH","133","62"
"ENH","80","110"
"ESU","18","208"
"FAZ","12","146"
"FGH","24","27"
"FRM","169","12"
"FRY","0","231"
"GEO","4","89"
"GGH","32","77"
"GHS","123","26"
"GLO","85","105"
"GRA","4","39"
"GWH","70","93"
"HAR","2","104"
"HCH","16","107"
"HIL","3","91"
"HIN","50","26"
"HOM","13","18"
"HOR","32","41"
"HRI","145","121"
"HUD","93","112"
"IOW","7","115"
"IPS","6","210"
"JPH","23","139"
"KCH","2","42"
"KGH","65","99"
"KMH","139","26"
"KTH","0","158"
"LDH","47","83"
"LER","9","375"
"LEW","14","79"
"LGH","56","90"
"LGI","4","297"
"LIN","81","103"
"LON","25","19"
"MAC","6","121"
"MAY","16","95"
"MDW","39","114"
"MKH","0","58"
"MPH","8","172"
"MRI","0","73"
"NCR","153","43"
"NDD","17","91"
"NGS","9","224"
"NHH","23","89"
"NMG","24","41"
"NMH","58","1"
"NOR","130","297"
"NPH","5","96"
"NTG","82","107"
"NTH","72","104"
"NTY","6","168"
"NUN","19","103"
"NWG","43","4"
"OHM","38","72"
"OLD","168","115"
"PAH","68","64"
"PET","0","110"
"PGH","85","416"
"PIL","10","169"
"PIN","215","44"
"PLY","14","264"
"PMS","20","180"
"QAP","204","153"
"QEB","14","130"
"QEG","3","150"
"QEQ","99","105"
"QKL","10","181"
"RAD","6","256"
"RBE","220","22"
"RCH","29","271"
"RDE","1","279"
"RED","88","14"
"RFH","6","92"
"RHC","17","95"
"RLI","56","67"
"RLU","21","128"
"ROT","30","99"
"RPH","26","67"
"RSC","14","212"
"RSS","80","31"
"RSU","14","176"
"RUS","74","167"
"RVN","2","190"
"SAL","15","115"
"SAN","140","28"
"SCA","25","107"
"SCM","0","242"
"SCU","70","49"
"SDG","28","97"
"SEH","94","110"
"SGH","5","310"
"SHC","38","165"
"SHH","9","171"
"SLF","0","82"
"SMV","59","133"
"SOU","25","110"
"SPH","192","14"
"STD","5","88"
"STH","63","28"
"STM","6","89"
"STO","266","13"
"STR","45","143"
"SUN","10","190"
"TGA","4","93"
"TLF","56","24"
"TOR","5","207"
"TRA","10","41"
"TUN","1","109"
"UCL","11","28"
"UHC","2","121"
"UHN","52","306"
"VIC","1","101"
"WAR","70","42"
"WAT","56","130"
"WDG","0","178"
"WDH","44","43"
"WES","0","54"
"WEX","58","139"
"WGH","3","123"
"WHC","28","120"
"WHH","36","130"
"WHI","163","36"
"WHT","52","2"
"WIR","2","199"
"WMH","53","108"
"WMU","47","45"
"WRC","84","107"
"WRG","7","252"
"WSH","18","131"
"WYT","4","129"
"YDH","68","102"
