Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,VAT Registration Number,Type,Account Code,Cost Centre,Reporting Month,Currency Unit
BIS,NERC,02-JUN-2010,,,Science & Technology Facilities Council,47347," 29,815.00 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,02-JUN-2010,,,Science & Technology Facilities Council,47441," 32,936.00 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,02-JUN-2010,,,University College London,47815," 113,538.40 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,02-JUN-2010,,,University of Liverpool,47993," 97,351.75 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,02-JUN-2010,,,Kier Regional Ltd T/A Moss Construction,47314," 70,775.16 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,02-JUN-2010,,,Logicalis Uk Ltd,47339," 108,696.90 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,02-JUN-2010,,,Morgan Sindall Construction plc,47985," 38,028.00 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,02-JUN-2010,Other Staff Benefits,NERC - SO PROGS RProject,University of York,46308," 167,401.17 ",,SUPPLIERS,2205,60606,June 2010,GBP
BIS,NERC,02-JUN-2010,T&S UK - Subsistence,NERC - BAS ANTARCTIC FLIGHTS,Financial Management Shared Service Centre (Fmssc),46168," 109,824.00 ",,SUPPLIERS,2302,62553,June 2010,GBP
BIS,NERC,02-JUN-2010,Other Debtors,NERC - SO Control Centre,Lawson Engineers Ltd,47577," 27,965.00 ",,SUPPLIERS,6555,60300,June 2010,GBP
BIS,NERC,04-JUN-2010,,,J Halliday (Electrical Contractor),47800," 119,296.69 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,04-JUN-2010,,,Unigro Ltd,49403," 30,939.08 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,07-JUN-2010,,,EDF Energy,49815," 38,505.52 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,07-JUN-2010,,,EDF Energy,49817," 41,852.82 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,07-JUN-2010,,,EDF Energy,49818," 33,188.94 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,07-JUN-2010,,,EDF Energy,49819," 34,038.48 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,08-JUN-2010,,,Systematic Uk,47542," 42,107.60 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,08-JUN-2010,,,WesternGeco International Ltd,48601," 67,613.32 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,08-JUN-2010,,,WesternGeco International Ltd,49367," 121,900.26 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,09-JUN-2010,,,Engineering & Physical Sciences Research Council,47104," 60,105.91 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,09-JUN-2010,,,Marine Biological Association,48521," 64,979.36 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,09-JUN-2010,,,Sea Bunkering Ltd,51022," 53,686.43 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,09-JUN-2010,,,University of East Anglia,48525," 45,897.37 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,09-JUN-2010,,,E.W. Beard Ltd,49379," 145,036.44 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,09-JUN-2010,,,Market & Opinion Research International Ltd t/a as Ipsos MORI,49979," 31,981.15 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,09-JUN-2010,,,Market & Opinion Research International Ltd t/a as Ipsos MORI,49983," 40,803.05 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,09-JUN-2010,,,Matrix Control Solutions Ltd,50124," 36,229.01 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,09-JUN-2010,,,Matrix Control Solutions Ltd,50126," 55,522.28 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,09-JUN-2010,,,Phoenix Software Ltd,44007," 59,389.76 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,09-JUN-2010,,,The National History Museum Trading Company,37410," 28,453.99 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,09-JUN-2010,Academic Anologues Research Co,NERC - SO PROGS RProject,Plymouth Marine Laboratory,47818," 803,667.00 ",,SUPPLIERS,1303,60606,June 2010,GBP
BIS,NERC,09-JUN-2010,Projects CIP,NERC - POL Infrastructure Capital,Ocf Plc,30839," 105,529.43 ",,SUPPLIERS,5191,65270,June 2010,GBP
BIS,NERC,10-JUN-2010,,,Nobska Development Corporation,46471," 30,533.35 ",,SUPPLIERS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,Cardiff University,54784," 25,125.13 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,Imperial College London,54557," 48,644.66 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,Imperial College London,55072," 29,578.39 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,Lancaster University,54618," 39,052.28 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,National Oceanography Centre INACTIVE,55350," 54,288.95 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,NERC Centre for Ecology and Hydrology (CEH Wallingford),55390," 33,015.64 ",,INTERNAL GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,NERC Centre for Ecology and Hydrology (CEH Wallingford),55398," 33,423.88 ",,INTERNAL GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,NERC Centre for Ecology and Hydrology (CEH Wallingford),55402," 36,119.62 ",,INTERNAL GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Aberdeen,54576," 29,289.21 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Aberdeen,54677," 25,500.03 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Birmingham,55045," 35,207.52 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Bristol,54423," 34,170.75 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Bristol,54679," 27,898.01 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Bristol,54793," 38,550.71 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Cambridge,54495," 85,465.90 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Cambridge,54595," 62,803.41 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Cambridge,54752," 69,794.67 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of East Anglia,54544," 49,944.76 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of East Anglia,54545," 58,578.42 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of East Anglia,54710," 45,619.93 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Edinburgh,54505," 49,021.83 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Edinburgh,54562," 39,052.28 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Edinburgh,54604," 43,860.67 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Edinburgh,54759," 29,289.21 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Edinburgh,55051," 25,605.47 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Leeds,54564," 32,068.95 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Leeds,54627," 38,987.26 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Leeds,54632," 43,933.82 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Manchester,54628," 34,113.85 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Manchester,54629," 29,176.81 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Manchester,54734," 39,052.28 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Oxford,54443," 26,844.02 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Oxford,54655," 31,299.70 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Reading,54488," 53,830.63 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Reading,54537," 34,170.75 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Reading,54584," 64,349.70 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Reading,54585," 29,240.44 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Reading,54586," 65,408.90 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Sheffield,54435," 39,052.28 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Sheffield,54589," 34,217.97 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Sheffield,54800," 34,113.85 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Southampton,54540," 55,428.99 ",,GRANTS,,,June 2010,GBP
BIS,NERC,14-JUN-2010,,,University of Southampton,54687," 48,815.35 ",,GRANTS,,,June 2010,GBP
