,Percentage of respondents satisfied with overall service in 12 months to December 2013,Confidence Interval percentage of respondents satisfied with overall service in 12 months to December 2013,Percentage of respondents satisfied with overall service in 12 months to December 2012,Confidence Interval percentage of respondents satisfied with overall service in 12 months to December 2012,Percentage of respondents satisfied with overall service in 12 months to December 2011,Confidence Interval percentage of respondents satisfied with overall service in 12 months to December 2011,Percentage of respondents satisfied with overall service in 12 months to December 2010,Confidence Interval percentage of respondents satisfied with overall service in 12 months to December 2010
England and Wales,85.03796375,0.193649556,84.44693346,0.198826193,83.88839601,0.192471234,83.4365221,0.190696542
Avon and Somerset,88.10604325,1.16987598,86.99098001,1.121679538,87.59678795,1.045481247,85.3990545,1.1148687
Bedfordshire,82.94126604,0.15526837,80.40987525,1.263881328,81.40558259,1.474979496,77.61610317,1.649561767
Cambridgeshire,88.77636279,1.241919519,86.38086061,1.365480122,86.30969416,1.343740518,83.59949354,1.606616724
Cheshire,87.34916185,1.858890312,87.58357915,1.764248737,86.22982978,1.747255151,90.53066466,1.293018887
City of London,89.67320261,3.803393949,78.35917313,13.22357748,85.95360195,7.911150177,91.43761453,2.835318028
Cleveland,84.54406487,1.582283343,83.16607243,1.574527616,83.62968776,1.563378824,84.01776199,1.622822935
Cumbria,90.23296703,2.44745491,90.5354796,2.702960686,88.75607136,2.595481989,87.21195502,2.615573331
Derbyshire,87.00543334,1.445546812,86.80979395,1.513750766,86.72062551,1.576729297,82.37599251,1.601305028
Devon and Cornwall,84.70699427,1.506252227,85.23243899,1.507770524,85.26316471,1.547264733,86.7267106,1.539952343
Dorset,83.48101671,1.417794354,82.56660127,1.489363853,84.76659175,1.439131524,82.80079676,1.627264416
Durham,88.55026772,1.820831339,89.19010796,1.53205758,86.92706433,1.756183903,84.87625058,1.61422222
Dyfed-Powys,86.70141833,3.034472785,83.62174375,4.093464918,85.84201388,2.513507661,87.66615704,2.148832605
Essex,82.84296574,1.578756575,80.34521226,1.656340597,83.11215993,1.463371028,84.86514022,1.441005429
Gloucestershire,81.22440398,1.74954071,81.3729586,1.779428475,81.78130186,1.596940716,82.07730947,1.588346308
Greater Manchester,83.90845979,0.861102586,85.28149032,0.856555811,83.66924527,0.838431237,80.66546757,0.808449747
Gwent,79.16823783,1.774193545,82.20140327,1.750094632,81.75473609,1.629447062,81.15979981,1.645451035
Hampshire,86.02716747,0.886580434,82.90349653,0.955086124,82.27355986,0.883285786,84.43632165,0.732215623
Hertfordshire,88.37908709,1.271352978,88.50542158,1.274250968,87.46964585,1.432856438,87.86250341,1.470038162
Humberside,84.55593108,1.334786287,86.70713723,1.23262487,83.67499516,1.198551648,82.46572248,1.291834911
Kent,86.08687093,1.259265021,88.68516987,1.135382181,87.6394151,1.062603588,85.98078937,1.225092064
Lancashire,84.6133623,0.688866403,86.84588894,0.806755309,84.61254672,1.354214487,84.60947101,1.450708092
Leicestershire,84.96783238,1.904096998,84.60888574,1.797684423,86.90128766,1.659291756,85.82071944,1.53530781
Lincolnshire,82.69942202,2.015139166,84.43390125,1.915262451,82.68972062,1.887858845,81.33430067,1.814832121
Merseyside,87.62325135,0.103358421,88.83019063,0.809003205,88.08376283,0.898834051,88.01619978,0.90176435
Metropolitan Police,79.08771126,0.625509363,75.53935944,0.675913973,74.26631158,0.670108558,77.09139171,0.660330857
Norfolk,88.55339298,1.265594088,88.92018014,1.332213714,86.50598036,1.681726358,87.36825551,1.435731498
Northamptonshire,86.91122273,1.767136485,82.33800951,1.886901187,84.81395367,1.76045383,86.2958446,1.671670545
Northumbria,90.96314401,1.161356045,91.9128171,1.021819333,93.13062795,1.099344498,91.55832078,0.9171772
North Wales,81.01622015,1.819907398,81.20242484,1.698766888,81.87465077,1.731296593,83.62972288,1.613870409
North Yorkshire,87.82292911,1.111560898,85.62771984,1.217819342,87.1451689,1.265915631,80.81600828,1.832075628
Nottinghamshire,86.87332437,0.861427701,87.42705301,0.786360433,87.50031285,0.743460159,84.13885257,0.807592392
South Wales,88.87260674,0.913840973,86.10443881,0.975244738,87.33148825,0.920529401,85.02810303,0.93249611
South Yorkshire,83.6091973,1.436568068,86.1554348,1.44287466,84.82811315,1.420879094,83.17158016,1.641316983
Staffordshire,91.54402498,1.509967974,87.28325687,1.76019118,89.10585049,1.423286921,87.09293772,1.691934153
Suffolk,87.48006138,1.723971192,84.66149443,2.002529106,82.01651661,1.9904344,83.51442353,1.835524052
Surrey,86.86710518,0.923796015,84.81427036,0.972098078,83.7600347,1.019719346,83.299391,0.97990101
Sussex,84.21919477,1.070396424,84.75819362,1.336889571,83.53927554,1.483543277,81.82801164,1.709797564
Thames Valley,88.29059956,1.82623993,88.29717607,1.275724855,84.83391775,0.920428577,83.98492305,1.014148204
Warwickshire,86.08242686,1.655743995,82.20527012,1.808210427,81.13503103,1.847082407,83.99590101,1.435004353
West Mercia,85.28700536,1.246751821,84.85395871,1.13995768,85.46648228,1.166948598,86.9911184,1.03808489
West Midlands,83.64377202,0.416979,87.05268948,0.957778613,85.81224258,0.753438088,85.87866174,0.718249957
West Yorkshire,88.23661367,0.767069976,86.65661536,0.756995751,85.32292146,0.741816197,81.87356136,0.778969306
Wiltshire,89.77799974,1.832768375,86.10479759,2.022172792,82.97897826,2.276437301,82.28445032,1.047222926
