Metadata associated with workbook,,MWM_0937,,,,,,,,,,,,,
Title,Document Title,Municipal Waste Statistics - Local Authority data,,,,,,,,,,,,,
Subject,Topic,Municipal Waste Management,,,,,,,,,,,,,
,IPSV Category,"Environment, Waste management, Waste collection",,,,,,,,,,,,,
,IPSV Keywords,"Municipal waste collection, recycling and disposal",,,,,,,,,,,,,
,ESI Keywords,household waste,,,,,,,,,,,,,
,Sustainable Development Indicator 2005,,,,,,,,,,,,,,
,Sustainable Development Indicator 1999,,,,,,,,,,,,,,
Source,Data Sources,"WasteDataFlow, Department for Environment, Food and Rural Affairs (Defra)",,,,,,,,,,,,,
Coverage,Country coverage,England,,,,,,,,,,,,,
,Data Date Range,2005/06,,,,,,,,,,,,,
Identifier,Publication Ref,,,,,,,,,,,,,,
,Internet Location,http://www.defra.gov.uk/environment/statistics/wastats/index.htm,,,,,,,,,,,,,
Publisher,Division,Environment Statistics Service,,,,,,,,,,,,,
,Department,"Department for Environment, Food and Rural Affairs",,,,,,,,,,,,,
,Address,"Area 5F Ergon House, 17 Smith Square, London SW1P 3JR",,,,,,,,,,,,,
,Phone,08459 33 55 77,,,,,,,,,,,,,
,Email,enviro.statistics@defra.gsi.gov.uk,,,,,,,,,,,,,
Rights,Copyright,Copyright of data and/or information presented or attached in this document may not reside solely with this Department. Please contact us or see guidance on Copyright at: http://www.defra.gov.uk/environment/statistics/help.htm,,,,,,,,,,,,,
,Keeper/Custodian,"Environment Statistics Service, Department for Environment, Food and Rural Affairs, Area 5F Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77, enviro.statistics@defra.gsi.gov.uk",,,,,,,,,,,,,
,National Statistics Status,No,,,,,,,,,,,,,
Date,Date Published/Released,22 November 2006,,,,,,,,,,,,,
Description,Notes: Interpretation/Limitation,,,,,,,,,,,,,,
Notes for tables,,,,,,,,,,,,,,,
,Tables are based on data entered by local authorities onto WasteDataFlow for each quarterly return for 2005/6. ,,,,,,,,,,,,,,
,WasteDataFlow is a web-based system for quarterly reporting on municipal waste data by local authorities to central government.  It is also used by the Environment Agency for monitoring biodegradable waste sent to landfill under the Landfill Allowance Trading Scheme.  ,,,,,,,,,,,,,,
,"In 2005/06 all local authorities in England made four quarterly returns on WasteDataFlow, giving a 100% response rate.",,,,,,,,,,,,,,
,Tables 1 and 3,,,,,,,,,,,,,,
,"Regular household collection' means wastes within Schedule 1 of the Controlled Waste Regulations 1992.  Small amounts of commercial and industrial wastes may also be included in the case of collections that include mixed domestic and commercial hereditaments. Wherever possible, these wastes are included in ‘Non-household sources’.  Regular household collection tonnages also include household material which was collected for recycling or composting but rejected as not suitable for recycling, either at collection, during sorting at a Materials Recovery Facility (MRF) or at the gate of the reprocessor.",,,,,,,,,,,,,,
,'Other household sources' refers to Schedule 2 wastes under the Controlled Waste Regulations 1992 ~ those from household sources not collected as part of the ordinary waste collection round service.,,,,,,,,,,,,,,
,"'Civic Amenity Sites' refers to household waste collected at sites provided by local authorities for the disposal of excess household and garden waste free of charge, as required by the Refuse Disposal (Amenity) Act 1978.",,,,,,,,,,,,,,
,"'Household recycling' contains materials sent for recycling, composting or reuse by local authorities as well as those collected from household sources by 'private/ voluntary' organisations. ",,,,,,,,,,,,,,
,'Non household sources (excl. recycling)' includes any wastes collected by a local authority from non-household sources (i.e. not covered by 'Schedules 1 and 2 of the controlled Waste Regulations 1992).   It includes non-household material which was collected for recycling but actually rejected at collection or at the gate of a recycling reprocessor.,,,,,,,,,,,,,,
,'Non household recycling’ includes municipally collected materials for recycling from commercial sources. It excludes material which was collected for recycling from non-household sources but actually rejected at collection or at the gate of a recycling reprocessor.,,,,,,,,,,,,,,
,Table 2 ,,,,,,,,,,,,,,
,"Landfill estimates include recycling, composting or reuse rejects.",,,,,,,,,,,,,,
,"Incineration with EfW:  EfW is energy from waste. Also included are amounts rejected for recycling, composting or reuse where incineration with EfW is reported as the final destination of these rejects.",,,,,,,,,,,,,,
,RDF is refuse derived fuel.,,,,,,,,,,,,,,
,"'Recycled/composted' includes household and non-household sources sent for recycling or for centralised composting; home composting estimates are not included in this total.  It also includes small amounts of materials sent for reuse.  Material which was collected for recycling but actually rejected at collection, by the MRF or at the gate of a recycling reprocessor is excluded.",,,,,,,,,,,,,,
,"'Other' includes material which is sent for Mechanical Biological Treatment (MBT), mixed municipal waste sent for Anaerobic Digestion (AD) and that disposed through other treatment processes. ",,,,,,,,,,,,,,
,Total municipal waste managed in Table 2 may not match the total municipal waste collected as reported in Table 1 due to stockpiling of waste between reporting periods.  Totals in Table 1 are based on collected municipal waste.  Totals in Table 2 are based on municipal waste that is disposed or sent for recycling/composting.,,,,,,,,,,,,,,
,N/A - data not available.,,,,,,,,,,,,,,
,Table 3,,,,,,,,,,,,,,
,Figures for Waste Disposal Authorities include all waste collected for recycling or disposal by the WDA and their constituent waste collection authorities.  ,,,,,,,,,,,,,,
,A total for England cannot be obtained by summing data from all 394 local authorities - data for Waste Collection Authorities must be excluded to avoid double counting. ,,,,,,,,,,,,,,
,The recycling rate is calculated as X/Y*100 where;,,,,,,,,,,,,,,
,"For WCA and UA, 
X= tonnage of waste collected by the WCA or UA which is sent for recycling/composting/reuse (including private/voluntary collections of waste for recycling),
Y=total tonnage of waste collected by the WCA or UA, recycling and residual waste.",,,,,,,,,,,,,,
,"For WDAs;
X= tonnage of waste collected by the WDA which is sent for recycling/composting/reuse plus tonnages sent for recycling by constituent WCAs (including private/voluntary collections of waste for recycling),
Y=total tonnage of waste collected at Civic Amenity sites by the WDA plus tonnage collected by constituent WCAs.",,,,,,,,,,,,,,
,"There will be some differences between these figures and those reported by Authorities under Best Value Performance Indicators, in part due to some definitional differences (e.g. reuse).  
Individual authority performance against targets should be assessed using the BVPI data published by the Audit Commission.",,,,,,,,,,,,,,
"Table 1: Municipal waste arisings, 2005/6",,,,,,,,,,,,,,,
Government Region,Jpp Order,Authority,Authority Type,Regular household collection,Other household sources,Civic amenity sites,Household recycling ,Total household waste,Non-household residual (excl. recycling),Non household recycling ,Total municipal waste,,,,
North East,1,Stockton-on-Tees Borough Council,Unitary," 65,385 "," 3,956 "," 5,024 "," 13,319 "," 87,684 "," 2,163 "," 5,873 "," 95,721 ",,,,
North East,2,Redcar and Cleveland Borough Council,Unitary," 30,620 "," 4,268 "," 4,291 "," 25,080 "," 64,259 "," 7,938 "," 3,432 "," 75,629 ",,,,
North East,3,Middlesbrough Borough Council,Unitary," 42,620 "," 4,774 "," 3,781 "," 6,748 "," 57,924 "," 15,323 "," 3,352 "," 76,599 ",,,,
North East,4,Hartlepool Borough Council,Unitary," 23,588 "," 1,779 "," 5,731 "," 7,815 "," 38,912 "," 10,772 "," 3,211 "," 52,896 ",,,,
North East,5,Darlington Borough Council,Unitary," 29,797 ", 972 ," 8,451 "," 9,170 "," 48,389 "," 9,200 "," 6,201 "," 63,791 ",,,,
North East,13,Durham County Council,Disposal," 172,671 "," 15,554 "," 28,404 "," 56,467 "," 273,096 "," 15,204 "," 17,680 "," 305,980 ",,,,
North East,20,Northumberland County Council,Disposal," 97,729 ", - ," 17,930 "," 50,120 "," 165,779 "," 11,237 "," 6,115 "," 183,131 ",,,,
North East,21,Sunderland City Council,Unitary," 95,055 "," 11,350 "," 10,267 "," 27,214 "," 143,884 "," 12,229 "," 4,804 "," 160,918 ",,,,
North East,22,South Tyneside MBC,Unitary," 44,785 "," 5,195 "," 10,056 "," 15,072 "," 75,108 "," 13,677 "," 4,050 "," 92,836 ",,,,
North East,23,North Tyneside Council,Unitary," 60,434 "," 7,938 "," 12,297 "," 21,988 "," 102,657 "," 24,239 "," 7,486 "," 134,381 ",,,,
North East,24,Newcastle-upon-Tyne City Council MBC,Unitary," 85,710 "," 16,236 "," 9,167 "," 18,416 "," 129,529 "," 46,818 "," 4,988 "," 181,335 ",,,,
North East,25,Gateshead MBC,Unitary," 59,706 "," 15,074 "," 5,819 "," 19,975 "," 100,574 "," 9,706 "," 3,454 "," 113,733 ",,,,
North West,26,Warrington Borough Council,Unitary," 69,491 "," 5,073 "," 9,849 "," 19,485 "," 103,898 "," 3,442 "," 4,959 "," 112,300 ",,,,
North West,29,Halton Borough Council,Unitary," 39,709 "," 5,224 "," 6,101 "," 15,235 "," 66,268 "," 4,052 "," 3,742 "," 74,063 ",,,,
North West,34,Cheshire County Council,Disposal," 184,818 "," 17,178 "," 82,959 "," 125,376 "," 410,330 "," 13,020 "," 13,780 "," 437,130 ",,,,
North West,41,Cumbria County Council,Disposal," 190,563 ", - ," 49,258 "," 93,943 "," 333,764 "," 23,029 "," 4,373 "," 361,165 ",,,,
North West,42,Wigan MBC,Unitary," 101,982 "," 7,690 "," 20,866 "," 28,914 "," 159,453 "," 18,278 "," 50,476 "," 228,207 ",,,,
North West,52,Greater Manchester WDA (MBC),Disposal," 576,726 "," 226,764 "," 179,012 "," 253,057 "," 1,235,560 ", - ," 44,498 "," 1,280,058 ",,,,
North West,65,Blackpool Borough Council,Unitary," 45,627 "," 2,725 "," 4,793 "," 19,050 "," 72,195 "," 9,115 "," 4,696 "," 86,006 ",,,,
