Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Reference,Amount,VAT Registration Number
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,02/06/2010,Sub Contracts,Research Programmes,Royal Holloway&Bedford College,0000328870,28900.00,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,15/06/2010,Project Misc Expend,Portfolios,Celtic Diagnostics Ltd,0000330082,36000.00,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,10/06/2010,Exchange Line Rentals,Corporate - Accommodation,British Telecommunications plc,0000330221,30953.61,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,16/06/2010,IT Software and Licences,Corporate - IT,CAE Technology Services,0000330286,86265.89,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,10/06/2010,Sub Contracts,Research Programmes,ADAS Consulting Ltd,0000330314,47373.00,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,24/06/2010,Sub Contracts,Commercial,Royal Veterinary College,0000330474,32546.56,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,18/06/2010,Purchasing Card,Various,The Co-operative Bank plc,0000330938,34937.18,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,24/06/2010,Sub Contracts,Commercial,Royal Veterinary College,0000331479,27699.20,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,24/06/2010,Sub Contracts,Commercial,Royal Veterinary College,0000331480,-32546.56,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,24/06/2010,Sub Contracts,Research Programmes,ADAS Consulting Ltd,0000331485,-47373.00,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,24/06/2010,Sub Contracts,Research Programmes,ADAS Consulting Ltd,0000331488,47393.00,
