,Unknown,No falls assessment,"Yes - awaits falls
 clinic assessment","Yes - further intervention
 not appropriate","Yes - performed on
 this admission"
Overall,2299,8613,1942,2955,32792
ADD,4,0,6,2,343
AEI,1,3,2,10,278
ASH,1,0,17,10,264
BAR,3,93,65,4,25
BAS,7,3,0,0,308
BAT,12,78,54,52,239
BED,9,31,3,98,20
BFH,1,370,0,0,42
BLA,24,25,2,2,303
BNT,1,0,2,1,289
BOL,3,85,0,1,186
BRD,1,0,4,0,291
BRI,5,4,1,1,256
BRO,18,19,0,1,88
BRT,4,0,1,2,268
BRY,4,194,1,6,1
BSL,0,13,1,4,113
CCH,0,0,0,0,136
CGH,52,151,1,2,23
CHE,4,22,0,1,209
CHG,0,0,0,11,240
CHS,1,2,0,0,181
CMI,0,109,33,5,80
COC,2,5,61,72,136
COL,7,160,7,0,210
DAR,16,46,0,1,223
DER,1,299,21,93,8
DEW,8,0,0,0,153
DGE,292,9,15,0,12
DID,0,44,1,9,299
DRY,9,49,1,0,265
DVH,6,69,2,4,166
EBH,1,313,12,19,31
ESU,14,1,2,11,411
FAZ,0,3,3,0,302
FGH,31,56,1,0,0
FRM,0,0,0,3,291
FRY,2,4,1,3,414
GEO,4,6,4,4,129
GGH,14,32,72,0,128
GHS,1,9,52,66,190
GLO,0,2,0,2,367
GWH,6,4,0,0,245
HAR,7,134,14,5,32
HCH,4,21,3,188,55
HIL,12,30,0,0,142
HIN,40,151,0,0,0
HOM,0,5,0,0,68
HOR,10,5,48,47,24
HRI,6,1,7,6,445
HUD,15,345,1,0,1
IOW,2,14,4,190,7
IPS,0,0,2,393,8
JPH,2,12,1,6,317
KCH,14,37,0,1,25
KGH,78,91,1,0,7
KMH,84,160,0,0,4
KSX,3,152,0,1,0
KTH,0,3,0,3,315
LDH,11,155,26,7,9
LER,40,7,13,14,596
LEW,1,0,5,69,68
LGH,0,11,1,0,88
LGI,8,49,1,3,528
LIN,0,0,0,1,337
LIS,9,7,3,0,89
LON,10,114,0,0,0
MAC,3,143,0,1,61
MAI,8,121,0,1,0
MAY,5,28,0,80,151
MDW,0,1,1,0,311
MKH,2,2,84,9,3
MPH,5,20,1,1,324
MRI,5,6,0,0,135
NCR,8,241,6,1,101
NDD,7,23,3,0,168
NGS,3,40,1,27,357
NHH,0,4,164,21,3
NMH,2,1,1,13,112
NOB,0,2,0,0,66
NOR,30,40,1,94,538
NTG,1,1,1,0,263
NTH,3,281,0,0,3
NTY,0,30,2,0,229
NUN,1,0,1,0,201
NWG,0,2,4,0,80
OHM,11,1,0,0,122
OLD,21,25,29,6,270
PAH,1,7,0,2,235
PET,0,1,0,1,347
PGH,24,0,0,0,780
PIL,3,2,0,0,257
PIN,25,121,0,4,129
PLY,316,1,0,0,166
PMS,2,1,154,36,138
QAP,0,0,1,4,594
QEB,1,4,0,0,294
QEG,1,0,46,11,192
QEQ,0,25,1,1,364
QEW,2,17,3,2,122
QKL,2,10,0,0,279
RAD,0,77,97,21,224
RBE,0,0,0,2,397
RCH,3,2,2,38,373
RDE,0,0,2,0,520
RED,3,3,0,0,187
RFH,5,6,1,3,163
RLI,13,227,0,1,0
RLU,1,27,0,1,282
ROT,3,0,0,0,235
RPH,44,12,1,1,276
RSC,26,14,0,6,359
RSS,3,0,8,267,0
RSU,0,6,0,1,304
RUS,1,0,1,0,410
RVN,0,1,13,317,39
SAL,8,18,3,8,165
SAN,2,148,6,15,131
SCA,45,122,0,1,50
SCM,0,0,0,0,373
SCU,3,0,0,0,215
SDG,151,51,5,0,0
SEH,7,149,11,3,240
SGH,5,46,10,10,443
SHC,11,244,0,0,73
SHH,74,94,3,1,57
SLF,0,15,92,82,1
SMV,8,6,38,5,280
SOU,4,0,0,0,195
SPH,0,0,0,0,378
STD,4,3,0,0,155
STH,0,15,2,0,158
STM,0,2,0,0,120
STO,1,3,3,49,317
STR,12,16,0,0,249
SUN,0,0,6,0,316
TGA,26,0,0,0,99
TLF,1,0,165,10,13
TOR,26,203,0,91,50
TRA,1,0,0,0,78
UHC,1,6,3,0,406
UHN,5,33,0,0,556
VIC,2,63,0,2,364
WAR,4,54,174,11,23
WAT,0,4,0,2,376
WCI,3,91,0,0,0
WDH,2,136,4,9,78
WES,0,0,81,23,0
WEX,20,111,5,37,151
WGH,9,27,0,0,161
WHC,35,0,0,27,211
WHH,0,0,0,0,250
WHT,6,0,7,9,114
WIR,21,26,0,0,50
WMU,6,3,0,26,146
WRC,10,131,0,2,223
WRG,0,3,3,1,374
WSH,4,1,74,22,172
WYT,76,54,1,0,130
YDH,0,0,0,71,238
YEO,1,0,0,5,154
