Category,Farm by size and region and type,Always,Most of the time,Some of the time,Rarely,Never,No of responses used,
Farm size,Small,15%,13%,19%,7%,46%,371,
Farm size,Medium,21%,19%,14%,8%,39%,231,
Farm size,Large,22%,22%,21%,11%,24%,521,
Region,North East,18%,27%,20%,11%,24%,86,
Region,North West & Merseyside,20%,16%,17%,10%,37%,178,
Region,Yorkshire & The Humber,21%,17%,20%,7%,35%,156,
Region,East Midlands,16%,10%,27%,11%,36%,120,
Region,West Midlands,16%,21%,13%,7%,42%,135,
Region,East of England,27%,18%,16%,10%,29%,48,
Region,South East,30%,14%,16%,4%,36%,83,
Region,South West,17%,20%,20%,10%,33%,317,
Farm type,Cereals,35%,19%,5%,6%,34%,79,
Farm type,Other crops,21%,23%,21%,5%,30%,64,
Farm type,Pigs & poultry,17%,17%,8%,13%,45%,25,
Farm type,Dairy,19%,31%,21%,10%,19%,285,
Farm type,Grazing livestock (LFA),16%,18%,21%,14%,31%,220,
Farm type,Grazing livestock (Lowland),17%,14%,20%,7%,42%,287,
Farm type,Mixed,24%,24%,17%,9%,26%,163,
####For holdings with beef cattle (livestock figures relate to results from the 2014 June Survey of Agriculture and Horticulture)####,,,,,,,,
