Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",151,144.72,341,329,1006,972.68,590,563.55,94,90.73,6,6,"2,188","2,106.68",29,29,5,5,93,93,1,1,128,128,"2,316","2,235","£7,513,880.00","£10,718.00","-£55,875.00","£22,891.00","£1,497,047.00","£777,391.00","£9,766,052.00","£1,054,746.17","£4,968.18","£1,059,714.35","£10,825,766.35",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",830,761.38322,544,502.02442,731,691.79412,153,150.01569,6,6,0,0,"2,264","2,111.22",39,39,0,0,14,14,0,0,53,53,"2,317","2,164","£5,182,546.77","£98,147.63","£17,050.00","£108,722.92","£1,090,370.22","£532,670.80","£7,029,508.34","£46,752.06",£0.00,"£46,752.06","£7,076,260.40",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",85,80.17,132,119.62,251,237.77,96,92.27,3,3,0,0,567,532.83,0,0,0,0,0,0,0,0,0,0,567,532.83,"£1,353,905.00","£50,553.00",£0.00,"£43,501.00","£285,560.00","£146,806.00","£1,880,325.00",£0.00,£0.00,£0.00,"£1,880,325.00",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",627,539.31,518,460.96,439,409.36,102,99.53,7,7,0,0,"1,693","1,516.16",95,95,64,64,0,0,0,0,635,635,"2,328","2,151","£3,508,697.45","£5,391.49","£15,575.00","£75,787.68","£711,045.68","£340,235.56","£4,656,732.86","£99,163.95","£110,863.33","£210,027.28","£4,866,760.14",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",32,29.58,27,26.12,49,47.6,43,41.88,3,3,0,0,154,148.18,10,8.5,0,0,1,0.2,0,0,11,8.7,165,156.88,"£449,057.00","£9,261.00",£0.00,£539.00,"£98,643.00","£49,165.00","£606,665.00","£31,311.56",£0.00,"£31,311.56","£637,976.56",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,434,416.98,434,416.98,3,3,0,0,6,6,0,0,9,9,443,425.98,"£1,309,119.57","£49,679.37",£0.00,£0.00,"£117,436.02","£146,704.05","£1,622,939.01","£5,431.67",£0.00,"£5,431.67","£1,628,370.68",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",11,10.4,22,21.81,22,20.26,11,10.92,5,4.6,0,0,71,67.99,0,0,1,1,0,0,0,0,1,1,72,68.99,"£182,150.00","£2,121.00",£0.00,"£1,306.00","£37,167.00","£19,029.00","£241,773.00","£4,378.00",£0.00,"£4,378.00","£246,151.00",
Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1784,1664.05,2643,2470.27,3224,3019.05,2024,1925.39,117,116.07,926,914.38,"10,718","10,109.21",130,127.78,60,57.59,213,211.61,426,395.64,829,792.62,"11,547","10,902","£26,933,854.77","£292,828.82","-£5,962.20","£984,040.87","£3,822,427.42","£2,884,195.14","£34,911,384.82","£435,654.96","£50,913.36","£486,568.32","£35,397,953.14",
