,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Please read the additional data fields descriptions before entering information into this template. Completed templates must be returned to your organisation's main, parent or sponsoring department. They will provide one return to Cabinet Office capturing information for all their relevant organisations.
(NB: This data sheet is password protected. Contact Cabinet Office if you require the password.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Work and Pensions,Ministerial Department,Department for Work and Pensions,43629,37068.65,36501,32198.35,8967,8539.52,1965,1909.78,207,203.39,3,2.61,"91,272","79,922",.,.,.,.,182,182,.,.,182,182,"91,454","80,104","£159,662,050.39","£2,239,651.65","£379,445.77","£1,826,299.27","£28,700,807.43","£10,028,203.36","£202,836,457.87","£2,139,276.10","£1,217,150.00","£3,356,426.10","£206,192,883.97",,
Health and Safety Executive,Crown Non Departmental Public Body,Department for Work and Pensions,440,387.65,445,413.03,1435,1349.91,436,409.63,26,25.78,.,.,"2,782","2,586",.,.,.,.,.,.,.,.,0,0,"2,782","2,586","£8,870,572.41","£130,234.21","£9,000.00","£16,632.74","£1,728,686.22","£773,134.20","£11,528,259.78",£0.00,"£1,590.00","£1,590.00","£11,529,849.78",,
Independent Living Fund,Executive Non-Departmental Public Body,Department for Work and Pensions,74,63.17,27,24.29,16,14.15,5,4.92,2,2,.,.,124,109,.,.,.,.,.,.,.,.,0,0,124,109,"£230,793.40","£7,277.51",£0.00,"£4,938.02","£42,310.95","£16,915.57","£302,235.45",£0.00,£0.00,£0.00,"£302,235.45",,
National Employment Savings Trust Corporation,Executive Non-Departmental Public Body,Department for Work and Pensions,.,.,.,.,.,.,.,.,.,.,237,233,237,233,.,.,18,15,.,.,1,1,19,16,256,249,"£1,239,618.00",£841.00,£707.00,"£1,812.00","£142,387.00","£91,364.00","£1,476,729.00","£153,338.00","£16,125.00","£169,463.00","£1,646,192.00",,
Remploy Ltd,Executive Non-Departmental Public Body,Department for Work and Pensions,.,.,.,.,.,.,.,.,.,.,1051,976.86,"1,051",977,4,4,6,6,.,.,.,.,10,10,"1,061",987,"£1,951,165.21",£0.00,£182.81,"£2,517.37","£163,058.80","£246,081.12","£2,363,005.31","£46,160.39",£0.00,"£46,160.39","£2,409,165.70",Remploy do not use Civil Service Grades,
The Pensions Advisory Service,Executive Non-Departmental Public Body,Department for Work and Pensions,.,.,.,.,.,.,.,.,.,.,37,35.06,37,35,3,1.4,1,1,.,.,1,0.4,5,2.8,42,38,"£124,142.55",£0.00,£0.00,£0.00,"£23,691.33","£10,948.57","£158,782.45","£1,817.48","£17,826.60","£19,644.08","£178,426.53",,
The Pensions Regulator,Executive Non-Departmental Public Body,Department for Work and Pensions,.,.,.,.,.,.,.,.,.,.,446,431,446,431,22,22,.,.,4,4,.,.,26,26,472,457,"£1,762,624.00","£1,433.00","£67,265.00",£918.00,"£376,563.00","£181,594.00","£2,390,397.00","£233,870.96",£0.00,"£233,870.96","£2,624,267.96",,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
